,Date,Open,High,Low,Close,Volume
4,10/12/2018,79.37,79.375,78.49,79.06,"9,863,043"
5,10/11/2018,81.64,81.97,78.669,78.87,"12,491,990"
6,10/10/2018,81.81,82.68,81.44,81.44,"9,076,631"
7,10/09/2018,82.39,82.72,82.06,82.2,"6,267,144"
8,10/08/2018,81.98,82.74,81.75,82.4,"7,071,038"
9,10/05/2018,81.98,82.45,81.98,82.15,"5,454,641"
10,10/04/2018,82.5,82.5,81.1,81.92,"7,015,254"
11,10/03/2018,84.44,84.52,82.85,83.03,"7,958,663"
12,10/02/2018,83.48,84.435,83.37,84.36,"6,658,259"
13,10/01/2018,83.31,83.72,83.17,83.67,"4,865,253"
14,09/28/2018,83.03,83.29,82.79,83.23,"4,756,464"
15,09/27/2018,83.04,83.63,82.81,82.86,"5,290,359"
16,09/26/2018,83.25,83.99,83.03,83.26,"6,562,417"
17,09/25/2018,84.28,84.41,83.08,83.12,"5,370,475"
18,09/24/2018,85.63,85.71,84.23,84.27,"6,234,613"
19,09/21/2018,85.81,86.28,85.52,85.82,"17,314,030"
20,09/20/2018,84.29,85.635,84.23,85.36,"10,014,860"
21,09/19/2018,83.92,84.29,83.77,84.0,"6,127,511"
22,09/18/2018,84.29,84.29,83.575,84.0,"5,926,616"
23,09/17/2018,83.5,84.274,83.34,84.25,"6,825,032"
24,09/14/2018,83.47,83.665,82.97,83.61,"4,876,240"
25,09/13/2018,83.27,83.49,82.65,83.45,"5,081,623"
26,09/12/2018,81.9,83.18,81.7,83.11,"5,915,718"
27,09/11/2018,82.13,82.42,81.63,82.01,"5,181,375"
28,09/10/2018,82.58,83.1,82.34,82.38,"6,648,969"
29,09/07/2018,82.1,82.2,81.25,81.91,"11,091,290"
30,09/06/2018,82.91,83.305,82.49,82.65,"7,541,078"
31,09/05/2018,82.11,83.47,82.11,83.29,"7,577,694"
32,09/04/2018,82.48,82.96,82.07,82.7,"5,743,875"
33,08/31/2018,83.35,83.53,82.39,82.95,"6,579,145"
34,08/30/2018,83.39,83.74,83.19,83.41,"4,443,865"
35,08/29/2018,83.51,83.76,83.29,83.49,"4,520,429"
36,08/28/2018,83.72,83.86,83.32,83.48,"5,400,739"
37,08/27/2018,83.5,83.82,83.02,83.44,"3,929,986"
38,08/24/2018,83.22,83.55,83.03,83.36,"5,301,672"
39,08/23/2018,83.01,83.6,82.84,83.24,"4,217,079"
40,08/22/2018,83.81,83.85,83.06,83.39,"5,117,923"
41,08/21/2018,83.57,84.0,83.09,83.9,"8,344,021"
42,08/20/2018,83.89,83.95,83.31,83.64,"6,544,846"
43,08/17/2018,83.73,84.2,83.6,83.69,"8,335,354"
44,08/16/2018,82.46,84.0,82.31,83.69,"12,348,860"
45,08/15/2018,81.3,82.365,80.81,82.3,"8,355,594"
46,08/14/2018,81.39,81.72,81.23,81.31,"6,226,887"
47,08/13/2018,81.7,82.08,81.15,81.52,"5,068,021"
48,08/10/2018,81.3,81.76,81.0,81.43,"5,563,915"
49,08/09/2018,82.44,82.44,81.3,81.4,"5,167,432"
50,08/08/2018,82.1,82.799,82.1,82.35,"4,891,255"
51,08/07/2018,82.41,82.68,81.73,82.64,"6,417,985"
52,08/06/2018,82.2,82.925,82.15,82.52,"5,669,217"
53,08/03/2018,82.14,83.1,81.92,82.33,"7,102,315"
54,08/02/2018,80.8,82.22,80.59,82.0,"9,261,621"
55,08/01/2018,80.42,80.82,80.11,80.65,"7,555,988"
56,07/31/2018,80.39,80.98,79.43,80.88,"9,878,078"
57,07/30/2018,80.07,80.5,79.84,80.2,"7,089,940"
58,07/27/2018,79.67,80.8253,79.46,80.58,"7,492,698"
59,07/26/2018,79.56,80.77,79.47,80.09,"9,770,966"
60,07/25/2018,78.72,79.6,78.72,79.47,"6,206,939"
61,07/24/2018,77.54,79.01,77.54,78.99,"8,296,980"
62,07/23/2018,78.49,78.94,78.24,78.51,"5,871,547"
63,07/20/2018,78.32,79.055,78.32,78.68,"8,234,628"
64,07/19/2018,78.42,79.19,77.89,78.73,"8,006,178"
65,07/18/2018,79.72,80.21,79.33,79.72,"9,102,661"
66,07/17/2018,79.66,80.5,79.55,80.03,"8,979,184"
67,07/16/2018,79.21,79.63,78.83,79.53,"6,930,933"
68,07/13/2018,79.08,79.47,78.9,79.31,"6,010,332"
69,07/12/2018,79.34,79.52,78.565,78.89,"8,556,335"
