,Date,Open,High,Low,Close,Volume
4,10/02/2018,70.84,71.09,70.55,70.96,"2,504,370"
5,10/01/2018,71.36,71.77,70.57,70.7,"2,336,685"
6,09/28/2018,70.15,71.08,70.0788,71.04,"2,436,732"
7,09/27/2018,70.8,71.26,70.17,70.32,"1,698,781"
8,09/26/2018,71.47,71.61,70.7872,70.88,"2,647,917"
9,09/25/2018,70.23,71.24,70.08,71.2,"2,985,583"
10,09/24/2018,70.77,70.855,70.26,70.37,"1,642,150"
11,09/21/2018,71.2,71.23,70.64,70.72,"4,090,893"
12,09/20/2018,70.14,70.82,70.0,70.78,"2,292,499"
13,09/19/2018,69.68,70.61,69.65,69.88,"3,017,569"
14,09/18/2018,68.7,69.73,68.53,69.68,"2,331,782"
15,09/17/2018,68.37,68.68,68.03,68.53,"1,882,773"
16,09/14/2018,68.97,68.97,67.99,68.24,"3,783,645"
17,09/13/2018,68.7,68.845,68.05,68.74,"2,183,611"
18,09/12/2018,68.14,68.63,67.83,68.36,"2,866,500"
19,09/11/2018,67.21,68.28,66.8,67.99,"2,763,790"
20,09/10/2018,68.76,68.76,67.645,67.79,"2,415,354"
21,09/07/2018,68.76,69.01,68.56,68.87,"2,045,709"
22,09/06/2018,68.69,68.92,68.4629,68.82,"1,771,384"
23,09/05/2018,68.46,68.95,68.41,68.79,"2,256,867"
24,09/04/2018,67.6,68.41,67.53,68.39,"2,068,924"
25,08/31/2018,67.17,67.59,66.9136,67.53,"2,569,192"
26,08/30/2018,67.71,67.71,66.97,67.17,"1,942,120"
27,08/29/2018,67.4,67.88,67.2,67.67,"2,296,694"
28,08/28/2018,67.28,67.43,66.95,67.15,"1,818,481"
29,08/27/2018,67.04,67.36,66.882,67.26,"1,746,194"
30,08/24/2018,66.8,66.98,66.4201,66.92,"2,010,814"
31,08/23/2018,66.78,66.97,66.68,66.81,"1,920,017"
32,08/22/2018,67.08,67.33,66.64,66.72,"3,503,538"
33,08/21/2018,66.84,67.63,66.781,67.22,"3,989,150"
34,08/20/2018,66.54,67.02,66.43,66.9,"4,467,778"
35,08/17/2018,65.01,66.42,64.995,66.28,"5,676,140"
36,08/16/2018,64.49,65.32,63.72,65.05,"3,784,091"
37,08/15/2018,62.36,64.19,61.98,64.06,"3,369,716"
38,08/14/2018,61.92,62.55,61.8,62.29,"5,645,651"
39,08/13/2018,62.38,62.95,61.93,61.96,"2,578,474"
40,08/10/2018,62.18,62.65,61.92,62.44,"2,443,572"
41,08/09/2018,61.94,62.9,61.84,62.54,"2,167,938"
42,08/08/2018,61.71,62.02,61.47,61.91,"2,091,743"
43,08/07/2018,61.48,62.26,61.31,61.82,"3,744,683"
44,08/06/2018,61.54,61.71,61.26,61.43,"2,317,796"
45,08/03/2018,61.5,61.73,60.85,61.55,"3,832,774"
46,08/02/2018,60.41,61.775,60.39,61.68,"4,200,401"
47,08/01/2018,60.01,60.63,59.78,60.52,"3,347,954"
48,07/31/2018,59.67,60.07,59.19,60.01,"4,224,365"
49,07/30/2018,59.86,60.17,59.34,59.42,"2,172,816"
50,07/27/2018,60.53,60.95,59.72,59.87,"2,013,006"
51,07/26/2018,59.76,60.53,59.67,60.12,"3,219,857"
52,07/25/2018,59.32,59.68,59.15,59.52,"3,190,920"
53,07/24/2018,59.64,59.83,59.18,59.39,"3,016,402"
54,07/23/2018,59.8,59.91,59.18,59.58,"3,026,773"
55,07/20/2018,59.43,60.05,59.22,59.83,"3,081,635"
56,07/19/2018,59.93,60.13,59.37,59.51,"5,577,153"
57,07/18/2018,59.56,60.5,59.13,60.39,"8,753,671"
58,07/17/2018,59.0,60.23,58.75,59.4,"6,136,088"
59,07/16/2018,58.73,58.89,58.33,58.42,"4,640,088"
60,07/13/2018,58.64,58.76,58.3,58.44,"3,121,186"
61,07/12/2018,59.61,59.67,58.63,58.66,"3,565,691"
62,07/11/2018,59.38,59.7,59.165,59.23,"2,682,347"
63,07/10/2018,59.66,60.29,59.55,59.65,"3,386,282"
64,07/09/2018,59.53,59.74,59.3,59.57,"2,626,697"
65,07/06/2018,58.99,59.61,58.87,59.19,"1,961,864"
66,07/05/2018,59.59,59.77,58.92,59.06,"2,691,876"
67,07/03/2018,59.86,60.19,59.3,59.33,"1,198,864"
68,07/02/2018,58.97,59.76,58.93,59.74,"3,014,068"
