,Date,Open,High,Low,Close,Volume
4,30.39,30.59,29.99,"3,246,558",04/18/2019,29.99
5,30.04,30.165,29.8,"2,724,403",04/17/2019,29.87
6,29.76,29.82,29.445,"2,830,449",04/16/2019,29.67
7,29.5,29.58,29.19,"1,841,208",04/15/2019,29.46
8,29.39,29.54,29.22,"1,857,291",04/12/2019,29.45
9,29.41,29.5,28.97,"3,336,390",04/11/2019,29.0
10,28.92,29.1,28.56,"2,134,618",04/10/2019,28.83
11,28.57,29.03,28.48,"2,948,900",04/09/2019,28.79
12,28.83,29.02,28.615,"2,771,394",04/08/2019,28.86
13,28.94,29.03,28.51,"2,662,937",04/05/2019,28.59
14,28.59,28.61,27.71,"3,410,808",04/04/2019,27.71
15,27.77,28.14,27.55,"3,044,684",04/03/2019,27.9
16,27.77,27.93,27.44,"2,555,646",04/02/2019,27.93
17,27.89,28.05,27.36,"3,197,899",04/01/2019,28.05
18,27.96,28.75,27.92,"3,314,011",03/29/2019,28.49
19,28.3,28.9,28.3,"6,140,727",03/28/2019,28.84
20,28.78,28.885,27.81,"8,082,614",03/27/2019,27.89
21,27.38,27.43,27.01,"2,859,959",03/26/2019,27.25
22,27.21,27.27,26.35,"3,196,109",03/25/2019,26.46
23,26.58,26.96,26.15,"4,650,452",03/22/2019,26.26
24,26.3,26.58,25.7,"4,853,492",03/21/2019,25.87
25,25.8,26.39,25.24,"6,887,947",03/20/2019,26.1
26,26.24,26.935,26.18,"4,666,533",03/19/2019,26.68
27,26.67,27.03,26.59,"4,769,869",03/18/2019,26.87
28,26.87,27.41,26.81,"4,400,784",03/15/2019,27.13
29,27.09,27.43,26.93,"3,492,385",03/14/2019,27.39
30,27.52,28.16,27.385,"3,401,793",03/13/2019,28.05
31,28.01,28.34,27.68,"2,665,304",03/12/2019,28.27
32,28.2,28.24,27.59,"2,594,593",03/11/2019,27.59
33,27.58,27.8699,27.4,"3,836,263",03/08/2019,27.51
34,27.53,27.83,26.7,"4,886,775",03/07/2019,26.87
35,26.77,27.35,26.76,"4,194,133",03/06/2019,26.94
36,26.88,27.72,26.86,"5,660,396",03/05/2019,27.67
37,27.68,27.8,26.85,"5,206,721",03/04/2019,26.85
38,26.74,27.29,26.34,"5,744,565",03/01/2019,27.22
39,27.0,27.28,26.57,"4,941,782",02/28/2019,26.8
40,27.09,27.73,26.84,"4,652,827",02/27/2019,27.47
41,27.44,27.7,27.06,"4,050,661",02/26/2019,27.4
42,27.56,28.11,27.54,"5,287,504",02/25/2019,28.09
43,27.98,28.2,27.49,"4,194,937",02/22/2019,27.76
44,27.6,27.66,26.935,"5,776,914",02/21/2019,26.99
45,27.14,27.26,26.865,"4,979,762",02/20/2019,27.03
46,27.04,27.45,26.9,"4,173,028",02/19/2019,27.11
47,27.12,27.34,26.855,"3,420,137",02/15/2019,27.01
48,26.91,27.12,26.56,"3,398,107",02/14/2019,26.68
49,27.19,27.41,26.72,"4,073,942",02/13/2019,27.31
50,27.31,27.54,26.585,"7,945,896",02/12/2019,26.66
51,26.5,26.8,26.42,"3,763,630",02/11/2019,26.7
52,26.61,26.83,26.29,"3,343,452",02/08/2019,26.38
53,26.89,26.95,26.28,"3,737,234",02/07/2019,26.29
54,26.47,27.29,26.415,"5,379,204",02/06/2019,27.17
55,27.35,27.37,26.74,"4,168,120",02/05/2019,26.78
56,26.79,27.43,26.58,"5,079,627",02/04/2019,27.32
57,27.35,28.265,27.325,"5,102,614",02/01/2019,27.84
58,27.81,28.19,27.0,"8,829,119",01/31/2019,27.33
59,27.24,27.35,26.19,"8,189,833",01/30/2019,27.22
60,27.25,27.48,25.1,"9,250,415",01/29/2019,25.65
61,27.03,27.415,26.66,"5,404,751",01/28/2019,26.74
62,26.96,27.385,26.69,"7,315,182",01/25/2019,26.92
63,26.7,27.1,26.57,"7,951,415",01/24/2019,26.74
64,26.71,26.735,26.16,"3,782,637",01/23/2019,26.29
65,26.33,26.705,26.13,"5,688,211",01/22/2019,26.53
66,26.59,26.97,26.34,"8,537,461",01/18/2019,26.96
