,Date,Open,High,Low,Close,Volume
4,10/12/2018,82.06,82.47,80.79,82.31,"6,304,455"
5,10/11/2018,84.62,85.0,81.45,82.31,"9,614,019"
6,10/10/2018,84.75,86.22,84.03,84.62,"6,126,913"
7,10/09/2018,85.07,85.48,84.63,84.63,"5,368,381"
8,10/08/2018,84.1,85.31,84.1,84.89,"5,737,797"
9,10/05/2018,83.93,84.4,83.603,84.1,"5,430,175"
10,10/04/2018,82.26,83.85,82.05,83.82,"5,865,760"
11,10/03/2018,83.56,83.99,82.54,82.91,"5,929,388"
12,10/02/2018,82.01,83.52,81.99,83.52,"4,969,548"
13,10/01/2018,81.41,81.91,80.4527,81.82,"3,714,319"
14,09/28/2018,81.54,82.29,81.07,81.54,"5,286,221"
15,09/27/2018,81.13,82.32,80.72,81.51,"4,945,549"
16,09/26/2018,80.13,81.23,79.95,80.5,"5,431,434"
17,09/25/2018,80.61,81.23,79.83,79.91,"4,835,055"
18,09/24/2018,83.51,83.75,80.845,81.61,"7,677,909"
19,09/21/2018,82.94,83.86,82.01,83.75,"12,782,740"
20,09/20/2018,80.96,82.75,80.89,82.55,"5,378,804"
21,09/19/2018,80.12,81.1,80.03,80.91,"4,130,661"
22,09/18/2018,80.5,80.95,79.58,80.33,"4,238,435"
23,09/17/2018,79.54,80.49,79.11,80.3,"4,265,542"
24,09/14/2018,79.95,80.0,78.6,79.33,"3,301,735"
25,09/13/2018,80.46,80.59,79.065,79.78,"4,103,377"
26,09/12/2018,77.76,81.57,77.35,80.05,"9,198,465"
27,09/11/2018,78.14,78.4114,77.17,77.45,"4,306,758"
28,09/10/2018,79.06,79.84,78.33,78.38,"3,714,857"
29,09/07/2018,78.42,78.89,78.12,78.6,"4,986,908"
30,09/06/2018,78.73,79.11,78.17,78.62,"4,674,265"
31,09/05/2018,77.46,78.95,77.28,78.79,"6,003,527"
32,09/04/2018,78.0,78.17,77.32,77.64,"5,932,262"
33,08/31/2018,78.33,78.74,77.48,77.89,"7,001,069"
34,08/30/2018,78.61,78.7,78.2,78.57,"6,337,976"
35,08/29/2018,79.68,79.71,78.84,79.06,"5,498,864"
36,08/28/2018,79.94,80.16,79.13,79.5,"6,437,701"
37,08/27/2018,80.0,80.65,79.81,80.26,"6,075,386"
38,08/24/2018,80.7,81.23,79.42,79.69,"9,437,922"
39,08/23/2018,82.42,82.57,81.87,82.32,"4,024,465"
40,08/22/2018,83.46,83.62,82.23,82.43,"4,129,485"
41,08/21/2018,84.29,84.35,82.93,83.53,"4,925,066"
42,08/20/2018,85.24,85.28,84.21,84.58,"2,854,460"
43,08/17/2018,84.37,85.27,84.37,85.05,"4,115,473"
44,08/16/2018,83.73,84.74,83.44,84.68,"3,953,781"
45,08/15/2018,81.99,83.52,81.59,83.41,"4,767,761"
46,08/14/2018,81.93,82.62,81.81,82.31,"4,281,393"
47,08/13/2018,82.24,82.43,81.26,81.86,"4,733,514"
48,08/10/2018,83.41,83.48,82.17,82.56,"5,086,442"
49,08/09/2018,83.79,84.585,83.7164,84.4,"2,564,640"
50,08/08/2018,85.12,85.56,83.66,83.75,"4,319,938"
51,08/07/2018,86.5,86.5,85.3,85.53,"3,086,639"
52,08/06/2018,86.69,86.97,85.98,86.15,"2,767,526"
53,08/03/2018,86.05,87.441,85.65,86.84,"3,483,616"
54,08/02/2018,85.62,86.219,85.3201,86.0,"2,766,600"
55,08/01/2018,86.03,86.23,85.45,85.54,"4,657,381"
56,07/31/2018,86.75,86.97,85.84,86.3,"5,933,950"
57,07/30/2018,85.64,86.63,85.56,86.62,"5,134,823"
58,07/27/2018,84.48,85.72,84.3,85.47,"5,202,301"
59,07/26/2018,84.27,85.36,83.55,84.46,"5,322,680"
60,07/25/2018,84.43,84.96,83.39,83.81,"6,212,193"
61,07/24/2018,83.18,84.17,82.88,83.56,"6,034,027"
62,07/23/2018,83.42,83.7037,82.63,83.22,"6,366,093"
63,07/20/2018,80.1,84.43,80.05,84.31,"11,312,850"
64,07/19/2018,79.0,80.92,76.52,80.9,"17,192,470"
65,07/18/2018,82.52,82.93,81.85,82.15,"6,430,210"
66,07/17/2018,81.83,82.59,81.8,82.33,"5,911,786"
67,07/16/2018,82.7,82.74,81.56,81.92,"6,821,325"
68,07/13/2018,82.9,83.24,82.53,82.68,"7,517,230"
69,07/12/2018,83.11,84.0,82.86,83.2,"5,307,894"
