,Date,Open,High,Low,Close,Volume
4,126.81,129.24,126.09,"2,081,384",04/03/2019,127.99
5,126.76,128.03,126.16,"1,698,181",04/02/2019,126.55
6,126.91,127.17,123.84,"1,789,980",04/01/2019,123.98
7,122.66,124.0,122.17,"1,951,074",03/29/2019,123.91
8,122.86,122.96,120.96,"1,531,754",03/28/2019,121.63
9,121.27,121.93,120.38,"1,691,313",03/27/2019,121.29
10,121.46,121.72,119.62,"1,960,122",03/26/2019,120.27
11,119.18,120.9,118.78,"2,111,260",03/25/2019,119.49
12,119.18,122.195,118.7,"3,456,527",03/22/2019,121.5
13,122.9,124.88,122.79,"2,803,031",03/21/2019,124.77
14,125.46,129.82,125.36,"2,991,805",03/20/2019,129.4
15,129.48,132.5,129.13,"2,263,433",03/19/2019,132.5
16,131.88,132.3921,130.13,"1,865,268",03/18/2019,130.44
17,129.86,130.25,128.76,"3,687,610",03/15/2019,129.01
18,129.6,130.0231,128.48,"1,608,510",03/14/2019,129.01
19,128.93,129.23,127.36,"1,741,462",03/13/2019,128.42
20,127.71,129.2,127.37,"3,195,908",03/12/2019,128.8
21,128.56,128.94,126.96,"2,546,541",03/11/2019,127.15
22,126.7,126.78,124.52,"2,860,318",03/08/2019,124.67
23,125.99,126.87,124.4575,"2,932,238",03/07/2019,126.64
24,127.44,129.27,127.35,"2,748,521",03/06/2019,128.13
25,127.82,128.13,124.66,"3,144,244",03/05/2019,126.19
26,126.33,128.65,125.33,"1,928,752",03/04/2019,126.71
27,126.62,127.815,125.57,"1,872,264",03/01/2019,126.6
28,126.02,126.72,125.475,"2,097,823",02/28/2019,126.06
29,125.72,125.77,122.88,"1,949,512",02/27/2019,123.46
30,123.21,124.57,122.44,"2,920,851",02/26/2019,123.21
31,123.69,125.94,123.62,"2,505,664",02/25/2019,124.96
32,124.15,125.45,123.74,"1,663,587",02/22/2019,125.05
33,124.91,126.59,124.53,"2,253,871",02/21/2019,126.19
34,126.52,126.59,124.56,"1,756,038",02/20/2019,124.95
35,124.95,125.39,122.81,"2,674,523",02/19/2019,122.81
36,124.15,124.35,121.55,"2,319,350",02/15/2019,122.03
37,120.61,121.26,119.37,"2,110,271",02/14/2019,120.49
38,121.48,123.77,121.37,"2,330,642",02/13/2019,123.46
39,123.15,123.69,122.37,"1,730,254",02/12/2019,122.53
40,121.57,122.5,120.995,"1,700,834",02/11/2019,121.74
41,121.24,123.23,119.69,"1,471,328",02/08/2019,122.3
42,122.84,125.29,121.7,"2,245,657",02/07/2019,123.06
43,122.61,123.94,121.81,"2,199,007",02/06/2019,122.63
44,123.02,124.88,122.33,"2,345,459",02/05/2019,124.63
45,124.63,124.64,122.83,"2,096,034",02/04/2019,123.35
46,122.73,123.93,122.38,"2,390,151",02/01/2019,123.12
47,122.67,123.41,120.5,"2,099,329",01/31/2019,122.83
48,123.66,125.035,123.2,"1,896,092",01/30/2019,124.27
49,124.33,125.69,124.21,"1,372,041",01/29/2019,124.64
50,124.87,125.22,123.4,"1,632,421",01/28/2019,124.26
51,124.92,125.6,123.64,"1,890,563",01/25/2019,124.45
52,123.81,124.9,122.8,"2,572,869",01/24/2019,123.56
53,124.39,125.5,123.41,"1,993,539",01/23/2019,124.93
54,124.58,125.84,123.67,"2,611,124",01/22/2019,124.31
55,125.25,125.69,121.92,"2,891,982",01/18/2019,122.51
56,121.89,122.43,119.795,"4,301,675",01/17/2019,121.11
57,121.21,121.92,117.17,"6,125,147",01/16/2019,120.42
58,121.12,121.24,118.305,"4,170,136",01/15/2019,120.01
59,120.55,121.47,118.81,"2,851,167",01/14/2019,119.28
60,120.05,120.52,117.94,"2,794,094",01/11/2019,118.82
61,119.58,120.8,118.37,"3,529,691",01/10/2019,120.37
62,120.81,121.67,119.45,"3,754,308",01/09/2019,121.11
63,121.15,121.8025,119.31,"3,946,554",01/08/2019,121.26
64,120.96,121.942,119.8,"2,088,180",01/07/2019,120.25
65,121.23,121.74,119.73,"2,640,464",01/04/2019,120.48
66,118.27,120.0,117.29,"2,786,670",01/03/2019,118.06
