,Date,Open,High,Low,Close,Volume
4,08/27/2018,155.62,156.585,153.69,154.66,"897,306"
5,08/24/2018,153.88,154.84,151.61,154.53,"919,253"
6,08/23/2018,154.42,156.085,153.54,153.98,"813,168"
7,08/22/2018,152.13,156.34,152.13,154.69,"1,137,607"
8,08/21/2018,152.22,153.985,151.69,152.55,"1,114,282"
9,08/20/2018,150.28,151.77,149.86,151.56,"846,375"
10,08/17/2018,148.59,150.09,147.885,149.19,"816,785"
11,08/16/2018,149.02,149.7641,147.71,148.25,"598,440"
12,08/15/2018,153.38,153.38,147.54,148.54,"724,336"
13,08/14/2018,152.92,154.21,151.87,154.02,"713,495"
14,08/13/2018,154.49,154.5,152.5,153.24,"432,973"
15,08/10/2018,154.95,155.98,153.26,153.74,"788,639"
16,08/09/2018,154.13,157.63,153.285,156.18,"651,002"
17,08/08/2018,154.18,154.98,153.545,154.11,"489,480"
18,08/07/2018,152.73,154.169,152.09,153.73,"635,711"
19,08/06/2018,150.47,152.67,149.34,152.05,"657,275"
20,08/03/2018,150.71,151.69,150.25,150.85,"479,035"
21,08/02/2018,149.16,150.86,147.42,150.79,"724,580"
22,08/01/2018,152.91,154.41,150.01,150.17,"668,474"
23,07/31/2018,155.0,155.85,151.72,153.52,"839,797"
24,07/30/2018,153.53,154.17,152.36,153.3,"723,914"
25,07/27/2018,157.6,158.03,153.18,154.08,"518,300"
26,07/26/2018,157.37,159.84,156.215,157.5,"971,603"
27,07/25/2018,153.55,157.04,153.55,156.99,"709,295"
28,07/24/2018,155.28,156.37,153.5178,153.98,"1,028,803"
29,07/23/2018,155.37,156.58,154.23,155.37,"1,054,696"
30,07/20/2018,154.0,156.4,153.5412,154.47,"977,734"
31,07/19/2018,151.83,154.24,151.44,153.55,"724,978"
32,07/18/2018,150.79,152.12,150.3388,151.78,"846,029"
33,07/17/2018,148.25,152.315,148.25,151.49,"1,261,342"
34,07/16/2018,148.49,149.44,147.9,148.0,"926,065"
35,07/13/2018,148.12,149.86,147.43,148.27,"467,458"
36,07/12/2018,148.43,148.96,147.86,148.21,"711,008"
37,07/11/2018,149.8,149.99,147.07,147.62,"1,047,688"
38,07/10/2018,149.92,151.48,149.0,151.31,"996,064"
39,07/09/2018,146.49,150.11,146.49,149.66,"1,199,750"
40,07/06/2018,145.65,147.66,145.54,146.42,"618,661"
41,07/05/2018,146.91,147.3232,144.47,145.82,"868,445"
42,07/03/2018,148.53,148.95,145.64,145.87,"511,381"
43,07/02/2018,148.29,148.67,146.73,148.53,"744,169"
44,06/29/2018,152.23,154.76,149.64,149.72,"879,969"
45,06/28/2018,150.63,151.98,149.33,151.37,"878,880"
46,06/27/2018,153.41,155.66,150.8701,151.7,"911,868"
47,06/26/2018,151.5,155.0,151.48,153.83,"1,597,301"
48,06/25/2018,150.7,150.98,148.8,149.75,"1,241,977"
49,06/22/2018,155.23,155.24,152.03,152.08,"1,508,700"
50,06/21/2018,157.14,157.51,154.02,154.4,"1,089,770"
51,06/20/2018,160.45,160.74,156.64,157.35,"928,996"
52,06/19/2018,161.68,162.4599,159.5,160.39,"985,460"
53,06/18/2018,160.61,164.01,160.46,163.61,"724,041"
54,06/15/2018,159.73,161.6,159.565,161.41,"987,350"
55,06/14/2018,162.44,162.44,159.98,160.24,"1,104,401"
56,06/13/2018,165.93,166.41,162.0,162.3,"854,170"
57,06/12/2018,166.45,167.41,165.56,166.21,"674,811"
58,06/11/2018,168.52,169.22,166.38,166.5,"555,343"
59,06/08/2018,165.0,168.27,164.26,168.16,"832,226"
60,06/07/2018,165.0,167.7,164.6,165.11,"957,812"
61,06/06/2018,161.54,164.5,160.7,164.4,"1,124,283"
62,06/05/2018,159.85,161.19,158.8,160.96,"947,386"
63,06/04/2018,159.1,159.83,157.26,159.83,"911,315"
64,06/01/2018,162.0,162.4875,157.72,158.96,"1,268,420"
65,05/31/2018,155.75,160.46,155.04,160.0,"2,821,242"
66,05/30/2018,156.0,157.01,155.3705,155.5,"2,207,142"
67,05/29/2018,156.65,157.395,154.77,155.11,"1,276,509"
