,Date,Open,High,Low,Close,Volume
4,238.66,238.96,236.33,"294,810",05/03/2019,237.52
5,236.79,239.07,235.57,"268,033",05/02/2019,236.89
6,236.46,238.865,235.6,"294,388",05/01/2019,235.6
7,235.5,235.68,230.53,"323,950",04/30/2019,231.52
8,231.31,233.14,231.0,"193,677",04/29/2019,231.0
9,230.71,231.21,227.07,"269,970",04/26/2019,228.05
10,228.5,230.9,226.89,"282,868",04/25/2019,230.32
11,231.28,232.365,229.7,"222,263",04/24/2019,229.76
12,229.77,230.7,228.06,"238,519",04/23/2019,229.21
13,228.51,228.985,227.42,"121,741",04/22/2019,228.36
14,229.04,230.285,228.18,"238,893",04/18/2019,228.6
15,228.69,229.84,227.52,"199,443",04/17/2019,229.83
16,229.3,229.9,226.3,"226,676",04/16/2019,226.3
17,226.21,227.96,224.97,"202,730",04/15/2019,227.96
18,226.34,227.09,223.31,"330,481",04/12/2019,223.5
19,221.91,222.63,217.65,"363,253",04/11/2019,217.92
20,216.81,216.85,214.18,"330,069",04/10/2019,214.55
21,214.69,217.99,213.86,"313,327",04/09/2019,217.99
22,217.94,219.08,215.79,"227,167",04/08/2019,216.56
23,216.31,216.46,215.145,"197,441",04/05/2019,215.26
24,215.29,217.46,214.94,"166,887",04/04/2019,216.14
25,216.14,216.26,214.39,"246,761",04/03/2019,216.16
26,214.89,217.76,214.89,"237,925",04/02/2019,217.63
27,217.33,218.45,216.125,"227,820",04/01/2019,216.58
28,215.96,216.31,214.64,"215,472",03/29/2019,215.75
29,215.37,215.71,213.02,"246,306",03/28/2019,213.02
30,214.65,217.1024,214.48,"217,022",03/27/2019,215.61
31,215.48,216.26,214.65,"220,840",03/26/2019,215.76
32,214.8,215.985,214.13,"246,862",03/25/2019,215.17
33,214.99,217.4,214.72,"345,825",03/22/2019,214.76
34,215.48,216.01,210.13,"223,132",03/21/2019,211.14
35,211.95,219.02,211.65,"375,874",03/20/2019,218.5
36,218.89,221.7795,218.48,"180,846",03/19/2019,220.77
37,220.39,221.5,219.92,"239,078",03/18/2019,219.92
38,219.05,221.67,218.19,"595,896",03/15/2019,218.51
39,219.01,219.79,218.12,"219,957",03/14/2019,218.57
40,218.31,220.4,218.15,"274,395",03/13/2019,218.5
41,218.23,220.28,218.02,"330,002",03/12/2019,218.62
42,217.93,219.49,216.49,"285,359",03/11/2019,217.15
43,216.78,218.0784,215.93,"281,717",03/08/2019,216.54
44,218.14,221.99,218.1,"256,572",03/07/2019,221.99
45,222.11,225.41,222.09,"251,123",03/06/2019,223.75
46,223.03,224.92,222.89,"298,179",03/05/2019,223.41
47,224.88,226.805,222.52,"209,378",03/04/2019,225.14
48,225.39,227.64,223.46,"209,991",03/01/2019,226.64
49,226.11,226.3,223.0898,"231,877",02/28/2019,224.83
50,224.29,224.95,221.95,"255,769",02/27/2019,222.65
51,222.81,224.94,222.51,"225,550",02/26/2019,222.93
52,223.2,225.53,222.5,"320,602",02/25/2019,224.13
53,223.91,224.835,222.28,"197,362",02/22/2019,223.87
54,222.81,224.02,220.83,"234,968",02/21/2019,221.62
55,221.65,222.0,219.12,"185,135",02/20/2019,219.16
56,219.57,220.38,215.61,"252,767",02/19/2019,216.02
57,216.93,218.3,214.9,"275,943",02/15/2019,215.94
58,214.04,215.81,211.69,"285,539",02/14/2019,213.83
59,214.47,215.97,212.32,"470,747",02/13/2019,213.12
60,212.39,214.75,208.005,"834,307",02/12/2019,214.75
61,220.38,222.26,218.335,"266,689",02/11/2019,222.26
62,221.8,222.91,217.96,"212,492",02/08/2019,221.58
63,222.5,223.13,219.5,"227,422",02/07/2019,221.76
64,222.3,222.625,219.46,"208,146",02/06/2019,220.4
65,220.45,221.6,217.92,"213,431",02/05/2019,219.46
66,219.66,222.26,218.34,"242,393",02/04/2019,222.26
