,Date,Open,High,Low,Close,Volume
4,11/02/2018,358.21,361.18,347.735,352.59,"662,514"
5,11/01/2018,339.0,355.53,339.0,355.11,"996,831"
6,10/31/2018,344.82,347.0,335.44,339.24,"880,489"
7,10/30/2018,335.86,347.98,332.4,339.7,"1,086,738"
8,10/29/2018,343.43,343.43,327.58,336.18,"944,052"
9,10/26/2018,329.99,342.79,329.1,335.82,"1,038,410"
10,10/25/2018,342.58,348.99,330.73,336.94,"2,322,469"
11,10/24/2018,380.28,386.09,350.78,351.39,"1,387,527"
12,10/23/2018,384.17,387.19,377.09,380.69,"775,330"
13,10/22/2018,393.29,398.28,383.61,387.8,"639,961"
14,10/19/2018,396.58,400.22,387.52,389.83,"724,083"
15,10/18/2018,399.9,399.9,389.99,395.22,"540,507"
16,10/17/2018,398.07,401.0,392.45,399.06,"439,969"
17,10/16/2018,381.31,399.4,380.7803,398.52,"684,490"
18,10/15/2018,384.16,385.78,374.4,377.55,"442,110"
19,10/12/2018,377.12,385.9399,373.095,384.16,"802,652"
20,10/11/2018,382.65,384.18,367.73,371.67,"758,438"
21,10/10/2018,390.6,397.94,381.0,381.94,"660,178"
22,10/09/2018,394.0,396.64,388.68,392.53,"421,957"
23,10/08/2018,391.57,396.23,386.43,394.15,"370,162"
24,10/05/2018,393.92,400.745,386.75,391.77,"452,619"
25,10/04/2018,401.36,401.43,387.835,392.05,"585,135"
26,10/03/2018,401.37,403.59,397.98,403.04,"454,459"
27,10/02/2018,395.85,405.75,395.01,400.57,"583,517"
28,10/01/2018,406.41,410.0,392.0,394.23,"865,797"
29,09/28/2018,405.92,410.0,400.27,404.04,"837,206"
30,09/27/2018,391.11,407.1,390.01,406.0,"783,225"
31,09/26/2018,389.71,396.55,388.91,391.53,"389,411"
32,09/25/2018,391.6,394.77,388.665,390.05,"406,730"
33,09/24/2018,387.29,393.8,385.9507,390.19,"368,163"
34,09/21/2018,389.73,393.32,387.39,390.28,"1,147,805"
35,09/20/2018,385.06,389.32,382.995,387.25,"680,641"
36,09/19/2018,386.84,386.98,381.94,383.7,"610,455"
37,09/18/2018,382.73,392.47,375.21,388.33,"644,540"
38,09/17/2018,392.76,394.525,386.05,386.49,"497,493"
39,09/14/2018,397.78,400.0,388.1105,392.17,"491,008"
40,09/13/2018,390.28,398.565,389.25,397.71,"537,495"
41,09/12/2018,394.84,396.55,382.44,388.88,"682,224"
42,09/11/2018,394.16,396.02,389.63,393.77,"339,811"
43,09/10/2018,396.25,398.47,392.1,395.04,"355,704"
44,09/07/2018,395.42,397.67,388.02,395.415,"502,862"
45,09/06/2018,405.94,405.94,392.71,397.93,"477,994"
46,09/05/2018,404.12,409.67,403.0,406.94,"540,992"
47,09/04/2018,405.5,410.74,399.47,403.93,"582,134"
48,08/31/2018,407.2,412.165,406.3,406.75,"471,078"
49,08/30/2018,405.96,416.49,405.15,408.51,"945,996"
50,08/29/2018,392.495,408.75,388.91,406.62,"1,231,542"
51,08/28/2018,390.0,392.26,387.045,390.05,"657,389"
52,08/27/2018,378.69,389.08,377.04,388.44,"842,482"
53,08/24/2018,378.35,380.19,374.6,376.33,"410,537"
54,08/23/2018,378.84,382.14,376.59,379.19,"391,855"
55,08/22/2018,376.24,382.185,372.03,380.17,"434,248"
56,08/21/2018,374.55,381.35,374.145,378.56,"493,088"
57,08/20/2018,375.93,377.54,371.39,374.8,"529,704"
58,08/17/2018,373.0,377.86,370.17,374.26,"650,605"
59,08/16/2018,364.48,373.92,361.76,371.78,"592,171"
60,08/15/2018,365.0,369.0,361.19,361.87,"542,134"
61,08/14/2018,367.05,369.4,364.96,366.23,"462,216"
62,08/13/2018,367.0,368.57,362.3103,366.45,"590,216"
63,08/10/2018,371.22,371.85,364.857,368.78,"623,873"
64,08/09/2018,372.77,374.41,363.25,372.14,"990,980"
65,08/08/2018,380.0,380.0,367.63,374.27,"1,160,977"
66,08/07/2018,391.29,395.32,388.22,391.42,"451,228"
67,08/06/2018,394.0,395.84,389.52,390.05,"769,084"
68,08/03/2018,395.18,399.0,390.75,394.88,"1,291,613"
69,08/02/2018,372.48,401.5,367.515,397.0,"2,148,295"
