,Date,Open,High,Low,Close,Volume
4,15.24,15.33,15.04,"9,973,404",04/08/2019,15.05
5,15.14,15.24,14.975,"8,870,792",04/05/2019,15.15
6,15.1,15.165,14.79,"10,000,890",04/04/2019,14.82
7,14.87,15.275,14.85,"16,022,600",04/03/2019,15.05
8,14.84,14.94,14.55,"12,485,440",04/02/2019,14.66
9,14.67,14.72,14.32,"15,206,380",04/01/2019,14.33
10,14.15,14.4,14.08,"11,975,560",03/29/2019,14.36
11,14.17,14.19,13.88,"10,337,650",03/28/2019,14.02
12,13.97,14.06,13.78,"16,854,940",03/27/2019,13.89
13,13.93,13.95,13.61,"20,853,200",03/26/2019,13.64
14,13.53,13.85,13.38,"18,111,800",03/25/2019,13.64
15,13.53,14.29,13.42,"29,239,530",03/22/2019,14.29
16,14.43,14.9,14.4,"26,489,240",03/21/2019,14.9
17,14.96,15.63,14.95,"12,454,220",03/20/2019,15.55
18,15.63,16.13,15.6,"10,219,940",03/19/2019,16.09
19,15.97,16.06,15.81,"10,486,750",03/18/2019,15.88
20,15.74,15.93,15.73,"12,812,470",03/15/2019,15.78
21,15.79,15.96,15.77,"7,636,704",03/14/2019,15.82
22,15.81,15.9,15.59,"8,249,540",03/13/2019,15.64
23,15.62,15.7758,15.515,"11,137,540",03/12/2019,15.62
24,15.57,15.6769,15.44,"6,703,415",03/11/2019,15.56
25,15.47,15.52,15.21,"8,707,737",03/08/2019,15.26
26,15.42,15.585,15.305,"11,657,990",03/07/2019,15.57
27,15.77,16.14,15.76,"13,094,110",03/06/2019,16.05
28,16.11,16.2,15.82,"12,362,190",03/05/2019,16.16
29,16.16,16.52,16.05,"11,493,850",03/04/2019,16.32
30,16.31,16.72,16.29,"14,189,690",03/01/2019,16.56
31,16.4,16.59,16.35,"14,091,050",02/28/2019,16.57
32,16.57,16.625,16.22,"21,573,860",02/27/2019,16.22
33,16.2,16.435,16.095,"10,640,470",02/26/2019,16.27
34,16.37,16.55,16.33,"11,865,070",02/25/2019,16.35
35,16.24,16.3,16.075,"10,314,230",02/22/2019,16.29
36,16.25,16.42,16.14,"8,124,364",02/21/2019,16.42
37,16.36,16.405,16.04,"9,050,804",02/20/2019,16.09
38,16.14,16.2,15.87,"9,295,788",02/19/2019,15.94
39,16.0,16.03,15.62,"9,929,153",02/15/2019,15.71
40,15.51,15.63,15.275,"8,650,220",02/14/2019,15.43
41,15.59,15.645,15.46,"8,963,954",02/13/2019,15.54
42,15.47,15.705,15.445,"15,124,470",02/12/2019,15.52
43,15.36,15.57,15.36,"12,000,530",02/11/2019,15.51
44,15.44,15.57,15.24,"12,905,880",02/08/2019,15.48
45,15.51,16.26,15.32,"32,772,160",02/07/2019,15.87
46,15.41,15.5,15.255,"7,506,382",02/06/2019,15.32
47,15.41,15.515,15.305,"7,941,630",02/05/2019,15.45
48,15.47,15.53,15.22,"8,582,166",02/04/2019,15.32
49,15.33,15.5,15.16,"12,119,710",02/01/2019,15.22
50,15.17,15.44,14.93,"19,708,290",01/31/2019,15.33
51,15.43,15.72,15.415,"11,223,890",01/30/2019,15.56
52,15.53,15.81,15.52,"12,582,250",01/29/2019,15.68
53,15.68,15.73,15.5,"9,959,128",01/28/2019,15.57
54,15.65,15.7755,15.51,"10,185,430",01/25/2019,15.68
55,15.51,15.5872,15.25,"14,421,880",01/24/2019,15.28
56,15.37,15.72,15.235,"12,494,860",01/23/2019,15.65
57,15.59,15.755,15.44,"16,134,180",01/22/2019,15.59
58,15.7,15.76,14.96,"21,818,660",01/18/2019,15.5
59,15.61,15.645,15.15,"13,493,540",01/17/2019,15.3
60,15.4,15.49,15.16,"12,380,220",01/16/2019,15.26
61,15.11,15.11,14.72,"14,078,800",01/15/2019,14.91
62,14.96,15.05,14.58,"8,150,430",01/14/2019,14.64
63,14.78,14.9,14.5201,"8,795,462",01/11/2019,14.64
64,14.71,14.85,14.56,"9,313,102",01/10/2019,14.68
65,14.7,14.81,14.475,"8,797,533",01/09/2019,14.6
66,14.54,14.6,14.21,"10,756,350",01/08/2019,14.56
