,Date,Open,High,Low,Close,Volume
4,68.15,68.27,66.925,"1,213,917",04/18/2019,67.25
5,67.2,68.12,67.0,"996,255",04/17/2019,67.66
6,67.22,67.77,67.17,"808,091",04/16/2019,67.4
7,66.99,67.38,66.565,"581,084",04/15/2019,67.16
8,66.96,67.5,66.09,"958,377",04/12/2019,66.89
9,66.49,66.51,65.84,"1,007,251",04/11/2019,65.91
10,65.6,65.71,65.13,"884,219",04/10/2019,65.59
11,65.6,66.72,65.455,"974,121",04/09/2019,66.65
12,67.14,67.41,66.87,"598,470",04/08/2019,67.36
13,67.45,67.97,67.0,"681,461",04/05/2019,67.69
14,67.32,67.99,67.02,"608,567",04/04/2019,67.86
15,67.64,67.75,66.68,"1,146,254",04/03/2019,66.84
16,66.21,66.81,65.79,"945,767",04/02/2019,66.68
17,66.57,66.72,65.55,"1,131,480",04/01/2019,65.85
18,65.16,65.49,64.74,"982,818",03/29/2019,64.95
19,64.45,64.645,63.34,"978,149",03/28/2019,63.34
20,63.23,63.84,62.32,"839,925",03/27/2019,63.31
21,63.5,63.92,63.0298,"834,337",03/26/2019,63.81
22,63.15,63.56,62.15,"1,002,457",03/25/2019,63.32
23,63.73,66.25,63.71,"1,122,793",03/22/2019,66.2
24,66.37,66.68,64.66,"894,399",03/21/2019,64.91
25,65.2,66.9,65.19,"784,491",03/20/2019,66.63
26,66.69,67.315,66.54,"959,008",03/19/2019,66.85
27,66.62,66.67,65.94,"1,080,758",03/18/2019,65.94
28,65.93,65.96,65.41,"2,606,972",03/15/2019,65.41
29,65.34,65.66,65.08,"674,870",03/14/2019,65.55
30,65.62,65.95,65.22,"1,078,009",03/13/2019,65.56
31,65.16,65.48,64.49,"1,314,029",03/12/2019,65.29
32,65.01,65.05,64.14,"903,096",03/11/2019,64.66
33,64.68,64.99,63.73,"1,169,273",03/08/2019,64.89
34,65.44,65.84,65.01,"1,165,635",03/07/2019,65.84
35,65.78,67.5,65.525,"1,354,926",03/06/2019,67.17
36,67.09,68.15,67.06,"1,072,528",03/05/2019,67.75
37,67.59,68.54,66.96,"867,604",03/04/2019,68.54
38,68.2,69.01,67.89,"1,086,303",03/01/2019,68.59
39,68.19,69.0,67.85,"941,845",02/28/2019,68.24
40,68.27,68.33,67.08,"681,944",02/27/2019,67.62
41,67.58,68.25,67.52,"752,849",02/26/2019,67.73
42,67.82,68.76,67.69,"750,519",02/25/2019,68.51
43,68.26,68.28,67.09,"778,439",02/22/2019,67.43
44,67.39,67.94,66.73,"694,985",02/21/2019,67.94
45,67.73,67.89,67.06,"1,003,329",02/20/2019,67.45
46,67.45,67.9,66.5911,"1,375,525",02/19/2019,66.89
47,66.98,67.4,66.68,"678,096",02/15/2019,66.99
48,66.28,66.54,65.32,"959,483",02/14/2019,65.51
49,66.28,66.63,65.84,"972,406",02/13/2019,65.99
50,65.49,65.87,64.9,"752,190",02/12/2019,65.0
51,64.74,64.8,63.68,"931,193",02/11/2019,63.94
52,63.4,63.46,62.34,"711,496",02/08/2019,62.48
53,63.06,63.79,62.67,"1,035,093",02/07/2019,62.9
54,63.66,64.07,63.4,"742,924",02/06/2019,63.5
55,63.61,64.42,63.215,"1,196,933",02/05/2019,64.4
56,64.23,64.33,62.82,"1,307,062",02/04/2019,63.63
57,63.5,64.585,63.08,"1,909,819",02/01/2019,64.4
58,64.43,65.31,63.92,"1,707,001",01/31/2019,65.31
59,65.19,67.9,62.84,"3,040,410",01/30/2019,65.14
60,60.72,61.11,60.26,"1,389,155",01/29/2019,60.97
61,60.78,60.83,59.87,"1,021,691",01/28/2019,60.49
62,60.99,61.43,60.82,"837,862",01/25/2019,60.85
63,60.34,60.37,59.08,"1,088,665",01/24/2019,59.34
64,59.4,60.6,58.68,"839,098",01/23/2019,59.98
65,59.76,60.55,59.17,"908,876",01/22/2019,60.5
66,60.87,61.12,60.08,"1,104,193",01/18/2019,60.56
