,Date,Open,High,Low,Close,Volume
4,9.75,10.2,9.68,"12,194,960",04/18/2019,10.15
5,10.15,10.52,10.04,"7,118,708",04/17/2019,10.42
6,10.36,10.45,9.91,"8,637,589",04/16/2019,10.21
7,10.16,10.4127,9.965,"8,620,876",04/15/2019,10.24
8,10.32,10.78,10.255,"8,492,706",04/12/2019,10.72
9,10.34,10.54,10.19,"5,480,783",04/11/2019,10.45
10,10.55,10.82,10.5,"5,661,052",04/10/2019,10.63
11,10.59,10.96,10.54,"5,961,061",04/09/2019,10.93
12,10.91,11.11,10.8,"5,467,538",04/08/2019,10.93
13,10.82,10.87,10.55,"4,825,239",04/05/2019,10.55
14,10.55,10.55,10.13,"7,181,566",04/04/2019,10.27
15,10.24,10.93,10.18,"9,407,565",04/03/2019,10.91
16,10.88,11.175,10.84,"4,107,516",04/02/2019,11.15
17,11.14,11.42,11.06,"4,834,602",04/01/2019,11.37
18,11.24,11.38,11.1219,"5,186,320",03/29/2019,11.32
19,11.21,11.27,10.57,"5,714,274",03/28/2019,10.76
20,10.77,11.0533,10.67,"4,944,603",03/27/2019,11
21,11.06,11.29,10.865,"5,889,479",03/26/2019,11.12
22,10.97,11.089,10.58,"5,219,234",03/25/2019,10.81
23,10.87,11.29,10.7,"4,871,929",03/22/2019,11.27
24,11.47,11.54,11.27,"5,626,600",03/21/2019,11.33
25,11.31,11.47,10.66,"6,056,176",03/20/2019,10.7
26,10.76,11.1,10.7,"4,388,155",03/19/2019,11.07
27,10.88,10.9,10.55,"4,316,993",03/18/2019,10.56
28,10.52,10.83,10.42,"10,486,860",03/15/2019,10.73
29,10.89,10.96,10.775,"5,427,977",03/14/2019,10.78
30,10.81,10.8558,10.48,"7,740,313",03/13/2019,10.51
31,10.39,10.425,9.905,"5,991,399",03/12/2019,9.93
32,9.85,9.96,9.7,"5,614,565",03/11/2019,9.83
33,9.79,10.2,9.78,"6,145,689",03/08/2019,10.17
34,10.32,10.65,10.25,"5,821,891",03/07/2019,10.65
35,10.6,10.895,10.55,"5,262,394",03/06/2019,10.86
36,10.95,11.14,10.84,"7,025,855",03/05/2019,11.14
37,11.13,11.3,10.88,"8,728,027",03/04/2019,10.9
38,10.94,11.07,10.7,"10,014,440",03/01/2019,10.79
39,10.7,10.73,10.12,"12,670,280",02/28/2019,10.39
40,10.36,11.04,10.33,"9,654,610",02/27/2019,10.6
41,10.6,11.65,10.35,"14,883,420",02/26/2019,11.21
42,11.01,11.15,10.5,"9,234,063",02/25/2019,10.56
43,10.61,10.975,10.57,"5,147,903",02/22/2019,10.88
44,10.83,11.09,10.7649,"5,132,658",02/21/2019,11.05
45,11.08,11.27,10.875,"6,843,404",02/20/2019,10.92
46,10.89,11.05,10.76,"4,621,998",02/19/2019,10.86
47,10.87,10.89,10.47,"6,034,928",02/15/2019,10.51
48,10.38,10.53,10.2699,"4,748,816",02/14/2019,10.35
49,10.39,10.67,10.37,"5,564,048",02/13/2019,10.39
50,10.41,10.82,10.345,"9,275,247",02/12/2019,10.54
51,10.35,10.42,9.47,"13,230,350",02/11/2019,9.52
52,9.44,9.6851,9.23,"14,926,020",02/08/2019,9.58
53,9.66,10.1,9.55,"10,331,890",02/07/2019,10.06
54,10.14,10.7,10.1,"10,621,340",02/06/2019,10.7
55,10.72,10.96,10.72,"4,978,815",02/05/2019,10.86
56,10.89,11.06,10.63,"4,617,014",02/04/2019,10.87
57,10.95,11.2,10.855,"5,327,759",02/01/2019,11
58,11.03,11.79,10.9341,"7,345,541",01/31/2019,11.79
59,11.76,11.81,11.365,"7,099,879",01/30/2019,11.39
60,11.33,11.41,11.12,"4,756,759",01/29/2019,11.34
61,11.27,11.37,10.96,"5,992,514",01/28/2019,11.05
62,11.27,11.35,10.83,"6,255,737",01/25/2019,10.85
63,10.81,10.91,10.45,"9,121,004",01/24/2019,10.56
64,10.59,11.01,10.37,"7,827,276",01/23/2019,10.99
65,10.88,11.36,10.81,"10,278,490",01/22/2019,11.36
66,11.55,11.775,11.36,"9,087,869",01/18/2019,11.64
