,Date,Open,High,Low,Close,Volume
4,10/12/2018,49.41,49.47,47.79,49.01,"9,664,275"
5,10/11/2018,49.37,50.06,47.64,48.13,"11,175,240"
6,10/10/2018,52.08,52.17,49.57,49.59,"10,250,790"
7,10/09/2018,51.38,52.35,51.33,52.17,"5,211,288"
8,10/08/2018,51.25,51.83,51.04,51.67,"4,943,777"
9,10/05/2018,51.89,52.1499,51.12,51.48,"5,824,669"
10,10/04/2018,51.01,52.47,50.8,51.68,"8,712,815"
11,10/03/2018,50.37,51.11,50.24,50.8,"6,494,761"
12,10/02/2018,49.52,49.92,48.98,49.85,"5,314,661"
13,10/01/2018,49.35,49.75,49.22,49.55,"8,117,826"
14,09/28/2018,50.26,50.29,49.06,49.15,"8,910,938"
15,09/27/2018,50.83,50.91,50.42,50.52,"4,687,087"
16,09/26/2018,51.73,51.86,50.66,50.72,"4,707,890"
17,09/25/2018,51.65,51.74,51.165,51.62,"2,983,041"
18,09/24/2018,51.79,51.83,51.28,51.56,"3,396,593"
19,09/21/2018,52.37,52.39,51.77,51.84,"9,325,318"
20,09/20/2018,52.33,52.7,51.89,52.07,"4,990,526"
21,09/19/2018,50.83,52.09,50.82,51.99,"7,506,507"
22,09/18/2018,50.31,50.825,50.22,50.62,"4,134,129"
23,09/17/2018,51.29,51.49,50.12,50.32,"5,915,994"
24,09/14/2018,50.59,51.565,50.59,51.16,"4,491,400"
25,09/13/2018,50.82,50.97,50.36,50.42,"5,850,934"
26,09/12/2018,51,51.12,50.58,50.71,"5,548,228"
27,09/11/2018,50.52,51.245,50.5,50.98,"5,720,571"
28,09/10/2018,50.5,50.9,50.38,50.62,"5,665,141"
29,09/07/2018,49.73,50.38,49.26,50.16,"7,999,779"
30,09/06/2018,50.5,50.77,49.15,49.51,"7,569,935"
31,09/05/2018,51.13,51.42,50.465,50.52,"3,995,146"
32,09/04/2018,50.78,51.58,50.61,51.32,"3,872,881"
33,08/31/2018,50.38,50.89,50.2088,50.79,"4,998,477"
34,08/30/2018,51.15,51.289,50.51,50.56,"4,274,325"
35,08/29/2018,51.35,51.72,51.14,51.33,"5,642,830"
36,08/28/2018,51.58,51.8,51.18,51.24,"4,616,919"
37,08/27/2018,50.83,51.79,50.83,51.37,"5,548,722"
38,08/24/2018,50.47,50.91,50.41,50.55,"3,752,517"
39,08/23/2018,50.95,50.99,49.9143,50.17,"4,859,557"
40,08/22/2018,49.97,51.5,49.9,50.93,"4,539,457"
41,08/21/2018,49.79,50.77,49.32,50.17,"16,251,770"
42,08/20/2018,51,51.53,50.94,51.42,"2,691,874"
43,08/17/2018,51,51.01,50.32,50.9,"3,627,104"
44,08/16/2018,50.45,51.415,50.33,51.13,"3,501,177"
45,08/15/2018,50,50.56,49.82,50.24,"4,024,518"
46,08/14/2018,50.25,50.7,50.22,50.53,"3,485,070"
47,08/13/2018,50.68,50.97,50.065,50.11,"4,798,140"
48,08/10/2018,50.18,50.71,49.79,50.61,"4,340,726"
49,08/09/2018,50.41,50.96,50.3,50.73,"3,635,307"
50,08/08/2018,50.79,50.79,50.42,50.5,"4,679,636"
51,08/07/2018,50.7,51.87,50.55,50.79,"4,598,578"
52,08/06/2018,50.25,50.47,49.91,50.4,"5,060,206"
53,08/03/2018,50.39,50.68,49.96,50.29,"4,219,492"
54,08/02/2018,50.2,50.49,49.74,50.13,"7,451,655"
55,08/01/2018,51.49,52.61,49.67,50.88,"15,252,640"
56,07/31/2018,51.7,51.74,50.87,51.06,"5,324,982"
57,07/30/2018,52.7,52.75,51.25,51.32,"4,878,150"
58,07/27/2018,52.75,53.01,52.14,52.55,"3,362,082"
59,07/26/2018,53.08,53.235,52.54,52.65,"4,841,136"
60,07/25/2018,52.83,53.11,52.46,52.94,"5,445,031"
61,07/24/2018,52.95,53.61,52.41,52.86,"5,280,458"
62,07/23/2018,52.15,52.7261,52,52.61,"3,901,897"
63,07/20/2018,52.56,52.64,51.93,52.15,"8,035,496"
64,07/19/2018,53.91,54.07,52.72,52.88,"6,189,030"
65,07/18/2018,53.14,54.26,53.12,54.22,"7,538,775"
66,07/17/2018,52.53,53.78,52.49,52.88,"8,635,745"
67,07/16/2018,50.79,51.385,50.66,51.06,"6,205,156"
68,07/13/2018,50.72,50.78,49.9,50.62,"4,965,955"
69,07/12/2018,50.78,50.99,50.34,50.75,"5,734,305"
