,Date,Open,High,Low,Close,Volume
4,10/31/2018,32.42,32.755,32.07,32.36,"3,638,749"
5,10/30/2018,31.33,32.26,31.29,32.25,"2,352,433"
6,10/29/2018,31.77,32.08,30.96,31.31,"2,791,855"
7,10/26/2018,30.76,31.68,30.47,31.34,"2,807,540"
8,10/25/2018,30.89,31.14,30.67,31.02,"2,218,065"
9,10/24/2018,31.19,31.59,30.735,30.74,"3,405,989"
10,10/23/2018,30.78,31.68,30.22,31.16,"3,370,943"
11,10/22/2018,32.03,32.26,31.14,31.17,"4,106,831"
12,10/19/2018,32.5,32.64,31.65,32.1,"4,119,204"
13,10/18/2018,31.6,33.46,31.5,32.35,"7,577,231"
14,10/17/2018,35.3,35.45,34.91,35.28,"1,651,315"
15,10/16/2018,35.04,35.53,34.73,35.4,"1,467,951"
16,10/15/2018,34.77,35.35,34.49,34.92,"1,870,244"
17,10/12/2018,35.25,35.47,34.43,34.78,"2,645,675"
18,10/11/2018,36.18,36.23,34.94,34.94,"3,351,657"
19,10/10/2018,37.31,37.51,36.08,36.13,"2,725,066"
20,10/09/2018,38.7,38.7,37.38,37.5,"2,597,780"
21,10/08/2018,38.54,39.02,38.54,38.9,"1,273,644"
22,10/05/2018,38.68,39.04,38.5,38.62,"2,379,033"
23,10/04/2018,38.29,38.75,37.7619,38.65,"2,602,880"
24,10/03/2018,40.05,40.14,38.245,38.44,"2,708,134"
25,10/02/2018,40.1,40.3,39.72,39.9,"1,362,571"
26,10/01/2018,40.29,40.49,39.65,40.05,"1,862,734"
27,09/28/2018,39.92,40.21,39.82,40.15,"2,074,804"
28,09/27/2018,40.13,40.33,39.89,39.91,"1,251,014"
29,09/26/2018,40.04,40.655,39.8,40.13,"1,908,375"
30,09/25/2018,41.73,41.73,39.91,39.99,"2,301,981"
31,09/24/2018,41.63,41.81,41.43,41.58,"1,831,113"
32,09/21/2018,42.06,42.1,41.59,41.74,"1,871,445"
33,09/20/2018,42.07,42.3,41.8,42.11,"1,421,555"
34,09/19/2018,42.2,42.5,41.76,41.8,"1,492,697"
35,09/18/2018,42.04,42.21,41.17,42.15,"1,561,838"
36,09/17/2018,41.67,42.15,41.61,41.99,"1,188,878"
37,09/14/2018,41.21,41.79,41.12,41.6,"1,210,629"
38,09/13/2018,41.04,41.31,40.95,41.23,"1,057,177"
39,09/12/2018,40.56,41.07,40.39,40.82,"1,175,968"
40,09/11/2018,40.52,40.72,40.08,40.56,"1,328,474"
41,09/10/2018,40.45,40.79,40.34,40.58,"1,013,707"
42,09/07/2018,40.43,40.56,40.14,40.25,"1,215,034"
43,09/06/2018,40.3,40.66,40.17,40.5,"1,038,939"
44,09/05/2018,39.44,40.67,39.4125,40.46,"2,387,558"
45,09/04/2018,39.94,40.11,39.42,39.52,"1,619,397"
46,08/31/2018,40.17,40.51,39.99,40.11,"1,308,504"
47,08/30/2018,40.64,40.76,40.21,40.28,"1,234,467"
48,08/29/2018,40.11,40.91,40.06,40.74,"1,784,379"
49,08/28/2018,39.82,40.21,39.78,40.08,"1,985,853"
50,08/27/2018,39.07,40.09,38.99,39.85,"1,807,672"
51,08/24/2018,38.96,39.15,38.84,38.96,"1,143,509"
52,08/23/2018,39.25,39.34,38.83,38.91,"1,217,089"
53,08/22/2018,39.41,39.51,39.17,39.32,"1,356,368"
54,08/21/2018,38.77,39.44,38.77,39.38,"1,978,384"
55,08/20/2018,39.04,39.11,38.64,38.83,"2,233,133"
56,08/17/2018,38.85,39.05,38.49,38.95,"5,369,693"
57,08/16/2018,39.84,39.86,38.99,39.05,"1,860,001"
58,08/15/2018,39.95,39.95,39.46,39.72,"2,010,268"
59,08/14/2018,39.81,40.465,39.73,39.87,"2,000,454"
60,08/13/2018,39.8,39.94,39.02,39.63,"4,150,363"
61,08/10/2018,41.34,41.34,39.53,39.76,"2,700,266"
62,08/09/2018,41.24,41.72,41.21,41.46,"1,536,351"
63,08/08/2018,41.0,41.51,40.82,41.29,"2,458,319"
64,08/07/2018,41.0,42.21,40.88,41.0,"4,513,177"
65,08/06/2018,43.27,44.28,43.165,43.19,"1,361,852"
66,08/03/2018,43.19,43.669,42.39,43.39,"1,909,513"
67,08/02/2018,43.76,44.26,41.64,42.93,"2,533,194"
68,08/01/2018,44.0,44.1499,43.445,43.62,"1,523,358"
69,07/31/2018,44.01,44.34,43.92,44.07,"1,285,258"
