,Date,Open,High,Low,Close,Volume
4,26.56,27.19,26.17,"1,307,379",03/26/2019,26.44
5,26.22,26.95,25.96,"1,195,971",03/25/2019,26.32
6,26.46,27.2,26.2,"1,212,599",03/22/2019,26.87
7,27.29,27.49,26.17,"1,115,226",03/21/2019,26.32
8,26.47,27.19,26.17,"1,139,415",03/20/2019,27.04
9,27.13,27.88,26.93,"986,195",03/19/2019,27.25
10,27.09,27.45,26.92,"1,315,546",03/18/2019,27.23
11,27.13,28.34,26.98,"1,874,496",03/15/2019,27.3
12,27.29,27.57,26.92,"905,530",03/14/2019,27.42
13,27.42,27.8,26.65,"1,212,948",03/13/2019,26.83
14,26.59,27.37,26.06,"1,478,108",03/12/2019,27.37
15,27.37,27.43,26.25,"1,513,884",03/11/2019,26.25
16,26.2,26.31,25.33,"1,154,347",03/08/2019,25.64
17,26.02,26.4,25.1,"1,414,151",03/07/2019,25.7
18,25.85,27.98,25.7638,"1,873,453",03/06/2019,27.86
19,27.77,28.05,27.36,"856,264",03/05/2019,27.6
20,27.53,29.36,27.485,"1,532,009",03/04/2019,29.1
21,28.8,29.14,28.26,"1,273,417",03/01/2019,28.51
22,28.11,28.65,27.29,"1,603,293",02/28/2019,27.88
23,27.96,28.07,27.36,"1,718,770",02/27/2019,27.6
24,27.55,27.74,26.93,"940,370",02/26/2019,27.01
25,27.05,27.36,26.54,"1,547,341",02/25/2019,26.99
26,26.79,26.84,25.06,"1,494,725",02/22/2019,25.37
27,25.5,26.47,25.47,"1,410,817",02/21/2019,26.17
28,26.12,26.4,25.35,"1,434,121",02/20/2019,25.35
29,25.31,26.04,25.082,"1,435,718",02/19/2019,25.9
30,25.89,26.19,25.54,"1,384,627",02/15/2019,25.6
31,25.51,25.76,24.7055,"925,857",02/14/2019,25.16
32,25.37,25.45,24.7996,"914,606",02/13/2019,25.22
33,25.13,25.54,25.0,"1,203,349",02/12/2019,25.18
34,25.13,25.2,24.15,"1,143,989",02/11/2019,24.3
35,24.25,24.55,23.97,"1,283,007",02/08/2019,24.34
36,24.48,24.79,23.83,"1,419,735",02/07/2019,24.3
37,24.67,24.94,24.22,"2,181,822",02/06/2019,24.6
38,24.59,25.48,24.45,"2,983,967",02/05/2019,24.65
39,24.22,24.48,23.61,"1,735,378",02/04/2019,23.95
40,23.97,24.4,23.67,"1,462,242",02/01/2019,24.25
41,24.36,24.36,23.8135,"1,395,155",01/31/2019,23.9
42,24.3,24.66,23.9003,"1,634,080",01/30/2019,24.19
43,24.21,24.9944,24.1,"1,516,538",01/29/2019,24.86
44,25.25,25.65,24.77,"1,333,489",01/28/2019,24.96
45,25.15,25.17,24.415,"2,878,955",01/25/2019,24.62
46,24.55,24.85,24.2,"1,485,044",01/24/2019,24.31
47,24.4,24.8,23.85,"1,965,993",01/23/2019,23.88
48,23.94,25.22,23.64,"3,309,105",01/22/2019,25.05
49,25.41,25.78,24.41,"5,058,528",01/18/2019,24.79
50,25.13,27.9,24.97,"15,725,920",01/17/2019,27.39
51,33.36,34.31,33.07,"1,115,044",01/16/2019,33.85
52,33.82,34.62,33.4,"1,010,229",01/15/2019,34.1
53,34.25,35.34,33.79,"1,428,098",01/14/2019,35.34
54,35.55,36.08,34.9601,"1,189,402",01/11/2019,35.49
55,35.58,36.2,34.35,"1,524,922",01/10/2019,36.18
56,37.02,37.2199,35.645,"953,673",01/09/2019,36.14
57,35.93,36.01,34.31,"1,237,410",01/08/2019,35.61
58,34.97,35.46,33.85,"1,491,476",01/07/2019,34.67
59,34.67,34.79,32.66,"1,446,184",01/04/2019,32.93
60,32.49,33.33,31.49,"981,216",01/03/2019,32.94
61,33.07,33.2,30.77,"1,371,489",01/02/2019,31.02
62,31.77,31.95,30.96,"889,135",12/31/2018,31.47
63,31.31,32.11,30.8,"802,527",12/28/2018,31.66
64,31.36,31.39,29.93,"807,192",12/27/2018,30.55
65,31.14,31.15,28.69,"1,269,646",12/26/2018,29.55
