,Date,Open,High,Low,Close,Volume
4,10/12/2018,59.78,60.136,58.3,59.33,"9,546,710"
5,10/11/2018,60.32,60.58,58.65,59.12,"12,577,060"
6,10/10/2018,62.78,63.04,60.67,60.82,"10,388,190"
7,10/09/2018,63.19,63.65,62.3,63.11,"6,407,311"
8,10/08/2018,62.22,63.075,62.09,62.94,"4,702,519"
9,10/05/2018,62.75,63.36,62.44,63.0,"7,357,746"
10,10/04/2018,62.69,63.29,62.3,62.85,"6,903,132"
11,10/03/2018,62.15,62.905,61.59,62.62,"7,315,730"
12,10/02/2018,61.3,62.095,60.865,61.89,"5,643,172"
13,10/01/2018,61.2,62.37,60.88,61.59,"7,430,751"
14,09/28/2018,61.026,61.71,60.86,60.92,"7,116,211"
15,09/27/2018,61.14,61.69,60.4,61.17,"6,489,990"
16,09/26/2018,61.91,62.17,60.8,60.88,"10,375,630"
17,09/25/2018,62.2,62.88,62.07,62.53,"8,354,100"
18,09/24/2018,61.82,62.0799,61.405,61.6,"8,456,812"
19,09/21/2018,61.75,61.84,61.13,61.13,"21,476,740"
20,09/20/2018,61.95,62.27,61.56,61.57,"7,037,693"
21,09/19/2018,60.83,61.7125,60.51,61.23,"9,365,923"
22,09/18/2018,61.62,61.97,60.95,60.99,"6,778,744"
23,09/17/2018,61.59,61.67,60.68,60.97,"6,814,328"
24,09/14/2018,61.0,61.56,60.7644,61.23,"7,880,932"
25,09/13/2018,60.71,61.31,60.43,61.02,"5,913,476"
26,09/12/2018,60.7,61.603,60.7,60.82,"7,912,423"
27,09/11/2018,60.08,60.8,59.43,60.32,"9,779,970"
28,09/10/2018,60.0,60.78,59.96,59.98,"6,818,343"
29,09/07/2018,59.79,60.19,59.25,59.7,"11,054,720"
30,09/06/2018,60.8,60.96,59.8,60.21,"9,671,460"
31,09/05/2018,61.47,61.55,60.19,61.02,"10,127,170"
32,09/04/2018,63.06,63.14,61.7401,61.92,"8,273,407"
33,08/31/2018,64.07,64.14,62.97,63.16,"7,952,951"
34,08/30/2018,64.6,65.085,64.06,64.34,"6,294,285"
35,08/29/2018,64.23,64.64,63.91,64.49,"7,517,906"
36,08/28/2018,64.94,65.52,64.03,64.07,"9,470,688"
37,08/27/2018,65.36,65.57,64.61,64.85,"8,456,304"
38,08/24/2018,64.98,65.365,64.98,65.25,"6,415,780"
39,08/23/2018,64.77,64.97,64.27,64.65,"4,430,223"
40,08/22/2018,65.29,65.61,64.9101,65.09,"5,131,774"
41,08/21/2018,64.26,65.22,64.14,64.76,"6,079,816"
42,08/20/2018,63.06,63.66,62.74,63.5,"3,644,989"
43,08/17/2018,62.47,63.02,62.06,62.83,"5,657,330"
44,08/16/2018,62.61,63.08,62.4,62.49,"6,079,763"
45,08/15/2018,64.32,64.36,61.82,62.29,"9,823,477"
46,08/14/2018,65.28,65.74,64.785,64.8,"4,757,758"
47,08/13/2018,65.95,66.0368,64.7,64.97,"4,559,212"
48,08/10/2018,65.36,66.1,64.88,66.04,"4,847,820"
49,08/09/2018,66.57,66.67,65.12,65.4,"4,757,059"
50,08/08/2018,66.23,66.63,65.98,66.41,"3,543,996"
51,08/07/2018,66.42,67.31,65.72,66.68,"5,739,528"
52,08/06/2018,65.97,66.13,65.55,65.74,"4,348,824"
53,08/03/2018,65.84,66.65,65.64,65.89,"4,588,327"
54,08/02/2018,66.04,66.42,65.63,65.94,"4,977,648"
55,08/01/2018,67.0,67.16,66.01,66.66,"4,834,913"
56,07/31/2018,67.63,67.89,67.08,67.52,"5,971,581"
57,07/30/2018,67.51,68.3,67.31,67.58,"5,719,889"
58,07/27/2018,66.33,67.4,66.33,67.04,"5,888,128"
59,07/26/2018,66.22,67.02,65.52,66.86,"6,474,970"
60,07/25/2018,65.6,65.865,64.73,65.78,"7,584,703"
61,07/24/2018,66.01,66.41,65.39,65.52,"8,781,530"
62,07/23/2018,65.97,66.6,65.47,65.74,"8,449,434"
63,07/20/2018,68.34,68.43,66.03,66.09,"7,510,251"
64,07/19/2018,66.6,67.5458,66.5,66.92,"7,037,876"
65,07/18/2018,66.4,67.45,65.89,67.06,"6,489,049"
66,07/17/2018,67.09,67.2,66.36,66.74,"6,611,854"
67,07/16/2018,67.09,67.52,66.86,67.42,"4,543,806"
68,07/13/2018,67.75,68.34,67.41,68.08,"4,606,888"
69,07/12/2018,68.65,68.71,67.0,67.47,"6,216,140"
