,Date,Open,High,Low,Close,Volume
4,11.28,11.54,10.98,"28,751,250",04/04/2019,11.23
5,11.16,11.51,11.11,"16,785,480",04/03/2019,11.29
6,11.22,11.3,10.93,"19,951,560",04/02/2019,11.01
7,11.36,11.53,10.92,"22,110,770",04/01/2019,11.14
8,11.02,11.06,10.77,"13,310,050",03/29/2019,10.86
9,10.79,10.92,10.58,"10,292,290",03/28/2019,10.61
10,10.64,10.84,10.43,"11,229,940",03/27/2019,10.75
11,10.76,10.935,10.7,"10,063,960",03/26/2019,10.83
12,10.72,10.85,10.46,"13,155,790",03/25/2019,10.68
13,10.73,11.465,10.68,"25,606,360",03/22/2019,11.0
14,11.01,11.02,10.76,"14,567,900",03/21/2019,10.86
15,10.94,11.04,10.45,"18,234,730",03/20/2019,10.52
16,10.63,11.04,10.57,"21,445,710",03/19/2019,10.89
17,10.94,11.255,10.71,"25,672,700",03/18/2019,11.04
18,11.16,11.67,10.93,"51,624,710",03/15/2019,11.56
19,11.28,11.38,10.55,"80,617,040",03/14/2019,10.6
20,10.05,10.06,9.765,"14,356,500",03/13/2019,9.88
21,9.88,10.04,9.68,"16,302,280",03/12/2019,10.04
22,9.96,10.065,9.43,"21,671,700",03/11/2019,9.6
23,9.48,9.56,9.18,"15,644,810",03/08/2019,9.215
24,9.49,9.855,9.16,"28,639,920",03/07/2019,9.85
25,9.87,10.06,9.77,"18,307,280",03/06/2019,10.0
26,10.08,10.11,9.825,"17,951,230",03/05/2019,9.91
27,9.92,10.05,9.64,"21,493,080",03/04/2019,9.9
28,9.8,10.1599,9.755,"21,807,120",03/01/2019,9.86
29,9.8,9.925,9.63,"16,459,730",02/28/2019,9.85
30,9.81,10.1,9.68,"21,884,190",02/27/2019,10.08
31,10.08,10.42,9.825,"30,980,900",02/26/2019,10.12
32,10.12,10.29,9.85,"44,760,030",02/25/2019,9.9
33,9.71,9.8,9.32,"30,153,940",02/22/2019,9.39
34,9.39,9.4,9.13,"19,484,560",02/21/2019,9.14
35,9.24,9.33,9.14,"21,666,390",02/20/2019,9.25
36,9.28,9.34,9.05,"22,947,920",02/19/2019,9.05
37,9.12,9.23,9.04,"17,892,790",02/15/2019,9.2
38,9.19,9.32,9.01,"32,413,900",02/14/2019,9.05
39,9.07,9.23,8.67,"37,581,970",02/13/2019,8.75
40,8.8,9.17,8.77,"39,164,340",02/12/2019,9.02
41,8.99,9.195,8.85,"38,441,080",02/11/2019,9.03
42,9.1,9.19,8.3,"55,049,790",02/08/2019,8.37
43,8.57,8.69,8.04,"53,524,380",02/07/2019,8.36
44,8.59,9.09,8.35,"148,422,900",02/06/2019,8.61
45,7.04,7.05,6.8,"56,632,550",02/05/2019,7.02
46,6.93,6.98,6.7,"37,493,930",02/04/2019,6.925
47,6.91,7.15,6.73,"21,766,410",02/01/2019,6.78
48,6.68,6.81,6.65,"19,072,600",01/31/2019,6.68
49,6.57,6.6,6.31,"16,371,650",01/30/2019,6.47
50,6.43,6.5,6.29,"14,381,070",01/29/2019,6.42
51,6.34,6.395,6.2,"12,124,200",01/28/2019,6.27
52,6.4,6.44,6.2,"19,927,170",01/25/2019,6.24
53,6.17,6.2,5.91,"15,636,500",01/24/2019,5.94
54,5.99,6.1,5.87,"13,137,970",01/23/2019,6.01
55,5.93,6.24,5.88,"19,919,420",01/22/2019,6.07
56,6.18,6.19,5.74,"36,529,580",01/18/2019,5.83
57,5.74,5.84,5.65,"26,201,960",01/17/2019,5.72
58,5.64,5.94,5.63,"65,676,100",01/16/2019,5.73
59,6.54,6.57,6.3762,"14,116,970",01/15/2019,6.47
60,6.31,6.5,6.24,"10,677,630",01/14/2019,6.46
61,6.28,6.415,6.2,"11,725,390",01/11/2019,6.21
62,6.22,6.4,6.11,"15,400,690",01/10/2019,6.37
63,6.28,6.31,5.84,"30,165,270",01/09/2019,6.2
64,6.4,6.45,6.21,"16,014,100",01/08/2019,6.3
65,6.21,6.21,5.92,"14,709,620",01/07/2019,6.0
66,5.95,5.99,5.63,"18,197,570",01/04/2019,5.67
