,Date,Open,High,Low,Close,Volume
4,08/31/2018,18.86,19.45,18.7,19.26,"815,957"
5,08/30/2018,19.69,19.82,18.5,18.88,"1,408,182"
6,08/29/2018,20.14,20.2,19.21,19.22,"1,234,181"
7,08/28/2018,19.19,21,19.02,20.17,"2,441,577"
8,08/27/2018,20.39,20.45,18.7,18.92,"2,571,223"
9,08/24/2018,21.09,21.4794,19.65,20.21,"1,488,941"
10,08/23/2018,21.97,22.18,20.25,20.83,"1,813,625"
11,08/22/2018,20.29,21.95,20.2027,21.69,"2,455,028"
12,08/21/2018,19.85,22.25,19.5,20.08,"3,861,045"
13,08/20/2018,18.51,19.5,18.51,19.42,"1,026,802"
14,08/17/2018,17.27,18.78,17.26,18.45,"1,278,343"
15,08/16/2018,17.56,17.97,17,17.35,"1,094,352"
16,08/15/2018,16.75,17.7,16.45,17.63,"1,669,255"
17,08/14/2018,17.17,17.52,16.75,16.86,"1,211,114"
18,08/13/2018,18.69,18.97,16.72,17.18,"2,980,543"
19,08/10/2018,16.8,18.6,16.8,18.49,"2,591,781"
20,08/09/2018,18.15,18.15,16.51,16.69,"4,605,828"
21,08/08/2018,19.15,19.8,18.03,18.14,"2,986,727"
22,08/07/2018,19.47,19.9,18.6,19.15,"3,167,738"
23,08/06/2018,21.03,21.36,19.25,19.35,"6,063,244"
24,08/03/2018,21.48,23.6,20.12,20.95,"17,323,130"
25,08/02/2018,16,21,15.51,19.91,"22,731,780"
