,Date,Open,High,Low,Close,Volume
4,127.45,127.59,126.08,"869,407",05/03/2019,126.2
5,125.97,127.39,125.26,"1,926,024",05/02/2019,125.88
6,126.2,128.26,126.2,"1,726,492",05/01/2019,127.75
7,127.95,128.1285,125.67,"1,921,189",04/30/2019,125.91
8,125.8,127.16,125.16,"3,089,906",04/29/2019,126.9
9,128.05,128.81,127.68,"1,196,585",04/26/2019,127.85
10,127.34,127.93,125.78,"1,419,327",04/25/2019,126.0
11,126.41,127.0,125.625,"1,784,371",04/24/2019,126.48
12,126.12,126.95,124.905,"1,818,466",04/23/2019,125.53
13,125.38,127.735,125.17,"2,204,350",04/22/2019,127.25
14,127.41,128.32,127.28,"2,243,084",04/18/2019,127.4
15,127.29,128.11,126.68,"1,469,465",04/17/2019,127.36
16,127.27,129.25,127.04,"2,417,099",04/16/2019,128.67
17,128.56,130.0,128.17,"1,678,094",04/15/2019,129.96
18,129.85,129.93,127.59,"1,813,524",04/12/2019,127.86
19,128.1,128.2,126.81,"1,578,140",04/11/2019,127.42
20,127.43,128.95,127.04,"1,666,580",04/10/2019,128.34
21,127.89,128.05,127.17,"1,647,484",04/09/2019,128.05
22,127.79,128.25,127.66,"1,695,003",04/08/2019,128.02
23,128.24,128.25,127.04,"1,669,395",04/05/2019,127.33
24,127.02,127.6,126.61,"1,669,342",04/04/2019,127.6
25,127.24,127.74,126.145,"1,682,469",04/03/2019,126.78
26,127.24,127.26,125.91,"2,152,086",04/02/2019,126.71
27,126.63,126.75,125.02,"1,899,103",04/01/2019,125.97
28,125.86,126.18,124.1,"2,090,595",03/29/2019,124.29
29,124.47,125.96,123.79,"1,448,659",03/28/2019,125.89
30,125.41,125.65,124.11,"2,477,074",03/27/2019,125.43
31,125.48,125.92,124.835,"1,173,469",03/26/2019,124.97
32,125.04,126.09,124.87,"1,547,015",03/25/2019,126.05
33,126.07,126.86,125.73,"1,100,129",03/22/2019,126.0
34,125.87,125.94,123.92,"1,745,943",03/21/2019,124.07
35,125.05,125.5131,123.49,"1,871,531",03/20/2019,124.33
36,123.93,125.07,123.36,"1,665,931",03/19/2019,124.73
37,124.65,124.95,123.76,"1,519,599",03/18/2019,124.55
38,124.62,125.465,124.15,"2,517,978",03/15/2019,124.535
39,124.45,125.0703,123.49,"1,039,019",03/14/2019,124.34
40,124.34,124.81,123.45,"1,404,244",03/13/2019,123.45
41,124.0,124.43,123.08,"1,184,021",03/12/2019,123.5
42,123.19,123.32,122.43,"1,243,288",03/11/2019,122.43
43,122.3,122.36,121.0,"1,102,998",03/08/2019,121.87
44,121.7,122.55,121.21,"1,228,635",03/07/2019,121.5
45,120.97,121.75,120.4,"891,500",03/06/2019,121.23
46,121.08,121.99,120.81,"1,087,478",03/05/2019,121.35
47,121.33,122.0,120.06,"1,158,796",03/04/2019,121.99
48,121.26,121.37,119.94,"1,471,178",03/01/2019,120.37
49,120.44,121.05,119.27,"1,726,531",02/28/2019,120.2
50,120.33,121.61,117.98,"1,965,376",02/27/2019,118.9
51,118.9,120.18,117.74,"1,859,010",02/26/2019,119.38
52,117.59,118.6,117.26,"1,639,014",02/25/2019,118.6
53,118.48,118.84,117.64,"993,410",02/22/2019,118.03
54,117.67,117.85,116.36,"1,334,935",02/21/2019,116.39
55,117.13,117.3,115.87,"1,437,149",02/20/2019,116.1
56,116.27,116.52,113.88,"1,481,147",02/19/2019,114.17
57,115.26,115.54,114.52,"1,672,309",02/15/2019,114.6
58,114.05,114.85,113.87,"1,440,947",02/14/2019,114.47
59,114.24,114.4,113.31,"1,993,562",02/13/2019,113.57
60,114.12,115.4,113.23,"2,690,300",02/12/2019,115.39
61,114.95,117.91,114.4488,"2,980,520",02/11/2019,117.91
62,117.92,118.46,117.0,"1,191,401",02/08/2019,118.21
63,118.02,118.095,117.0,"1,391,472",02/07/2019,117.62
64,117.75,118.5,116.7,"1,789,910",02/06/2019,117.05
65,117.09,117.4,116.23,"1,454,384",02/05/2019,117.08
66,117.19,117.2,115.56,"1,372,161",02/04/2019,116.17
