,Date,Open,High,Low,Close,Volume
4,11/01/2018,40.55,43.32,40.33,42.98,"7,261,630"
5,10/31/2018,39.5,40.61,39.22,40.23,"5,307,139"
6,10/30/2018,37.82,38.87,37.775,38.85,"4,092,297"
7,10/29/2018,39.75,39.815,37.28,37.83,"5,155,998"
8,10/26/2018,37.78,40.25,36.69,38.8,"10,746,490"
9,10/25/2018,42.09,43.07,41.73,42.61,"3,951,607"
10,10/24/2018,43.25,43.57,41.25,41.68,"4,594,602"
11,10/23/2018,40.29,43.62,38.8,43.47,"6,298,176"
12,10/22/2018,44.16,44.36,43.2,43.6,"1,804,424"
13,10/19/2018,44.06,44.625,43.5501,43.81,"2,115,668"
14,10/18/2018,43.97,44.47,43.56,43.76,"2,119,682"
15,10/17/2018,44.02,44.7425,43.44,44.12,"2,287,552"
16,10/16/2018,43.36,44.22,42.85,44.11,"2,901,049"
17,10/15/2018,42.99,43.44,42.7144,42.76,"2,390,737"
18,10/12/2018,44.47,44.51,42.32,42.99,"4,728,370"
19,10/11/2018,43.83,45.195,43.15,43.34,"3,900,598"
20,10/10/2018,43.7,44.92,43.47,43.66,"4,950,123"
21,10/09/2018,45.43,45.64,43.53,44.0,"4,961,154"
22,10/08/2018,46.45,46.68,45.5,45.84,"2,544,730"
23,10/05/2018,47.0,47.765,46.75,46.81,"6,324,992"
24,10/04/2018,47.71,47.87,46.38,46.65,"3,219,268"
25,10/03/2018,47.32,48.31,47.1,47.79,"2,316,056"
26,10/02/2018,46.94,47.8,46.75,46.93,"1,758,910"
27,10/01/2018,47.77,48.04,46.75,46.98,"3,081,515"
28,09/28/2018,46.34,47.775,46.29,47.35,"3,493,915"
29,09/27/2018,47.27,47.7497,46.25,46.57,"3,588,992"
30,09/26/2018,48.0,48.1,46.06,47.07,"5,251,945"
31,09/25/2018,49.2,49.52,48.48,48.49,"2,953,361"
32,09/24/2018,49.3,49.72,48.995,49.15,"2,822,984"
33,09/21/2018,48.74,49.47,48.36,49.28,"8,316,897"
34,09/20/2018,48.45,49.31,48.26,49.02,"4,277,876"
35,09/19/2018,48.01,48.45,47.74,48.09,"2,549,855"
36,09/18/2018,47.3,48.44,47.25,47.98,"3,837,901"
37,09/17/2018,48.4,48.4,47.81,47.94,"3,833,676"
38,09/14/2018,48.21,48.61,47.68,48.29,"4,426,082"
39,09/13/2018,50.11,50.4,47.89,48.21,"4,837,415"
40,09/12/2018,47.74,49.79,47.2,49.47,"6,622,549"
41,09/11/2018,49.89,50.0,48.1,48.98,"4,272,212"
42,09/10/2018,50.12,51.43,49.85,50.29,"3,420,003"
43,09/07/2018,49.19,50.25,48.62,49.8,"4,051,170"
44,09/06/2018,49.4,49.97,48.9,49.39,"4,326,091"
45,09/05/2018,49.19,49.66,47.97,49.37,"6,634,133"
46,09/04/2018,51.24,51.54,48.27,49.41,"10,361,030"
47,08/31/2018,53.24,53.75,52.85,53.54,"3,116,161"
48,08/30/2018,55.44,55.75,53.07,53.14,"4,900,558"
49,08/29/2018,56.74,56.91,55.89,55.98,"2,442,306"
50,08/28/2018,56.58,57.2,56.0,56.46,"1,865,891"
51,08/27/2018,56.1,57.1075,56.1,56.36,"2,097,855"
52,08/24/2018,55.95,56.22,55.4,55.75,"1,853,070"
53,08/23/2018,55.23,55.84,54.91,55.72,"2,496,542"
54,08/22/2018,54.28,55.61,54.28,55.32,"1,977,883"
55,08/21/2018,54.9,55.67,54.58,54.81,"2,730,074"
56,08/20/2018,54.33,54.85,53.751,54.54,"2,293,430"
57,08/17/2018,53.05,54.41,52.63,54.26,"4,190,988"
58,08/16/2018,53.52,54.4,52.95,53.05,"3,006,998"
59,08/15/2018,52.66,53.72,52.3,52.89,"4,633,040"
60,08/14/2018,51.43,53.31,51.34,53.23,"4,354,740"
61,08/13/2018,50.88,51.65,50.72,51.01,"3,483,201"
62,08/10/2018,50.56,51.4,50.04,50.88,"4,978,186"
63,08/09/2018,52.585,52.99,50.48,51.02,"8,312,916"
64,08/08/2018,54.75,55.43,54.36,55.04,"1,650,339"
65,08/07/2018,54.25,55.09,54.18,54.87,"2,202,749"
66,08/06/2018,53.8,54.265,53.44,54.23,"2,177,239"
67,08/03/2018,53.44,54.43,53.44,53.88,"2,662,890"
68,08/02/2018,52.59,53.61,52.5,53.42,"2,678,394"
69,08/01/2018,52.63,53.55,52.63,53.07,"3,914,932"
