,Date,Open,High,Low,Close,Volume
4,478.35,480.98,473.72,"183,348",05/03/2019,480.65
5,478.59,479.07,473.64,"248,407",05/02/2019,476.9
6,477.59,489.95,476.81,"146,929",05/01/2019,482.52
7,482.52,487.035,481.42,"317,630",04/30/2019,482.79
8,482.57,484.95,481.405,"252,899",04/29/2019,482.08
9,482.93,483.0,477.0,"226,463",04/26/2019,479.31
10,476.81,478.1,471.48,"173,722",04/25/2019,474.95
11,477.42,484.36,475.49,"333,421",04/24/2019,481.58
12,479.7,480.22,470.0,"249,777",04/23/2019,470.0
13,467.33,469.4,464.26,"331,326",04/22/2019,466.91
14,469.28,470.02,457.0,"285,512",04/18/2019,457.1
15,456.24,460.13,454.3,"269,960",04/17/2019,459.85
16,458.13,462.34,457.32,"157,693",04/16/2019,459.13
17,458.16,464.93,457.22,"213,147",04/15/2019,464.93
18,463.38,466.7,460.55,"255,333",04/12/2019,464.96
19,461.52,463.1326,457.09,"540,829",04/11/2019,457.09
20,456.96,459.1,453.05,"300,509",04/10/2019,454.27
21,454.37,460.22,453.17,"300,049",04/09/2019,458.52
22,462.32,462.44,456.37,"286,751",04/08/2019,459.01
23,462.78,467.34,461.12,"233,018",04/05/2019,464.21
24,463.31,469.01,462.62,"219,257",04/04/2019,466.47
25,465.47,465.94,458.84,"270,228",04/03/2019,464.43
26,461.31,466.23,460.58,"224,575",04/02/2019,464.59
27,464.39,464.855,457.55,"273,783",04/01/2019,457.55
28,453.99,454.35,450.23,"309,040",03/29/2019,451.96
29,449.15,450.02,439.49,"247,343",03/28/2019,446.62
30,445.58,449.22,440.17,"225,245",03/27/2019,446.92
31,445.58,451.165,439.95,"424,177",03/26/2019,450.42
32,447.01,447.665,439.32,"267,614",03/25/2019,444.5
33,444.71,454.25,444.32,"286,249",03/22/2019,452.45
34,453.73,454.55,443.25,"241,773",03/21/2019,444.07
35,445.62,450.31,444.23,"358,084",03/20/2019,449.2
36,448.8,455.72,446.99,"437,755",03/19/2019,452.1
37,449.07,449.85,440.5,"376,434",03/18/2019,440.91
38,439.87,443.7,438.22,"945,683",03/15/2019,442.75
39,442.58,445.93,439.32,"411,008",03/14/2019,439.32
40,439.94,443.55,437.39,"500,579",03/13/2019,438.0
41,436.8,438.06,431.65,"446,422",03/12/2019,433.07
42,432.86,433.48,423.0,"648,716",03/11/2019,423.76
43,427.67,428.48,422.055,"312,106",03/08/2019,423.59
44,427.75,429.55,421.98,"354,308",03/07/2019,426.25
45,426.99,430.35,425.22,"291,121",03/06/2019,427.99
46,428.99,438.31,424.37,"763,064",03/05/2019,433.99
47,434.98,445.51,429.625,"376,290",03/04/2019,440.12
48,437.31,440.0,434.34,"234,396",03/01/2019,436.94
49,434.09,438.58,428.01,"417,450",02/28/2019,429.92
50,429.48,432.62,429.19,"400,219",02/27/2019,430.98
51,431.85,435.23,429.31,"715,510",02/26/2019,434.21
52,435.94,440.0,434.205,"331,390",02/25/2019,440.0
53,436.89,437.01,434.01,"214,964",02/22/2019,436.73
54,433.48,437.58,432.46,"367,358",02/21/2019,435.98
55,436.19,440.25,435.32,"358,992",02/20/2019,435.77
56,436.54,439.55,435.36,"309,583",02/19/2019,438.33
57,440.09,440.18,433.325,"302,669",02/15/2019,433.82
58,429.77,432.6,427.2,"601,931",02/14/2019,427.2
59,432.09,433.47,425.0,"279,572",02/13/2019,432.64
60,431.18,432.955,429.4301,"301,808",02/12/2019,432.0
61,428.73,429.0,424.96,"312,606",02/11/2019,426.59
62,425.39,425.39,417.87,"367,255",02/08/2019,417.87
63,420.98,421.24,415.445,"480,873",02/07/2019,418.45
64,419.9,419.9,413.18,"503,873",02/06/2019,419.38
65,418.07,428.75,414.6,"805,082",02/05/2019,428.75
66,402.63,403.05,392.15,"576,095",02/04/2019,393.77
