,Date,Open,High,Low,Close,Volume
4,10/30/2018,75.82,78.26,75.22,78.17,"4,201,710"
5,10/29/2018,76.28,77.58,74.635,75.68,"2,490,447"
6,10/26/2018,74.2,76.3,73.7,74.86,"2,750,684"
7,10/25/2018,74.67,76.03,74.67,75.82,"1,960,715"
8,10/24/2018,76.96,77.285,74.03,74.15,"2,325,059"
9,10/23/2018,75.99,77.06,74.71,76.72,"3,006,932"
10,10/22/2018,77.86,78.0,77.11,77.48,"1,032,136"
11,10/19/2018,78.8,78.95,77.53,77.55,"1,968,426"
12,10/18/2018,79.13,79.65,78.25,78.61,"2,069,781"
13,10/17/2018,80.22,80.22,78.86,79.55,"1,465,550"
14,10/16/2018,79.08,80.15,78.95,80.06,"1,420,531"
15,10/15/2018,78.71,79.32,78.53,78.62,"1,815,091"
16,10/12/2018,79.58,80.08,77.7,78.91,"1,840,570"
17,10/11/2018,80.99,81.39,78.59,78.66,"2,495,250"
18,10/10/2018,82.37,82.4,80.37,80.88,"5,172,923"
19,10/09/2018,83.97,84.05,82.02,82.38,"3,562,221"
20,10/08/2018,84.08,84.4,83.06,83.99,"1,856,529"
21,10/05/2018,85.77,86.379,83.84,84.19,"1,915,646"
22,10/04/2018,86.83,86.87,85.33,86.16,"1,501,528"
23,10/03/2018,86.89,87.78,85.5,86.8,"1,461,854"
24,10/02/2018,86.63,87.53,86.57,86.91,"2,362,451"
25,10/01/2018,86.91,87.61,85.84,86.83,"2,738,903"
26,09/28/2018,87.74,88.62,87.37,87.93,"2,110,542"
27,09/27/2018,89.07,89.26,88.01,88.09,"1,993,074"
28,09/26/2018,89.19,89.59,88.7201,88.99,"1,495,976"
29,09/25/2018,90.26,90.26,88.86,89.38,"2,092,641"
30,09/24/2018,91.78,92.135,89.59,90.58,"1,806,082"
31,09/21/2018,93.33,93.87,92.43,92.61,"3,166,813"
32,09/20/2018,92.75,93.0,92.13,92.63,"1,685,132"
33,09/19/2018,90.06,92.4,89.54,92.06,"2,098,550"
34,09/18/2018,91.7,91.87,88.84,89.76,"2,243,018"
35,09/17/2018,92.48,92.71,91.7,91.88,"2,172,487"
36,09/14/2018,91.74,92.14,91.27,91.77,"1,404,122"
37,09/13/2018,91.0,92.16,90.89,91.73,"1,579,951"
38,09/12/2018,90.78,91.09,90.08,90.73,"1,149,771"
39,09/11/2018,90.7,91.07,90.08,90.89,"1,309,317"
40,09/10/2018,90.97,91.39,90.68,91.15,"1,246,987"
41,09/07/2018,89.48,90.36,89.1,90.32,"2,034,496"
42,09/06/2018,90.19,90.56,89.41,89.6,"1,927,920"
43,09/05/2018,90.26,91.08,89.83,90.61,"2,262,122"
44,09/04/2018,91.69,91.69,90.19,90.35,"1,771,935"
45,08/31/2018,91.15,91.81,90.98,91.68,"2,220,019"
46,08/30/2018,91.71,91.93,90.97,91.37,"3,140,169"
47,08/29/2018,92.5,92.595,91.93,92.0,"1,779,409"
48,08/28/2018,93.17,93.17,92.3,92.49,"1,740,259"
49,08/27/2018,91.85,92.94,91.85,92.59,"1,173,055"
50,08/24/2018,91.32,91.67,90.68,91.54,"1,328,697"
51,08/23/2018,91.55,91.87,90.65,90.98,"1,682,255"
52,08/22/2018,92.85,92.87,91.4,92.17,"2,700,368"
53,08/21/2018,93.97,94.58,93.4,93.62,"1,226,178"
54,08/20/2018,93.14,94.07,93.14,93.77,"2,341,967"
55,08/17/2018,92.71,93.05,92.34,92.95,"2,726,223"
56,08/16/2018,93.16,93.74,92.66,92.79,"1,063,617"
57,08/15/2018,92.48,92.71,91.69,92.5,"1,276,218"
58,08/14/2018,92.45,93.48,92.15,93.24,"1,159,806"
59,08/13/2018,92.44,93.5,92.02,92.37,"1,347,658"
60,08/10/2018,92.68,92.68,91.73,92.15,"1,648,285"
61,08/09/2018,94.74,95.22,93.46,93.65,"1,348,784"
62,08/08/2018,94.71,95.03,94.12,94.71,"974,377"
63,08/07/2018,94.62,95.37,94.39,94.92,"1,564,983"
64,08/06/2018,93.0,94.07,93.0,94.03,"1,023,673"
65,08/03/2018,92.51,93.16,92.36,93.09,"1,243,267"
66,08/02/2018,91.94,93.21,91.53,92.51,"1,548,725"
67,08/01/2018,93.55,94.17,91.97,92.66,"1,959,498"
68,07/31/2018,93.81,94.43,93.31,93.57,"3,016,948"
69,07/30/2018,94.17,94.7,93.17,93.24,"1,957,128"
