,Date,Open,High,Low,Close,Volume
4,11/14/2018,84.52,85.6,82.6077,83.13,"5,625,174"
5,11/13/2018,85.62,85.98,83.94,84.32,"4,273,100"
6,11/12/2018,87.17,87.29,85.24,85.47,"4,442,400"
7,11/09/2018,87.44,87.93,86.67,86.94,"3,489,400"
8,11/08/2018,87.0,87.855,86.7901,87.6,"4,474,693"
9,11/07/2018,87.51,87.66,85.76,86.76,"6,777,753"
10,11/06/2018,85.44,85.67,84.93,85.59,"3,698,292"
11,11/05/2018,84.56,85.52,84.1086,85.35,"3,645,306"
12,11/02/2018,84.76,85.67,83.46,84.41,"3,592,168"
13,11/01/2018,83.51,84.38,82.98,84.23,"4,374,049"
14,10/31/2018,86.47,86.47,83.52,83.63,"6,621,256"
15,10/30/2018,84.8,86.47,84.55,85.77,"5,746,807"
16,10/29/2018,82.78,85.52,82.51,84.1,"5,029,865"
17,10/26/2018,83.72,84.26,81.81,81.94,"6,128,792"
18,10/25/2018,83.18,84.58,82.65,83.83,"5,258,995"
19,10/24/2018,82.59,84.3,82.11,82.27,"5,043,716"
20,10/23/2018,81.28,82.9509,81.07,82.67,"4,512,611"
21,10/22/2018,82.5,83.78,82.5,83.23,"3,376,513"
22,10/19/2018,83.73,83.77,81.92,82.02,"5,342,283"
23,10/18/2018,83.59,84.58,82.0,83.36,"4,241,945"
24,10/17/2018,85.56,85.95,83.54,84.42,"4,068,365"
25,10/16/2018,85.14,86.073,84.55,85.81,"2,690,887"
26,10/15/2018,84.56,85.31,84.32,84.6,"3,335,601"
27,10/12/2018,84.09,85.76,83.77,84.61,"5,123,257"
28,10/11/2018,85.42,86.13,82.7,82.8,"5,084,659"
29,10/10/2018,85.67,86.81,85.065,85.2,"4,888,524"
30,10/09/2018,85.49,86.8,85.49,85.66,"3,330,911"
31,10/08/2018,84.39,85.56,84.17,85.4,"3,562,980"
32,10/05/2018,84.85,85.23,83.81,84.52,"5,075,171"
33,10/04/2018,85.84,86.52,84.4176,84.84,"5,473,187"
34,10/03/2018,86.73,86.75,85.65,85.97,"4,202,076"
35,10/02/2018,88.36,89.39,86.42,86.62,"4,226,376"
36,10/01/2018,88.33,88.79,88.205,88.47,"3,071,881"
37,09/28/2018,87.66,88.29,87.48,88.21,"3,923,848"
38,09/27/2018,87.84,88.24,87.38,87.51,"3,061,803"
39,09/26/2018,87.45,88.37,87.26,87.89,"3,865,751"
40,09/25/2018,87.42,87.99,86.86,87.31,"2,903,485"
41,09/24/2018,87.21,88.53,87.04,87.24,"3,462,723"
42,09/21/2018,87.53,88.655,87.06,87.31,"6,683,392"
43,09/20/2018,87.37,87.64,86.72,87.38,"3,021,296"
44,09/19/2018,87.68,87.94,86.3774,87.16,"3,147,603"
45,09/18/2018,86.96,87.97,86.65,87.68,"4,964,606"
46,09/17/2018,88.18,88.21,87.14,87.28,"2,773,731"
47,09/14/2018,88.12,88.519,87.54,87.94,"3,125,888"
48,09/13/2018,88.63,88.94,87.95,88.08,"3,673,196"
49,09/12/2018,88.94,89.2,88.27,88.65,"2,913,881"
50,09/11/2018,89.39,89.83,88.725,88.8,"2,990,950"
51,09/10/2018,89.4,90.39,88.92,89.26,"4,131,219"
52,09/07/2018,88.98,89.99,88.21,88.74,"4,517,041"
53,09/06/2018,89.2,90.195,88.8,88.88,"4,504,346"
54,09/05/2018,88.93,89.42,88.1501,88.6,"7,043,760"
55,09/04/2018,87.41,88.98,87.41,88.95,"3,558,267"
56,08/31/2018,86.8,87.59,86.8,87.5,"3,446,230"
57,08/30/2018,87.01,87.73,86.77,87.31,"2,939,945"
58,08/29/2018,86.92,87.75,86.21,87.63,"3,307,134"
59,08/28/2018,86.96,87.63,86.45,86.7,"3,953,736"
60,08/27/2018,87.38,87.59,86.22,86.6,"3,935,405"
61,08/24/2018,86.44,87.73,86.14,87.31,"4,454,956"
62,08/23/2018,86.25,87.19,85.851,86.71,"7,189,792"
63,08/22/2018,88.05,88.89,84.48,85.94,"19,546,270"
64,08/21/2018,83.382,83.72,82.44,83.27,"7,766,785"
65,08/20/2018,83.2,83.47,82.53,83.32,"5,676,497"
66,08/17/2018,82.45,84.1399,82.35,83.04,"7,430,902"
67,08/16/2018,82.09,82.41,81.111,82.07,"6,603,604"
68,08/15/2018,82.01,82.11,79.37,80.69,"6,191,741"
69,08/14/2018,82.1,82.89,82.01,82.68,"4,678,833"
