,Date,Open,High,Low,Close,Volume
4,10/26/2018,64.55,65.56,64.2755,65.11,"7,108,826"
5,10/25/2018,66.34,67,65.1,66.32,"6,793,809"
6,10/24/2018,69.05,69.37,65.59,65.71,"5,657,052"
7,10/23/2018,69.08,69.77,67.79,69.28,"3,084,684"
8,10/22/2018,69.85,70.21,69.42,69.51,"2,615,778"
9,10/19/2018,69.53,70.14,69.21,69.75,"4,743,839"
10,10/18/2018,69.23,69.69,68.33,68.77,"2,954,417"
11,10/17/2018,68.96,69.655,68.58,69.08,"2,661,824"
12,10/16/2018,67.68,69.13,67.56,68.94,"2,422,277"
13,10/15/2018,68.12,68.66,67.575,67.62,"3,013,924"
14,10/12/2018,67.27,68.6,66.84,68.38,"3,820,141"
15,10/11/2018,66.75,67.71,66.01,66.21,"5,081,292"
16,10/10/2018,68.54,69.05,66.55,66.63,"6,294,741"
17,10/09/2018,68.77,69.35,68.24,68.46,"3,237,163"
18,10/08/2018,68.59,69.24,68.03,68.82,"3,611,821"
19,10/05/2018,68.95,69.73,68.12,68.59,"2,932,925"
20,10/04/2018,68.53,68.99,68.26,68.95,"2,890,363"
21,10/03/2018,69.82,69.98,68.75,68.98,"5,561,539"
22,10/02/2018,70.16,70.58,69.57,69.72,"2,271,968"
23,10/01/2018,70.71,70.94,69.97,70.25,"2,684,335"
24,09/28/2018,70.45,70.88,69.98,70.18,"3,703,453"
25,09/27/2018,69.08,70.63,68.87,70.49,"3,660,789"
26,09/26/2018,69.47,69.49,68.69,68.79,"2,557,281"
27,09/25/2018,69.51,69.545,68.56,69.45,"2,610,876"
28,09/24/2018,68.7,69.34,68.5,68.92,"2,674,686"
29,09/21/2018,69.34,69.77,68.89,69.07,"4,033,539"
30,09/20/2018,68.78,69.15,68.34,69.13,"1,875,250"
31,09/19/2018,68.61,68.87,67.72,68.35,"2,847,163"
32,09/18/2018,67.43,68.58,67.08,68.49,"4,113,060"
33,09/17/2018,68.03,68.18,67.32,67.42,"2,755,419"
34,09/14/2018,68.58,68.65,67.9,68.25,"3,152,084"
35,09/13/2018,68,68.71,67.37,68.48,"3,791,768"
36,09/12/2018,66,68.32,65.62,67.92,"5,019,984"
37,09/11/2018,65.56,66.02,65.24,65.91,"1,375,317"
38,09/10/2018,64.98,65.8,64.59,65.56,"2,167,769"
39,09/07/2018,65.33,65.64,64.07,64.39,"2,840,856"
40,09/06/2018,65.5,65.96,65.37,65.52,"2,277,527"
41,09/05/2018,65.63,66.03,65.43,65.71,"3,141,123"
42,09/04/2018,65.74,66.295,65.53,65.77,"2,104,033"
43,08/31/2018,66.13,66.38,65.7,66.04,"2,370,945"
44,08/30/2018,65.57,66.36,65.33,66.01,"1,959,967"
45,08/29/2018,65.74,66.49,65.51,65.98,"2,411,253"
46,08/28/2018,65.85,66.09,65.4115,65.59,"1,697,855"
47,08/27/2018,65.2,65.94,65.2,65.8,"1,629,245"
48,08/24/2018,65.45,65.93,65.17,65.41,"1,945,255"
49,08/23/2018,65.5,65.9,65.18,65.21,"1,564,587"
50,08/22/2018,66.28,66.41,65.521,65.81,"1,750,226"
51,08/21/2018,65.77,66.6377,65.77,66.51,"1,920,109"
52,08/20/2018,65.74,66.24,65.495,65.84,"2,617,798"
53,08/17/2018,65.87,66.06,65.55,65.9,"3,088,359"
54,08/16/2018,65.68,66.21,65.55,65.98,"2,549,240"
55,08/15/2018,65.52,65.9,65.04,65.41,"2,408,531"
56,08/14/2018,65.78,66.44,65.66,65.96,"3,311,868"
57,08/13/2018,64.94,65.8,64.525,65.7,"3,222,286"
58,08/10/2018,64.64,65.2,64.06,64.98,"2,241,299"
59,08/09/2018,65.52,65.74,64.84,64.97,"2,296,927"
60,08/08/2018,65.31,65.65,64.46,65.5,"3,106,791"
61,08/07/2018,66.31,66.34,65.13,65.33,"4,777,789"
62,08/06/2018,61.59,66.4,61.58,66.3,"14,879,930"
63,08/03/2018,62.16,62.26,61.24,61.55,"2,598,377"
64,08/02/2018,61.11,62.24,60,62.18,"6,326,684"
65,08/01/2018,59.95,60.165,59.1449,59.36,"4,098,462"
66,07/31/2018,59.87,60.1972,59.482,60,"2,489,039"
67,07/30/2018,59.5,60.735,59.5,59.82,"2,313,717"
68,07/27/2018,59.47,60.67,59.29,59.61,"2,325,185"
69,07/26/2018,59.1,59.8,58.89,59.37,"2,539,192"
