,Date,Open,High,Low,Close,Volume
4,10/12/2018,124.26,125.1,121.465,123.65,"2,283,058"
5,10/11/2018,127.98,128.0,123.59,124.31,"2,428,568"
6,10/10/2018,130.91,131.6,128.01,128.17,"1,654,199"
7,10/09/2018,131.54,132.025,130.32,131.59,"865,003"
8,10/08/2018,130.01,132.47,129.92,131.66,"971,143"
9,10/05/2018,130.18,131.4399,129.83,130.13,"870,499"
10,10/04/2018,129.88,130.875,129.55,130.79,"1,242,586"
11,10/03/2018,130.17,130.34,129.07,129.54,"1,545,701"
12,10/02/2018,128.69,129.6,128.24,129.51,"1,304,325"
13,10/01/2018,130.0,130.64,128.63,128.97,"1,348,861"
14,09/28/2018,128.71,129.92,128.22,129.71,"1,322,896"
15,09/27/2018,129.39,129.93,128.47,129.12,"836,456"
16,09/26/2018,131.74,131.74,129.2,129.5,"1,306,225"
17,09/25/2018,133.1,133.1,131.14,131.29,"827,066"
18,09/24/2018,134.44,134.44,132.72,132.83,"1,054,187"
19,09/21/2018,134.46,134.51,133.19,134.44,"2,615,797"
20,09/20/2018,133.33,134.61,133.1,134.15,"1,635,673"
21,09/19/2018,131.67,133.5,131.3719,132.5,"1,470,874"
22,09/18/2018,130.0,131.74,129.5042,131.37,"1,455,475"
23,09/17/2018,130.22,130.6,129.59,129.89,"967,390"
24,09/14/2018,129.0,130.12,128.68,130.01,"1,162,068"
25,09/13/2018,128.5,129.41,127.738,128.83,"1,408,965"
26,09/12/2018,127.87,128.2,126.3,126.89,"1,746,382"
27,09/11/2018,126.52,128.31,125.71,127.85,"1,792,325"
28,09/10/2018,129.39,129.55,126.93,127.6,"1,840,776"
29,09/07/2018,131.54,132.11,129.97,130.09,"1,300,171"
30,09/06/2018,132.43,133.4,132.09,132.57,"1,270,319"
31,09/05/2018,132.02,133.31,132.02,132.59,"1,209,475"
32,09/04/2018,131.71,132.24,131.01,132.13,"973,903"
33,08/31/2018,131.42,131.72,130.67,131.6,"991,861"
34,08/30/2018,132.55,132.64,131.1,131.65,"1,262,069"
35,08/29/2018,132.58,133.251,131.94,132.66,"1,021,162"
36,08/28/2018,132.05,132.77,132.05,132.28,"1,055,959"
37,08/27/2018,131.81,132.33,131.34,131.89,"1,257,301"
38,08/24/2018,130.06,130.68,129.85,130.51,"1,180,305"
39,08/23/2018,129.5,129.87,128.94,129.52,"1,115,446"
40,08/22/2018,131.88,131.88,129.26,129.41,"1,083,857"
41,08/21/2018,131.22,132.26,130.93,131.71,"1,240,764"
42,08/20/2018,130.75,131.64,130.5,131.42,"1,146,993"
43,08/17/2018,130.17,130.81,129.61,130.42,"1,656,624"
44,08/16/2018,129.26,130.965,129.1441,130.34,"1,324,462"
45,08/15/2018,127.12,129.09,126.92,128.77,"1,260,964"
46,08/14/2018,127.96,127.99,126.68,127.54,"1,143,824"
47,08/13/2018,128.69,129.3534,127.61,128.05,"1,209,838"
48,08/10/2018,128.73,129.16,127.61,128.87,"957,530"
49,08/09/2018,129.1,130.12,128.61,129.56,"859,253"
50,08/08/2018,129.87,129.87,129.11,129.21,"1,430,674"
51,08/07/2018,130.51,131.13,129.78,129.94,"814,708"
52,08/06/2018,129.72,130.52,129.6,130.0,"1,544,120"
53,08/03/2018,128.14,129.7,127.73,129.7,"1,882,815"
54,08/02/2018,128.06,128.86,127.0,128.33,"1,778,636"
55,08/01/2018,130.03,130.45,128.91,128.96,"1,388,477"
56,07/31/2018,131.28,131.42,129.77,130.14,"1,676,564"
57,07/30/2018,130.52,131.975,130.13,131.1,"1,487,663"
58,07/27/2018,129.94,131.63,129.71,130.73,"1,954,006"
59,07/26/2018,127.25,130.12,126.4935,129.49,"2,253,480"
60,07/25/2018,124.77,126.43,123.98,126.28,"2,167,780"
61,07/24/2018,124.74,125.39,123.94,124.75,"1,890,508"
62,07/23/2018,125.55,125.55,123.58,124.24,"1,654,264"
63,07/20/2018,124.86,126.13,124.335,125.2,"1,879,878"
64,07/19/2018,127.0,127.5,124.61,125.18,"2,794,696"
65,07/18/2018,128.83,130.46,128.34,130.0,"1,422,377"
66,07/17/2018,128.58,129.445,127.87,128.79,"1,978,973"
67,07/16/2018,127.01,128.23,126.62,128.19,"1,100,888"
68,07/13/2018,126.17,126.79,125.4568,126.63,"901,739"
69,07/12/2018,126.43,126.43,125.111,126.02,"1,297,063"
