,Date,Open,High,Low,Close,Volume
4,75.09,75.7,74.64,"3,075,162",05/03/2019,75.12
5,75.12,75.59,74.56,"1,781,126",05/02/2019,74.8
6,74.8,75.55,74.64,"2,403,402",05/01/2019,75.01
7,75.01,75.4,73.81,"2,850,938",04/30/2019,74.37
8,74.2,74.49,73.68,"1,465,131",04/29/2019,74.02
9,74.16,74.25,73.25,"1,953,064",04/26/2019,73.76
10,73.62,73.97,73.28,"1,475,909",04/25/2019,73.56
11,73.76,74.88,72.5,"3,724,584",04/24/2019,74.51
12,74.45,74.81,72.96,"3,593,341",04/23/2019,72.96
13,72.85,73.63,72.63,"2,351,895",04/22/2019,73.49
14,73.49,73.98,73.04,"1,975,325",04/18/2019,73.43
15,73.28,74.03,72.46,"2,709,239",04/17/2019,72.54
16,72.06,72.23,71.27,"1,777,755",04/16/2019,71.48
17,71.41,71.55,70.6,"1,680,869",04/15/2019,70.8
18,70.84,71.26,70.27,"3,212,792",04/12/2019,70.97
19,71.17,71.325,70.685,"1,423,126",04/11/2019,70.75
20,70.65,70.8085,69.43,"1,483,480",04/10/2019,69.68
21,69.57,70.45,69.39,"1,813,379",04/09/2019,70.2
22,70.44,70.575,69.63,"1,932,363",04/08/2019,69.84
23,69.8,70.25,69.52,"2,063,595",04/05/2019,70.1
24,70.03,70.39,68.63,"2,401,525",04/04/2019,69.04
25,68.93,69.68,68.71,"2,547,643",04/03/2019,69.26
26,69.26,70.05,69.25,"2,653,335",04/02/2019,69.88
27,69.7,69.71,68.76,"2,744,756",04/01/2019,69.5
28,69.43,69.54,68.56,"2,215,861",03/29/2019,68.99
29,68.89,69.26,68.07,"2,302,712",03/28/2019,68.07
30,68.0,68.42,67.2276,"1,824,893",03/27/2019,67.93
31,67.85,68.25,67.35,"1,736,873",03/26/2019,67.75
32,67.46,67.9748,66.08,"3,105,958",03/25/2019,66.54
33,66.61,66.99,66.07,"1,502,585",03/22/2019,66.6
34,66.52,66.94,64.8509,"2,926,538",03/21/2019,64.98
35,64.88,65.82,64.465,"4,015,298",03/20/2019,65.71
36,65.77,65.95,65.26,"2,849,892",03/19/2019,65.35
37,65.33,65.925,65.05,"2,074,586",03/18/2019,65.22
38,65.22,65.99,64.71,"4,769,557",03/15/2019,64.97
39,64.88,64.945,64.35,"2,115,193",03/14/2019,64.35
40,64.44,64.89,63.86,"2,003,724",03/13/2019,64.0
41,63.81,64.43,63.535,"2,476,252",03/12/2019,64.31
42,64.22,64.23,62.6,"2,434,670",03/11/2019,62.78
43,62.78,64.29,62.58,"3,163,496",03/08/2019,63.99
44,64.11,64.38,63.06,"3,882,568",03/07/2019,63.49
45,63.54,64.28,63.37,"2,525,943",03/06/2019,64.07
46,63.97,64.29,62.23,"3,509,450",03/05/2019,62.55
47,62.26,62.72,61.54,"3,881,803",03/04/2019,62.42
48,62.19,62.56,61.8,"3,589,746",03/01/2019,61.8
49,61.66,61.845,61.13,"2,450,816",02/28/2019,61.52
50,61.65,61.81,60.99,"2,937,743",02/27/2019,61.55
51,61.77,63.4,61.76,"2,915,709",02/26/2019,62.45
52,62.32,63.7,61.9,"2,892,752",02/25/2019,63.66
53,63.32,63.37,62.1,"2,841,066",02/22/2019,62.34
54,63.06,63.64,62.28,"2,858,632",02/21/2019,63.41
55,63.6,63.93,62.8,"2,754,484",02/20/2019,62.93
56,62.94,63.55,62.2,"3,840,914",02/19/2019,62.46
57,62.61,62.96,61.52,"3,169,964",02/15/2019,61.64
58,61.18,61.625,60.29,"2,304,256",02/14/2019,60.46
59,60.69,61.66,60.41,"2,323,999",02/13/2019,61.45
60,61.38,61.7,59.6,"3,243,451",02/12/2019,59.7
61,59.43,60.24,58.89,"3,309,884",02/11/2019,59.21
62,59.29,60.13,58.49,"5,437,496",02/08/2019,59.57
63,60.12,61.86,58.2,"5,132,578",02/07/2019,60.31
64,60.9,61.98,60.7954,"2,949,171",02/06/2019,61.74
65,61.69,61.95,60.55,"4,069,139",02/05/2019,61.9
66,61.78,62.23,61.54,"1,504,345",02/04/2019,62.06
