,Date,Open,High,Low,Close,Volume
4,51.46,51.61,51.09,"1,815,007",04/05/2019,51.17
5,51.13,51.4899,50.49,"1,045,549",04/04/2019,50.5
6,50.47,51.3,50.14,"1,795,819",04/03/2019,51.1
7,50.86,51.75,50.8,"1,286,640",04/02/2019,51.54
8,51.58,52.01,51.0,"1,073,561",04/01/2019,51.17
9,50.66,50.82,50.45,"1,700,101",03/29/2019,50.5
10,50.1,50.36,49.63,"1,188,363",03/28/2019,49.96
11,49.78,50.39,49.57,"1,451,778",03/27/2019,49.95
12,50.0,50.47,49.63,"1,318,885",03/26/2019,50.39
13,49.9,50.36,49.64,"1,256,458",03/25/2019,49.94
14,49.97,51.705,49.94,"1,446,531",03/22/2019,51.59
15,51.86,51.98,51.285,"1,029,421",03/21/2019,51.32
16,51.41,52.16,51.09,"1,371,570",03/20/2019,52.04
17,52.03,53.14,51.89,"1,786,595",03/19/2019,52.73
18,52.53,52.6,51.69,"2,070,251",03/18/2019,51.85
19,51.78,52.06,51.44,"2,638,570",03/15/2019,51.73
20,51.78,52.5,51.45,"1,664,706",03/14/2019,52.32
21,52.36,53.02,51.9045,"2,218,507",03/13/2019,52.25
22,51.93,52.43,51.82,"2,275,356",03/12/2019,52.13
23,52.08,52.12,50.68,"1,788,899",03/11/2019,50.68
24,51.1,51.55,50.9,"1,671,204",03/08/2019,51.5
25,51.91,52.89,51.65,"1,613,363",03/07/2019,52.74
26,52.85,53.83,52.85,"1,319,437",03/06/2019,53.64
27,53.64,54.39,53.64,"1,344,703",03/05/2019,54.14
28,54.12,55.14,53.77,"1,716,575",03/04/2019,54.75
29,54.43,54.83,54.19,"1,209,101",03/01/2019,54.75
30,54.3,54.9,54.27,"1,330,696",02/28/2019,54.74
31,54.72,54.88,54.02,"1,146,734",02/27/2019,54.46
32,54.48,55.285,54.48,"1,509,035",02/26/2019,54.92
33,55.03,55.64,54.875,"1,562,776",02/25/2019,55.47
34,55.06,55.14,54.72,"830,361",02/22/2019,54.98
35,54.69,55.15,54.48,"1,055,547",02/21/2019,54.97
36,54.99,55.205,54.33,"1,346,020",02/20/2019,54.6
37,54.6,54.73,54.29,"1,385,744",02/19/2019,54.72
38,54.82,54.88,54.25,"1,165,411",02/15/2019,54.53
39,54.0,54.53,53.99,"1,546,685",02/14/2019,54.29
40,54.55,54.67,54.02,"1,602,156",02/13/2019,54.12
41,53.79,53.99,53.23,"1,556,494",02/12/2019,53.26
42,52.75,53.2425,52.41,"1,750,873",02/11/2019,52.76
43,52.58,53.09,52.275,"1,644,331",02/08/2019,52.75
44,53.07,53.94,52.63,"1,674,747",02/07/2019,53.62
45,54.11,54.685,54.04,"1,673,175",02/06/2019,54.33
46,54.38,54.38,53.25,"1,796,192",02/05/2019,53.72
47,53.66,53.91,53.43,"1,696,693",02/04/2019,53.57
48,53.51,53.71,53.075,"1,467,503",02/01/2019,53.4
49,53.23,53.49,52.8,"2,026,881",01/31/2019,53.3
50,53.48,53.92,52.36,"1,842,649",01/30/2019,53.21
51,52.75,53.58,52.645,"1,723,728",01/29/2019,52.8
52,52.8,52.86,51.56,"2,201,862",01/28/2019,52.07
53,52.6,52.94,51.8,"3,556,825",01/25/2019,52.69
54,51.92,53.5,51.845,"5,477,473",01/24/2019,52.83
55,49.17,49.76,48.62,"2,807,886",01/23/2019,48.97
56,48.45,49.15,48.085,"1,978,017",01/22/2019,48.94
57,49.4,49.69,49.07,"1,690,415",01/18/2019,49.12
58,48.62,48.835,47.52,"2,185,493",01/17/2019,47.64
59,48.03,48.3,47.2,"2,230,964",01/16/2019,48.15
60,48.15,48.649,47.82,"2,002,312",01/15/2019,48.18
61,48.02,48.265,47.49,"1,958,893",01/14/2019,47.6
62,48.01,48.13,47.25,"1,187,967",01/11/2019,47.64
63,47.92,47.96,46.62,"1,481,359",01/10/2019,46.88
64,47.28,48.0,47.21,"1,795,155",01/09/2019,47.55
65,47.55,47.71,46.79,"1,938,409",01/08/2019,46.9
66,46.43,47.11,46.18,"2,289,940",01/07/2019,46.76
