,Date,Open,High,Low,Close,Volume
4,10/12/2018,81.31,81.47,79.3283,80.18,"2,798,823"
5,10/11/2018,81.09,81.98,78.93,80.12,"5,567,062"
6,10/10/2018,82.8,82.8,78.87,78.93,"5,573,768"
7,10/09/2018,83.71,84.41,81.28,81.43,"4,130,265"
8,10/08/2018,84.0,84.49,82.37,83.68,"2,897,333"
9,10/05/2018,86.12,86.75,84.02,84.14,"4,242,778"
10,10/04/2018,87.03,87.76,85.52,86.04,"2,751,824"
11,10/03/2018,87.02,87.92,86.82,87.39,"1,945,359"
12,10/02/2018,87.24,87.44,85.84,86.71,"3,206,692"
13,10/01/2018,89.29,89.58,87.52,87.61,"2,459,934"
14,09/28/2018,88.33,89.34,88.29,89.06,"2,091,566"
15,09/27/2018,88.93,89.99,88.24,88.34,"2,156,242"
16,09/26/2018,88.85,89.46,88.46,88.97,"2,030,681"
17,09/25/2018,87.83,88.04,86.8205,87.92,"2,056,435"
18,09/24/2018,89.83,89.83,87.0299,87.84,"3,534,877"
19,09/21/2018,89.57,90.25,87.11,89.94,"4,690,350"
20,09/20/2018,89.84,89.9244,88.91,89.12,"2,409,841"
21,09/19/2018,90.02,90.61,89.18,89.35,"2,545,614"
22,09/18/2018,89.34,90.53,88.65,90.11,"1,933,472"
23,09/17/2018,90.5,91.389,89.94,90.16,"1,646,261"
24,09/14/2018,89.74,90.48,89.49,90.33,"2,432,420"
25,09/13/2018,87.98,90.2,87.83,89.58,"3,570,356"
26,09/12/2018,88.9,89.21,87.44,87.8,"2,463,152"
27,09/11/2018,87.96,89.35,87.8319,89.12,"3,513,429"
28,09/10/2018,87.68,88.45,87.15,88.09,"3,204,868"
29,09/07/2018,87.01,89.48,86.5,87.68,"2,438,410"
30,09/06/2018,88.16,88.44,86.5,87.13,"5,628,999"
31,09/05/2018,88.64,89.075,86.26,88.19,"4,088,049"
32,09/04/2018,87.84,88.84,87.66,88.3,"3,083,305"
33,08/31/2018,86.9,87.67,86.67,87.42,"3,079,479"
34,08/30/2018,86.86,87.59,86.51,86.92,"1,854,417"
35,08/29/2018,86.99,87.44,86.4,87.11,"1,905,810"
36,08/28/2018,86.04,87.37,85.89,86.82,"2,784,980"
37,08/27/2018,85.7,86.32,85.57,85.94,"1,895,155"
38,08/24/2018,84.49,85.52,83.71,85.14,"2,389,180"
39,08/23/2018,84.6,85.59,84.36,84.74,"1,365,417"
40,08/22/2018,85.23,85.46,84.365,84.53,"1,296,566"
41,08/21/2018,85.47,86.6,85.08,85.66,"3,152,930"
42,08/20/2018,82.41,85.33,82.13,85.22,"5,629,945"
43,08/17/2018,81.69,82.21,81.52,82.01,"1,671,887"
44,08/16/2018,82.14,82.74,81.04,81.9,"2,041,906"
45,08/15/2018,81.26,82.005,80.35,81.87,"2,542,277"
46,08/14/2018,81.05,82.44,81.02,81.44,"1,795,218"
47,08/13/2018,81.81,82.18,80.72,81.21,"1,832,604"
48,08/10/2018,82.25,82.33,80.65,81.72,"2,354,054"
49,08/09/2018,82.91,83.6625,82.49,82.75,"1,540,153"
50,08/08/2018,82.64,83.45,82.41,82.79,"1,498,611"
51,08/07/2018,82.32,82.8452,82.02,82.32,"1,816,890"
52,08/06/2018,81.27,82.26,81.04,81.83,"2,075,466"
53,08/03/2018,80.89,81.64,80.54,81.34,"2,009,055"
54,08/02/2018,79.2,80.93,78.7,80.85,"2,464,611"
55,08/01/2018,80.77,81.26,79.83,80.02,"4,605,088"
56,07/31/2018,80.26,81.055,80.07,80.4,"2,353,381"
57,07/30/2018,79.62,80.9199,79.5,80.07,"3,434,788"
58,07/27/2018,81.03,81.78,79.6,80.01,"3,509,241"
59,07/26/2018,80.45,82.04,80.13,81.24,"3,915,070"
60,07/25/2018,80.4,81.01,79.94,80.56,"3,857,797"
61,07/24/2018,81.75,81.8,79.55,80.04,"3,846,654"
62,07/23/2018,80.77,81.91,80.42,81.59,"3,267,109"
63,07/20/2018,80.55,81.55,80.22,80.91,"4,548,791"
64,07/19/2018,80.0,80.92,79.31,80.59,"10,187,790"
65,07/18/2018,75.6,79.49,75.56,79.0,"15,558,460"
66,07/17/2018,72.21,73.175,71.98,72.62,"5,655,472"
67,07/16/2018,72.33,72.751,71.52,72.26,"3,852,010"
68,07/13/2018,70.93,72.24,70.93,72.1,"2,817,053"
69,07/12/2018,69.53,71.34,68.86,71.04,"4,533,183"
