,Date,Open,High,Low,Close,Volume
4,10/26/2018,39.91,39.91,38.78,38.95,"2,234,518"
5,10/25/2018,39.53,40.15,39.24,39.87,"2,032,375"
6,10/24/2018,38.84,39.93,38.79,39.56,"1,916,796"
7,10/23/2018,38.43,39,38.21,38.76,"1,989,271"
8,10/22/2018,39.2,39.38,38.59,38.66,"2,416,983"
9,10/19/2018,39.11,39.5,39.05,39.39,"1,045,814"
10,10/18/2018,39.04,39.32,38.94,39.07,"1,155,206"
11,10/17/2018,39.1,39.3,38.77,39.05,"1,097,921"
12,10/16/2018,38.39,39.28,38.16,39.13,"1,410,246"
13,10/15/2018,38.06,38.71,37.995,38.28,"2,735,192"
14,10/12/2018,38.47,38.72,37.865,38.09,"2,403,702"
15,10/11/2018,39.85,39.85,38.22,38.29,"2,235,298"
16,10/10/2018,40.12,40.46,39.68,39.72,"1,464,220"
17,10/09/2018,39.91,40.31,39.64,40.31,"1,451,002"
18,10/08/2018,39.8,40.42,39.8,40.16,"1,279,421"
19,10/05/2018,39.58,40.03,39.58,39.67,"927,301"
20,10/04/2018,39.63,39.85,39.2,39.67,"1,089,439"
21,10/03/2018,40.15,40.34,39.45,39.72,"1,220,624"
22,10/02/2018,40.05,40.31,40.005,40.12,"955,907"
23,10/01/2018,40.44,40.51,40.01,40.02,"1,161,228"
24,09/28/2018,39.93,40.455,39.93,40.43,"1,806,168"
25,09/27/2018,39.73,40.11,39.6,39.88,"1,281,753"
26,09/26/2018,40.17,40.28,39.59,39.6,"1,345,206"
27,09/25/2018,39.99,40.325,39.98,40.13,"1,404,789"
28,09/24/2018,40.68,40.8,39.755,39.98,"1,842,391"
29,09/21/2018,40.45,41.04,40.33,40.8,"2,696,032"
30,09/20/2018,40.11,40.52,39.89,40.51,"1,236,579"
31,09/19/2018,40.39,40.4,39.89,40.08,"2,346,820"
32,09/18/2018,40.48,40.59,40.16,40.32,"1,117,739"
33,09/17/2018,40.2,40.54,40.08,40.53,"1,069,642"
34,09/14/2018,40.5,40.54,39.935,40.2,"1,229,118"
35,09/13/2018,40.45,40.67,40.395,40.59,"1,130,249"
36,09/12/2018,40.47,40.63,40.27,40.45,"1,935,684"
37,09/11/2018,40.1,40.605,40.1,40.46,"1,535,237"
38,09/10/2018,40.08,40.315,39.9001,40.28,"1,321,320"
39,09/07/2018,39.92,39.97,39.63,39.88,"1,590,328"
40,09/06/2018,40.1,40.285,39.98,40.13,"1,213,226"
41,09/05/2018,39.47,40.105,39.44,39.98,"2,391,895"
42,09/04/2018,39.85,40.02,39.475,39.6,"1,384,133"
43,08/31/2018,39.81,39.99,39.6,39.97,"1,256,921"
44,08/30/2018,40.21,40.21,39.745,39.8,"919,421"
45,08/29/2018,40.18,40.26,40,40.07,"1,286,577"
46,08/28/2018,39.67,40.205,39.54,40.09,"1,383,861"
47,08/27/2018,39.82,39.82,39.27,39.67,"1,259,760"
48,08/24/2018,39.16,39.75,39.16,39.72,"791,664"
49,08/23/2018,39.31,39.42,39.18,39.26,"658,070"
50,08/22/2018,39.22,39.29,39.04,39.28,"799,079"
51,08/21/2018,39.61,39.65,39.12,39.26,"995,094"
52,08/20/2018,39.96,39.975,39.66,39.72,"857,383"
53,08/17/2018,39.59,39.85,39.53,39.83,"1,117,608"
54,08/16/2018,39.42,39.655,39.34,39.64,"869,273"
55,08/15/2018,38.96,39.53,38.86,39.45,"1,041,390"
56,08/14/2018,38.66,39.155,38.56,39,"1,093,577"
57,08/13/2018,38.55,38.675,38.49,38.61,"1,350,718"
58,08/10/2018,39.07,39.11,38.56,38.59,"1,420,734"
59,08/09/2018,38.91,39.145,38.82,39.12,"826,489"
60,08/08/2018,39.15,39.215,38.815,38.9,"734,846"
61,08/07/2018,39.22,39.22,38.875,39.15,"1,450,629"
62,08/06/2018,39.22,39.46,39.08,39.21,"1,129,982"
63,08/03/2018,38.75,39.32,38.6,39.13,"1,200,878"
64,08/02/2018,38.51,38.98,38.42,38.7,"2,550,025"
65,08/01/2018,38.17,38.61,37.92,38.57,"2,561,016"
66,07/31/2018,37.42,38.8,37.13,38.48,"2,611,599"
67,07/30/2018,36.99,37.24,36.72,37.05,"1,085,037"
68,07/27/2018,37.31,37.39,36.825,36.99,"1,128,387"
69,07/26/2018,37.34,37.36,37.01,37.2,"1,150,050"
