,Date,Open,High,Low,Close,Volume
4,124.51,124.69,121.54,"1,223,782",04/18/2019,122.69
5,122.66,126.54,120.9,"1,313,322",04/17/2019,126.5
6,126.33,133.89,125.435,"1,389,298",04/16/2019,133.89
7,132.74,133.24,132.1,"456,736",04/15/2019,132.78
8,132.8,134.27,132.22,"752,328",04/12/2019,133.31
9,132.42,135.18,132.29,"425,845",04/11/2019,135.14
10,134.49,135.19,133.85,"813,404",04/10/2019,133.96
11,133.85,133.98,132.19,"609,535",04/09/2019,132.32
12,133,135,132.73,"553,020",04/08/2019,134.95
13,134.72,135.02,134.33,"626,877",04/05/2019,134.38
14,133.97,134.94,133.64,"416,424",04/04/2019,134.52
15,134.25,135.13,133.59,"548,355",04/03/2019,134.63
16,133.75,134.84,133.01,"463,466",04/02/2019,134.41
17,134.75,135.59,134.51,"712,952",04/01/2019,134.89
18,133.77,134.42,133.16,"916,981",03/29/2019,134.37
19,133.51,133.66,132.67,"464,000",03/28/2019,133.07
20,132.77,134.57,132.08,"455,676",03/27/2019,133.69
21,134.14,135.54,133.5,"549,123",03/26/2019,134.6
22,134.37,135.4,133.89,"600,185",03/25/2019,134.8
23,135.31,136.91,135.3,"561,867",03/22/2019,135.4
24,136.57,136.98,132.44,"380,578",03/21/2019,132.9
25,134.02,135.84,133.6,"416,180",03/20/2019,135.43
26,135.43,136.58,134.92,"895,667",03/19/2019,136.12
27,135.84,135.93,134.45,"499,108",03/18/2019,134.45
28,134.24,134.87,133.78,"786,540",03/15/2019,134.02
29,134.12,134.91,132.605,"552,543",03/14/2019,132.97
30,132.69,133.34,130.81,"591,034",03/13/2019,131.72
31,131.09,131.75,129.58,"591,785",03/12/2019,130.18
32,129.7,130.63,128.42,"736,350",03/11/2019,129.92
33,129.19,129.27,127.68,"721,917",03/08/2019,128.8
34,129.52,133.56,128.87,"1,152,920",03/07/2019,132.6
35,132.83,137.51,132.75,"729,995",03/06/2019,137.23
36,137.23,138.67,136.15,"643,093",03/05/2019,138.23
37,137.24,139.35,136.09,"902,433",03/04/2019,138.89
38,140.8,142.215,139.34,"796,485",03/01/2019,140.33
39,138.83,141.41,133.47,"1,405,774",02/28/2019,133.47
40,133.26,134.37,131.45,"692,014",02/27/2019,133.37
41,133.63,135.31,133.51,"630,407",02/26/2019,134.91
42,134.4,137.1924,134.37,"743,258",02/25/2019,136.44
43,136.04,136.52,134.475,"860,562",02/22/2019,134.92
44,134.55,135.02,133.8,"496,464",02/21/2019,134.79
45,134.32,135.23,134.23,"423,616",02/20/2019,135.18
46,135.27,135.79,134.49,"638,452",02/19/2019,134.94
47,135.53,135.9,134.355,"651,285",02/15/2019,134.79
48,133.73,134.4,132.13,"654,739",02/14/2019,133.49
49,134.11,134.58,133.13,"502,459",02/13/2019,134.02
50,133.35,133.89,132.45,"470,704",02/12/2019,133.13
51,132.7,133.03,130.68,"422,355",02/11/2019,131.58
52,131.49,132.53,129.56,"704,943",02/08/2019,132.5
53,132.94,135.22,132.82,"730,121",02/07/2019,134.69
54,135.06,135.325,133.7856,"420,597",02/06/2019,134.44
55,134.91,136.51,134.35,"597,558",02/05/2019,135.05
56,134.68,135.37,133.88,"498,918",02/04/2019,135.21
57,135.53,135.67,132.06,"743,240",02/01/2019,132.74
58,132.53,133.64,132.34,"576,643",01/31/2019,132.92
59,133.02,133.59,132.09,"698,858",01/30/2019,132.74
60,132.56,132.79,130.68,"402,208",01/29/2019,131.3
61,130.43,130.644,129.12,"526,109",01/28/2019,130.55
62,131.14,131.77,130.08,"406,659",01/25/2019,130.84
63,129.83,130.75,129.32,"544,870",01/24/2019,130.42
64,130.44,132.35,129.19,"781,895",01/23/2019,131.06
65,130.61,131.01,128.73,"568,110",01/22/2019,131.01
66,131.97,132.25,130.43,"570,951",01/18/2019,131.1
