,Date,Open,High,Low,Close,Volume
4,10/12/2018,259.7,261.39,256.86,259.61,"3,872,325"
5,10/11/2018,262.0,264.4016,255.78,257.12,"4,526,950"
6,10/10/2018,270.6,271.42,262.52,263.08,"4,266,425"
7,10/09/2018,269.19,271.955,268.47,270.11,"2,509,849"
8,10/08/2018,268.84,269.655,265.6531,269.01,"1,863,850"
9,10/05/2018,268.65,271.0,267.95,269.2,"2,045,655"
10,10/04/2018,271.0,271.62,267.3118,268.32,"2,185,769"
11,10/03/2018,272.0,272.07,269.77,270.9,"3,002,184"
12,10/02/2018,269.0,271.44,267.5,270.63,"2,730,528"
13,10/01/2018,267.25,270.02,267.02,269.1,"3,312,852"
14,09/28/2018,264.38,266.19,263.848,266.04,"2,648,699"
15,09/27/2018,263.0,265.41,262.93,264.65,"2,759,329"
16,09/26/2018,264.5,265.49,262.45,262.91,"2,195,078"
17,09/25/2018,267.3,267.33,263.03,263.51,"3,724,067"
18,09/24/2018,267.01,269.53,266.67,267.36,"2,625,876"
19,09/21/2018,266.1,267.84,265.8501,266.67,"5,603,372"
20,09/20/2018,266.08,267.94,266.06,266.39,"2,052,195"
21,09/19/2018,264.47,265.61,263.16,265.33,"2,257,685"
22,09/18/2018,262.93,264.0899,262.0048,263.29,"3,501,084"
23,09/17/2018,266.5,266.66,263.41,263.87,"1,929,862"
24,09/14/2018,265.4,266.65,263.28,265.31,"2,041,446"
25,09/13/2018,264.16,265.685,263.42,265.49,"2,718,755"
26,09/12/2018,261.12,264.49,260.85,262.67,"2,230,327"
27,09/11/2018,257.92,261.418,257.4828,261.04,"2,283,313"
28,09/10/2018,266.78,266.8,258.75,259.73,"4,145,647"
29,09/07/2018,269.64,271.16,267.51,268.28,"2,957,997"
30,09/06/2018,267.6,270.02,266.941,269.65,"2,556,062"
31,09/05/2018,268.56,268.795,266.93,267.64,"2,230,582"
32,09/04/2018,268.0,269.41,266.57,268.51,"2,097,287"
33,08/31/2018,268.28,269.2056,267.2,268.46,"2,958,192"
34,08/30/2018,269.46,270.17,268.11,268.39,"2,976,341"
35,08/29/2018,268.39,269.32,267.25,269.0,"2,880,644"
36,08/28/2018,268.54,269.14,267.33,268.51,"2,602,740"
37,08/27/2018,265.0,267.45,264.42,267.08,"2,613,907"
38,08/24/2018,261.75,264.78,261.75,264.28,"2,238,647"
39,08/23/2018,261.02,262.56,259.56,261.42,"1,603,387"
40,08/22/2018,261.95,261.95,260.25,260.74,"2,147,691"
41,08/21/2018,261.85,262.52,260.73,261.69,"1,558,769"
42,08/20/2018,263.0,263.49,261.57,262.4,"1,780,866"
43,08/17/2018,263.55,264.13,261.72,262.33,"1,923,732"
44,08/16/2018,261.57,263.75,261.45,263.1,"2,115,862"
45,08/15/2018,261.98,262.69,259.19,260.61,"2,015,129"
46,08/14/2018,260.89,264.295,260.85,263.48,"1,941,605"
47,08/13/2018,261.0,262.55,260.2975,260.91,"1,635,146"
48,08/10/2018,260.49,261.5,259.11,260.36,"1,624,127"
49,08/09/2018,259.91,263.02,259.31,261.59,"2,315,025"
50,08/08/2018,258.11,259.5,257.92,258.81,"1,494,219"
51,08/07/2018,257.64,258.8449,257.13,257.65,"1,462,757"
52,08/06/2018,256.5,257.54,255.465,256.76,"1,398,135"
53,08/03/2018,256.45,257.56,254.3,257.22,"1,422,318"
54,08/02/2018,253.5,256.3,252.23,256.08,"1,848,803"
55,08/01/2018,256.1,256.1,252.81,253.37,"3,006,715"
56,07/31/2018,254.14,255.2,252.85,253.22,"2,355,885"
57,07/30/2018,255.91,256.89,253.11,253.84,"1,649,946"
58,07/27/2018,257.79,257.79,255.39,255.95,"1,656,765"
59,07/26/2018,256.25,257.87,255.795,257.0,"2,021,253"
60,07/25/2018,254.81,255.27,252.765,254.86,"3,015,970"
61,07/24/2018,254.86,254.96,252.01,253.76,"2,473,188"
62,07/23/2018,252.91,255.23,252.43,252.74,"1,478,046"
63,07/20/2018,251.17,253.55,251.17,252.7,"1,959,528"
64,07/19/2018,255.32,256.5,251.85,252.93,"2,244,134"
65,07/18/2018,251.11,256.61,250.44,255.42,"3,296,903"
66,07/17/2018,251.55,252.52,246.2694,250.29,"6,884,094"
67,07/16/2018,258.29,258.45,256.435,256.98,"3,622,024"
68,07/13/2018,256.39,259.01,256.02,258.7,"2,356,071"
69,07/12/2018,256.18,256.82,254.92,256.05,"1,592,695"
