,Date,Open,High,Low,Close,Volume
4,36.58,36.675,36.1,"1,057,307",04/26/2019,36.36
5,36.46,36.68,35.45,"2,067,225",04/25/2019,36.01
6,36.25,37.05,36.18,"1,890,485",04/24/2019,36.75
7,36.96,37.28,36.3,"1,837,966",04/23/2019,36.39
8,36.36,37.09,36.11,"2,287,789",04/22/2019,36.47
9,36.58,37.6,36.57,"2,658,992",04/18/2019,37.35
10,37.42,38,37.41,"2,952,972",04/17/2019,37.71
11,37.54,37.57,37,"1,736,958",04/16/2019,37.15
12,36.94,37.73,36.85,"3,411,884",04/15/2019,37.07
13,37.08,37.38,36.6,"2,871,022",04/12/2019,36.83
14,36.32,36.71,35.5,"3,055,761",04/11/2019,35.6
15,35.38,35.5,34.71,"1,572,240",04/10/2019,34.74
16,34.71,35.1,34.58,"1,695,790",04/09/2019,35.01
17,35.26,35.301,34.71,"1,453,914",04/08/2019,34.84
18,34.94,35.28,34.76,"2,593,018",04/05/2019,34.95
19,34.82,35.165,34.54,"1,554,715",04/04/2019,34.64
20,34.62,34.93,34.4,"2,370,067",04/03/2019,34.6
21,34.2,35.07,34.15,"2,094,021",04/02/2019,34.75
22,34.75,34.81,34.02,"2,014,097",04/01/2019,34.02
23,33.83,34,33.615,"2,060,474",03/29/2019,33.96
24,33.56,33.865,33.1,"1,818,269",03/28/2019,33.7
25,33.62,34.05,33.43,"1,077,949",03/27/2019,33.77
26,33.73,33.92,33.39,"1,268,805",03/26/2019,33.66
27,33.28,33.74,33.06,"1,710,951",03/25/2019,33.43
28,33.37,34.28,33.0602,"2,178,989",03/22/2019,34.12
29,34.62,34.78,33.78,"1,867,754",03/21/2019,34.4
30,34.54,36.33,34.52,"3,100,365",03/20/2019,36.23
31,36.28,37.19,36.22,"2,352,147",03/19/2019,37.06
32,36.77,37.06,36.43,"1,983,464",03/18/2019,36.56
33,36.38,36.685,36.08,"3,618,191",03/15/2019,36.08
34,36.18,36.36,36.03,"1,547,394",03/14/2019,36.15
35,36.15,36.52,36.1001,"2,027,050",03/13/2019,36.43
36,36.16,36.48,36.06,"1,843,443",03/12/2019,36.22
37,36.13,36.39,35.94,"1,541,170",03/11/2019,36.22
38,36.03,36.05,35.5,"1,225,874",03/08/2019,35.67
39,36.08,36.125,35.49,"1,611,010",03/07/2019,36.06
40,36.29,37.18,36.24,"1,539,833",03/06/2019,36.94
41,37.07,37.27,36.48,"1,577,907",03/05/2019,37.15
42,37.17,37.92,36.96,"2,547,297",03/04/2019,37.72
43,37.67,38.29,37.38,"1,309,484",03/01/2019,37.78
44,37.36,37.6,37.18,"1,999,839",02/28/2019,37.34
45,37.43,37.55,37.25,"1,414,805",02/27/2019,37.34
46,37.46,38,37.31,"1,538,229",02/26/2019,37.32
47,37.44,37.89,37.26,"1,660,227",02/25/2019,37.6
48,37.27,37.46,37.02,"1,053,860",02/22/2019,37.23
49,37.1,37.63,36.91,"1,168,448",02/21/2019,37.37
50,37.31,37.36,36.6,"1,412,238",02/20/2019,36.76
51,36.73,36.94,36.12,"1,573,423",02/19/2019,36.18
52,36.32,36.33,35.7436,"1,359,989",02/15/2019,35.83
53,35.39,35.7,35.14,"1,178,505",02/14/2019,35.34
54,35.84,36.5,35.825,"1,649,253",02/13/2019,36.26
55,36.03,36.29,35.43,"1,911,222",02/12/2019,35.55
56,35.12,35.36,34.77,"1,945,346",02/11/2019,35.23
57,35.07,35.43,34.17,"1,549,931",02/08/2019,34.98
58,35.29,36.245,34.69,"2,370,497",02/07/2019,36.14
59,36.51,36.91,33.97,"4,484,427",02/06/2019,35.22
60,34.69,34.91,34.39,"2,308,184",02/05/2019,34.84
61,34.75,34.86,34.48,"3,282,676",02/04/2019,34.8
62,34.82,35.04,34.52,"2,021,697",02/01/2019,34.86
63,34.76,34.82,33.58,"4,547,856",01/31/2019,33.65
64,33.92,34.17,33.23,"2,851,284",01/30/2019,33.92
65,33.83,34.26,33.78,"1,201,745",01/29/2019,34.12
66,34.2,34.39,33.87,"897,643",01/28/2019,34.06
