,Date,Open,High,Low,Close,Volume
4,10/12/2018,144.81,144.81,135.68,137.88,"2,453,586"
5,10/11/2018,144.02,147.97,139.65,139.84,"1,971,498"
6,10/10/2018,152.31,152.58,143.63,144.84,"2,359,811"
7,10/09/2018,155.44,155.71,152.62,152.74,"1,177,441"
8,10/08/2018,157.94,158.86,153.35,156.07,"1,382,583"
9,10/05/2018,162.41,163.9239,157.13,159.22,"1,362,727"
10,10/04/2018,165.16,165.842,161.12,163.19,"902,810"
11,10/03/2018,161.5,167.29,161.485,165.53,"1,177,360"
12,10/02/2018,162.0,163.37,160.34,160.4,"1,078,305"
13,10/01/2018,164.28,165.44,161.98,162.67,"1,424,341"
14,09/28/2018,168.21,168.55,163.58,163.6,"1,471,890"
15,09/27/2018,169.28,170.53,167.24,169.08,"588,027"
16,09/26/2018,168.57,170.73,167.05,167.86,"810,680"
17,09/25/2018,168.43,169.24,166.9,168.59,"697,448"
18,09/24/2018,168.5,168.9,166.32,168.07,"780,049"
19,09/21/2018,172.12,172.2981,168.78,169.04,"1,575,028"
20,09/20/2018,170.46,173.0,168.2601,171.76,"1,523,948"
21,09/19/2018,167.5,172.41,166.9,168.96,"1,090,960"
22,09/18/2018,165.18,167.5223,164.37,167.05,"1,020,335"
23,09/17/2018,169.26,169.88,164.42,164.94,"1,327,069"
24,09/14/2018,167.09,169.74,166.65,168.95,"1,067,979"
25,09/13/2018,167.94,170.43,166.2,166.85,"1,217,743"
26,09/12/2018,169.23,169.23,165.35,167.1,"1,879,340"
27,09/11/2018,159.52,169.15,159.515,168.38,"2,860,739"
28,09/10/2018,154.99,161.22,153.82,159.99,"1,928,232"
29,09/07/2018,152.63,153.47,150.77,152.3,"938,705"
30,09/06/2018,157.32,157.98,151.42,153.82,"1,341,336"
31,09/05/2018,157.16,158.5066,155.94,156.62,"1,086,879"
32,09/04/2018,155.87,159.0,155.05,158.1,"1,118,999"
33,08/31/2018,156.03,156.75,155.33,155.87,"821,177"
34,08/30/2018,159.32,159.32,156.1388,156.68,"807,383"
35,08/29/2018,158.79,160.28,156.52,159.77,"637,525"
36,08/28/2018,160.0,161.48,157.7,158.48,"746,284"
37,08/27/2018,157.3,160.05,156.45,159.31,"1,094,794"
38,08/24/2018,155.17,156.77,154.4,156.17,"533,217"
39,08/23/2018,156.64,156.92,153.87,154.13,"505,324"
40,08/22/2018,157.36,159.06,156.51,157.32,"781,045"
41,08/21/2018,154.95,159.57,154.95,157.94,"1,268,518"
42,08/20/2018,150.65,156.19,150.56,154.44,"1,066,469"
43,08/17/2018,149.0,150.99,148.69,150.51,"614,546"
44,08/16/2018,148.39,150.48,148.26,148.99,"649,081"
45,08/15/2018,149.47,149.585,144.501,146.87,"1,351,598"
46,08/14/2018,148.62,152.525,148.5,151.21,"987,615"
47,08/13/2018,148.62,149.99,147.26,148.18,"786,115"
48,08/10/2018,149.26,150.16,147.3,148.59,"703,313"
49,08/09/2018,152.04,152.91,150.6,150.76,"540,745"
50,08/08/2018,153.44,153.72,151.75,151.85,"758,250"
51,08/07/2018,152.07,154.3,151.88,154.02,"1,344,948"
52,08/06/2018,148.2,151.73,148.06,151.32,"1,034,259"
53,08/03/2018,147.9,148.5,146.36,148.41,"817,926"
54,08/02/2018,145.47,148.0228,144.09,147.13,"890,284"
55,08/01/2018,148.74,149.15,145.585,146.86,"1,288,634"
56,07/31/2018,146.2,149.55,146.2,148.8,"1,500,488"
57,07/30/2018,148.0,149.39,145.09,145.45,"1,063,237"
58,07/27/2018,151.76,152.3,146.35,147.31,"1,075,693"
59,07/26/2018,146.23,152.3,146.22,150.97,"1,394,438"
60,07/25/2018,146.95,147.65,143.33,146.36,"1,634,181"
61,07/24/2018,150.82,151.88,146.3167,147.94,"1,468,770"
62,07/23/2018,150.99,151.53,147.4243,149.32,"1,750,886"
63,07/20/2018,155.47,156.4,150.84,151.11,"1,808,345"
64,07/19/2018,150.07,156.69,150.0,156.57,"3,005,131"
65,07/18/2018,153.61,155.77,151.61,154.91,"2,435,110"
66,07/17/2018,150.76,153.27,150.07,152.21,"1,261,262"
67,07/16/2018,154.33,154.75,151.18,151.75,"1,429,252"
68,07/13/2018,154.2,156.08,153.68,154.83,"1,115,407"
69,07/12/2018,153.48,153.84,150.2384,152.31,"1,074,301"
