,Date,Open,High,Low,Close,Volume
4,137.0,137.75,136.01,"2,498,469",04/18/2019,136.01
5,135.79,136.3,134.73,"2,784,978",04/17/2019,135.59
6,135.34,135.36,134.41,"1,999,026",04/16/2019,134.86
7,134.55,135.26,134.07,"1,874,932",04/15/2019,135.0
8,135.3,135.32,133.65,"2,865,520",04/12/2019,133.82
9,132.82,133.0,131.48,"1,741,910",04/11/2019,131.77
10,131.66,132.33,130.26,"2,682,137",04/10/2019,132.29
11,132.25,132.91,131.2,"2,083,344",04/09/2019,132.65
12,133.56,133.63,131.19,"2,717,699",04/08/2019,132.33
13,133.72,133.8,132.56,"2,499,404",04/05/2019,133.16
14,132.7,133.27,130.85,"2,194,631",04/04/2019,131.5
15,131.31,132.7224,130.61,"2,839,922",04/03/2019,132.61
16,131.9,133.37,131.55,"2,786,776",04/02/2019,133.07
17,133.19,133.43,129.99,"5,214,555",04/01/2019,129.99
18,128.89,129.09,127.48,"3,045,667",03/29/2019,128.26
19,127.27,127.4,126.19,"1,867,369",03/28/2019,126.71
20,126.3,127.14,125.64,"2,718,822",03/27/2019,126.12
21,126.14,126.95,125.06,"3,204,202",03/26/2019,126.18
22,125.4,125.83,124.59,"2,270,903",03/25/2019,124.96
23,125.15,126.33,123.45,"3,862,760",03/22/2019,126.0
24,126.88,127.18,124.33,"2,597,839",03/21/2019,124.55
25,125.31,126.5,124.53,"2,939,027",03/20/2019,126.44
26,126.51,128.17,125.91,"2,941,166",03/19/2019,127.62
27,126.9,127.0,125.53,"3,529,922",03/18/2019,126.11
28,125.92,127.43,125.9,"9,689,372",03/15/2019,127.17
29,126.89,126.94,125.71,"3,559,676",03/14/2019,126.64
30,126.64,127.2755,124.97,"4,853,924",03/13/2019,124.97
31,124.67,126.91,124.52,"3,844,226",03/12/2019,125.71
32,126.01,126.19,121.48,"4,619,913",03/11/2019,121.58
33,124.02,124.14,122.29,"3,091,534",03/08/2019,123.85
34,124.46,125.09,122.92,"4,163,867",03/07/2019,125.01
35,125.39,126.86,125.37,"3,519,476",03/06/2019,126.18
36,125.94,126.84,125.64,"3,148,155",03/05/2019,125.64
37,125.74,127.4,125.0971,"3,474,416",03/04/2019,126.29
38,125.77,127.35,125.24,"3,821,941",03/01/2019,126.98
39,125.67,127.33,125.57,"4,416,175",02/28/2019,126.69
40,126.9,127.35,126.1,"2,497,953",02/27/2019,127.08
41,127.19,128.45,126.77,"3,396,965",02/26/2019,127.78
42,128.27,129.12,128.16,"2,672,137",02/25/2019,128.7
43,127.77,128.3489,126.8,"3,158,092",02/22/2019,128.05
44,126.32,128.59,125.83,"3,234,407",02/21/2019,128.15
45,128.43,129.64,127.83,"6,301,071",02/20/2019,128.7
46,128.64,129.14,126.86,"6,092,475",02/19/2019,127.38
47,127.76,127.91,125.03,"6,828,137",02/15/2019,125.6
48,124.13,124.385,122.71,"3,747,015",02/14/2019,123.15
49,124.42,124.89,124.22,"2,462,818",02/13/2019,124.35
50,123.98,124.35,122.71,"3,539,493",02/12/2019,123.36
51,122.72,123.1118,121.51,"3,915,932",02/11/2019,122.9
52,122.49,122.52,120.22,"3,904,402",02/08/2019,120.29
53,120.72,120.99,118.99,"4,643,462",02/07/2019,120.36
54,121.36,121.73,120.34,"3,477,796",02/06/2019,120.86
55,120.77,120.79,119.08,"3,576,993",02/05/2019,119.82
56,119.14,119.25,117.88,"4,935,733",02/04/2019,118.99
57,118.98,120.03,118.11,"4,127,709",02/01/2019,119.59
58,118.07,119.57,117.625,"6,080,628",01/31/2019,119.57
59,119.12,120.25,117.25,"7,155,074",01/30/2019,118.6
60,117.84,118.22,115.5,"10,828,570",01/29/2019,115.57
61,115.08,115.26,113.77,"8,377,185",01/28/2019,115.2
62,115.81,116.9,115.08,"4,641,289",01/25/2019,116.34
63,115.56,119.35,114.54,"9,021,029",01/24/2019,117.75
64,117.04,119.34,114.35,"12,523,630",01/23/2019,117.3
65,111.06,113.16,110.65,"5,684,952",01/22/2019,113.01
66,113.9,114.7,112.9,"4,635,984",01/18/2019,114.29
