,Date,Open,High,Low,Close,Volume
4,69.85,70.02,69.28,"440,635",04/26/2019,69.47
5,69.31,69.6,69.14,"566,368",04/25/2019,69.45
6,69.82,70.45,69.74,"780,406",04/24/2019,69.92
7,69.73,69.76,67.82,"1,494,720",04/23/2019,68.18
8,68.02,68.41,67.25,"2,516,873",04/22/2019,67.41
9,67.01,67.03,66.11,"1,158,982",04/18/2019,66.25
10,66.21,66.65,65.67,"1,122,053",04/17/2019,66.52
11,66.53,68.06,66.05,"1,172,535",04/16/2019,68.06
12,67.91,68.59,67.49,"559,319",04/15/2019,68.56
13,68.34,68.38,67.27,"720,001",04/12/2019,67.73
14,67.75,68.49,67.6,"710,116",04/11/2019,68.13
15,67.89,68.185,67.31,"1,152,853",04/10/2019,67.77
16,67.85,68.47,67.685,"903,728",04/09/2019,68.47
17,68.56,69.87,68.445,"946,163",04/08/2019,69.8
18,69.57,69.6,68.92,"644,712",04/05/2019,69.16
19,69.16,69.24,68.58,"589,268",04/04/2019,69.07
20,68.85,69.03,68.24,"662,414",04/03/2019,68.61
21,68.58,68.68,67.235,"675,920",04/02/2019,67.72
22,67.62,67.815,66.66,"586,288",04/01/2019,67.6
23,67.44,67.9,67.35,"1,132,813",03/29/2019,67.57
24,67.52,67.61,66.79,"838,422",03/28/2019,66.91
25,66.76,67.5,66.5,"1,017,683",03/27/2019,67.37
26,67.22,67.29,66.63,"931,418",03/26/2019,66.84
27,66.49,66.99,66.395,"1,013,186",03/25/2019,66.85
28,66.82,68.11,66.71,"990,960",03/22/2019,67.74
29,67.56,67.775,66.385,"1,059,931",03/21/2019,66.49
30,66.54,66.98,65.9075,"816,879",03/20/2019,66.43
31,66.57,67.32,66.27,"875,379",03/19/2019,67.12
32,66.82,67.6,66.49,"915,861",03/18/2019,67.45
33,67.29,68.74,67.19,"1,774,171",03/15/2019,68.46
34,68.46,69.29,68.41,"1,085,841",03/14/2019,69.29
35,69.08,69.71,69.03,"616,120",03/13/2019,69.2
36,69.12,69.41,68.75,"559,691",03/12/2019,68.75
37,68.55,68.57,67.52,"479,445",03/11/2019,67.86
38,67.64,68.01,67.23,"581,179",03/08/2019,67.38
39,67.59,68.3,67.19,"759,600",03/07/2019,68.03
40,67.98,68.65,67.92,"572,294",03/06/2019,68.05
41,67.89,68.1,67.35,"425,429",03/05/2019,67.45
42,67.59,67.645,66.66,"786,163",03/04/2019,67.18
43,66.83,67.47,66.19,"1,126,545",03/01/2019,67.36
44,67.31,68.41,66.75,"1,523,570",02/28/2019,66.8
45,66.88,67.41,66.31,"984,321",02/27/2019,67.24
46,67.58,68.42,67.53,"735,181",02/26/2019,68.42
47,68.25,69.24,68.2,"606,814",02/25/2019,69.14
48,68.89,69.32,68.41,"535,496",02/22/2019,68.75
49,68.42,68.51,67.35,"523,557",02/21/2019,67.8
50,67.98,68.76,67.72,"1,024,049",02/20/2019,68.76
51,68.79,69.04,68.58,"1,062,491",02/19/2019,68.85
52,68.8,68.84,68.38,"1,448,447",02/15/2019,68.74
53,68.27,68.86,68.06,"818,827",02/14/2019,68.77
54,68.89,69.07,68.2,"1,177,837",02/13/2019,68.51
55,68.6,70.085,68.375,"2,039,293",02/12/2019,68.81
56,70.07,70.17,69.52,"1,569,551",02/11/2019,69.98
57,69.9,70.54,69.5156,"1,372,667",02/08/2019,69.72
58,69.85,70.17,69.11,"1,377,092",02/07/2019,69.5
59,69.76,70.44,69.64,"787,844",02/06/2019,70.44
60,70.5,70.54,69.74,"1,589,486",02/05/2019,70.19
61,70.21,70.23,68.815,"929,697",02/04/2019,69.5
62,69.56,70.12,68.18,"1,502,385",02/01/2019,69.99
63,69.91,70.05,68.21,"2,029,213",01/31/2019,68.58
64,68.75,69.16,67.36,"1,142,663",01/30/2019,67.36
65,67.72,67.75,66.91,"691,782",01/29/2019,67.05
66,67.13,67.22,65.71,"913,544",01/28/2019,65.89
