,Date,Open,High,Low,Close,Volume
4,139.87,140.005,138.76,"440,307",04/26/2019,139.14
5,138.79,139.48,138.05,"625,962",04/25/2019,139.09
6,139.5,140.41,139.09,"502,758",04/24/2019,139.47
7,139.47,139.52,136.69,"511,237",04/23/2019,137.97
8,137.64,137.915,137,"550,649",04/22/2019,137.6
9,137.99,138.47,136.34,"373,852",04/18/2019,137.34
10,136.94,137.2,136.17,"665,788",04/17/2019,137.2
11,136.54,138.93,136.38,"702,053",04/16/2019,138.64
12,137.85,137.92,136.1816,"446,459",04/15/2019,136.9
13,136.98,137,135.51,"485,192",04/12/2019,136.29
14,135.79,135.84,134.305,"548,654",04/11/2019,134.96
15,134.76,135.56,134.46,"863,444",04/10/2019,135.21
16,135.15,135.5125,134.49,"368,851",04/09/2019,134.95
17,135.38,135.77,134.25,"659,554",04/08/2019,134.88
18,135.52,136.69,135.17,"862,518",04/05/2019,135.85
19,135.71,136.7,135.37,"492,805",04/04/2019,136.32
20,136.31,136.99,135.04,"1,238,747",04/03/2019,135.43
21,134.91,135.03,133.57,"636,914",04/02/2019,134.22
22,134.24,134.42,132.72,"758,758",04/01/2019,133.67
23,133,133.28,132.36,"979,803",03/29/2019,133
24,132.81,133.39,130.95,"1,478,016",03/28/2019,132.02
25,131.81,132.35,130.85,"1,270,891",03/27/2019,131.72
26,131.71,131.77,130.28,"575,971",03/26/2019,130.36
27,129.79,129.94,128.36,"618,316",03/25/2019,129.17
28,128.89,129.65,128.625,"629,285",03/22/2019,129.3
29,129.76,129.92,128.15,"561,672",03/21/2019,128.15
30,128.29,129.49,128.22,"604,920",03/20/2019,128.88
31,128.87,129.34,128.37,"852,472",03/19/2019,128.82
32,128.69,129,128.1,"620,299",03/18/2019,128.15
33,128.43,129.07,128.06,"1,272,532",03/15/2019,128.14
34,128.13,128.795,127.83,"835,929",03/14/2019,128.21
35,128.76,129.3,128.01,"846,940",03/13/2019,128.77
36,128.26,128.48,126.67,"606,891",03/12/2019,127.49
37,127.31,127.55,125.52,"522,515",03/11/2019,125.9
38,126.01,126.71,125.1038,"471,674",03/08/2019,125.95
39,126.58,127.12,125.8,"520,911",03/07/2019,126.61
40,126.65,126.97,126.16,"414,943",03/06/2019,126.36
41,126.47,127.16,125.85,"724,097",03/05/2019,126.01
42,125.91,127.55,125.25,"893,136",03/04/2019,127.3
43,126.71,127.22,126.03,"740,883",03/01/2019,126.76
44,126.43,126.79,125.52,"572,250",02/28/2019,125.52
45,125.77,126.07,122.4404,"500,043",02/27/2019,124.95
46,125.35,125.67,125.04,"697,739",02/26/2019,125.15
47,125.23,126.27,125.13,"503,004",02/25/2019,125.68
48,125.03,125.67,124.45,"752,160",02/22/2019,124.96
49,124.53,125.3,122.58,"907,361",02/21/2019,122.96
50,122.83,123.5,121.06,"1,351,868",02/20/2019,121.9
51,124.43,125.3,124.05,"1,090,023",02/19/2019,124.92
52,125.38,125.4,123.24,"662,056",02/15/2019,124.56
53,123.84,124.41,123.21,"536,555",02/14/2019,123.47
54,123.92,124.61,123.6903,"784,942",02/13/2019,124.16
55,123.7,124.01,122.25,"720,352",02/12/2019,123.05
56,122.09,122.92,121.78,"542,024",02/11/2019,122.44
57,121.98,121.98,119.49,"652,950",02/08/2019,119.52
58,120.25,120.25,118.73,"598,347",02/07/2019,119.05
59,119.64,119.86,118.4627,"534,913",02/06/2019,119.75
60,119.93,119.99,118.23,"688,183",02/05/2019,119.01
61,119.35,119.5,117.63,"492,808",02/04/2019,118.61
62,118.77,119.61,117.51,"1,031,749",02/01/2019,117.51
63,117.41,117.62,116.23,"1,016,882",01/31/2019,117.48
64,117.5,118.48,116.07,"508,081",01/30/2019,116.58
65,116.23,117.06,115.24,"372,451",01/29/2019,116.41
66,116.23,116.66,115.31,"449,336",01/28/2019,116.66
