,Date,Open,High,Low,Close,Volume
4,239.58,241.73,236.58,"577,533",04/18/2019,239.01
5,238.09,242.48,235.8,"824,658",04/17/2019,241.42
6,240.71,251.68,239.7091,"697,051",04/16/2019,250.82
7,248.94,251.63,248.14,"346,265",04/15/2019,250.92
8,250.88,254.96,250.445,"386,214",04/12/2019,251.71
9,250.75,251.26,249.25,"310,291",04/11/2019,250.77
10,250.68,252.23,248.68,"398,584",04/10/2019,249.41
11,249.41,253.35,248.54,"654,059",04/09/2019,251.77
12,253.15,253.3,248.91,"296,816",04/08/2019,251.99
13,252.33,253.26,248.54,"430,187",04/05/2019,248.54
14,248.36,250.95,248.34,"531,942",04/04/2019,250.95
15,250.54,252.77,250.12,"500,493",04/03/2019,252.08
16,250.63,253.13,250.12,"380,064",04/02/2019,252.31
17,252.98,255.21,250.915,"376,227",04/01/2019,253.31
18,251.71,252.24,249.34,"455,690",03/29/2019,250.02
19,248.31,249.06,246.32,"348,847",03/28/2019,247.3
20,246.73,249.54,244.3401,"414,684",03/27/2019,249.15
21,248.77,249.7,247.0,"391,567",03/26/2019,248.1
22,246.27,247.55,243.92,"415,403",03/25/2019,245.78
23,245.37,250.6,245.23,"415,121",03/22/2019,249.54
24,250.28,250.54,244.26,"363,777",03/21/2019,244.26
25,245.26,247.665,243.58,"464,707",03/20/2019,246.69
26,246.54,247.29,245.01,"462,252",03/19/2019,245.55
27,245.27,246.375,242.94,"521,984",03/18/2019,244.28
28,244.97,245.13,241.88,"1,308,181",03/15/2019,242.01
29,242.49,242.59,239.86,"535,844",03/14/2019,241.18
30,241.34,242.1,238.0,"569,631",03/13/2019,241.56
31,241.01,241.44,239.06,"548,643",03/12/2019,240.72
32,239.7,240.32,238.0,"481,072",03/11/2019,238.77
33,238.6,239.63,236.53,"456,257",03/08/2019,237.12
34,238.37,239.935,237.1911,"531,996",03/07/2019,239.38
35,239.58,241.69,238.85,"462,098",03/06/2019,241.23
36,241.16,242.81,239.55,"514,704",03/05/2019,240.54
37,240.87,245.94,239.45,"608,093",03/04/2019,244.81
38,244.8,246.43,244.17,"760,573",03/01/2019,244.42
39,242.22,242.53,240.53,"788,541",02/28/2019,240.78
40,241.64,242.1,237.54,"443,946",02/27/2019,237.54
41,238.52,239.39,236.78,"648,622",02/26/2019,238.31
42,239.08,240.975,237.37,"753,051",02/25/2019,237.37
43,235.41,236.3,234.26,"330,119",02/22/2019,235.19
44,234.58,234.91,232.218,"451,240",02/21/2019,233.05
45,234.0,234.53,232.36,"401,844",02/20/2019,234.25
46,234.44,235.57,233.55,"498,453",02/19/2019,234.23
47,234.69,234.84,231.49,"592,233",02/15/2019,233.44
48,231.5,232.88,231.33,"647,747",02/14/2019,232.87
49,234.23,235.85,233.47,"540,728",02/13/2019,234.69
50,234.14,234.82,232.93,"576,555",02/12/2019,234.82
51,232.35,233.0,231.58,"419,275",02/11/2019,232.17
52,231.0,231.09,228.06,"523,648",02/08/2019,228.75
53,230.0,231.55,228.86,"503,223",02/07/2019,231.0
54,232.61,233.48,231.26,"544,156",02/06/2019,231.45
55,232.65,233.27,230.26,"414,034",02/05/2019,230.31
56,230.29,232.41,228.58,"825,790",02/04/2019,230.8
57,230.81,233.0,229.78,"677,888",02/01/2019,231.62
58,231.22,231.7,228.04,"747,826",01/31/2019,231.2
59,231.57,232.325,226.2,"774,839",01/30/2019,229.06
60,229.42,231.89,227.85,"698,558",01/29/2019,230.64
61,228.66,229.73,226.82,"806,871",01/28/2019,227.94
62,229.16,229.99,223.85,"1,003,015",01/25/2019,225.0
63,223.71,230.18,223.43,"1,105,331",01/24/2019,229.38
64,229.51,229.7,220.29,"2,382,028",01/23/2019,224.0
65,203.66,205.59,202.04,"771,611",01/22/2019,205.59
66,206.94,207.58,202.63,"718,617",01/18/2019,203.27
