,Date,Open,High,Low,Close,Volume
4,50.92,50.98,48.8,"10,234,190",04/26/2019,49.95
5,52.95,54.65,52.53,"3,921,581",04/25/2019,54.5
6,53.94,54.505,52.8,"3,797,953",04/24/2019,54.505
7,54.45,54.75,53.42,"3,802,233",04/23/2019,54.37
8,54.21,55.22,53.52,"4,568,925",04/22/2019,54.96
9,55.39,55.44,53.9,"5,652,089",04/18/2019,54.47
10,54.45,55.54,53.34,"6,652,054",04/17/2019,55
11,54.29,54.67,52.87,"8,405,778",04/16/2019,53.16
12,51.86,52.74,51.475,"4,626,582",04/15/2019,52.5
13,51.83,52.2799,51.27,"4,116,257",04/12/2019,51.63
14,50.83,51.6,50.43,"3,364,260",04/11/2019,50.89
15,50.69,50.91,49.6,"4,365,011",04/10/2019,50.08
16,50.11,51.88,49.995,"4,731,463",04/09/2019,51.88
17,51.59,51.76,50.3616,"4,377,881",04/08/2019,51.42
18,52.04,52.35,51.29,"4,217,429",04/05/2019,51.77
19,51.4,51.87,50.75,"4,268,362",04/04/2019,51.41
20,52.01,53.43,51.402,"8,235,287",04/03/2019,51.5
21,50.38,50.835,48.84,"6,507,949",04/02/2019,49.23
22,49.31,49.58,48.35,"6,497,043",04/01/2019,48.93
23,48.06,48.6,46.28,"8,326,047",03/29/2019,46.28
24,45.75,46.28,44.76,"5,709,361",03/28/2019,44.92
25,45.38,47.45,44.94,"8,918,618",03/27/2019,47.23
26,47.08,48.93,46.865,"6,285,537",03/26/2019,48.19
27,47.89,48.85,47.09,"4,426,420",03/25/2019,48.25
28,48.39,51.45,48.37,"8,580,804",03/22/2019,51.25
29,51.78,52.27,47.87,"14,593,840",03/21/2019,47.87
30,47.17,48.1711,46.56,"5,390,985",03/20/2019,47.84
31,47.88,48.835,47.72,"4,740,868",03/19/2019,48.72
32,48.29,48.6699,47.8281,"4,159,270",03/18/2019,48.19
33,48.1,49.13,47.64,"12,027,430",03/15/2019,47.65
34,47.58,48.72,47.15,"7,783,778",03/14/2019,48.6
35,48.99,49.47,48.07,"5,919,637",03/13/2019,49.14
36,49.15,50.56,48.75,"4,827,885",03/12/2019,49.69
37,49.66,50,47.66,"6,106,895",03/11/2019,47.75
38,47.48,47.56,45.73,"5,314,795",03/08/2019,46.04
39,46.99,47.86,45.41,"8,855,289",03/07/2019,47.86
40,48.12,50.36,48.1,"7,564,756",03/06/2019,50.36
41,50.74,52.24,50.48,"6,337,465",03/05/2019,52
42,52.61,53.4,51.58,"8,314,147",03/04/2019,52.27
43,51.66,51.945,50.59,"7,700,427",03/01/2019,51.02
44,50.3,50.52,46.66,"11,013,960",02/28/2019,48.15
45,48.54,51.37,48.5,"6,884,291",02/27/2019,50.83
46,50.97,51.6,50.5,"3,968,695",02/26/2019,51.19
47,51.36,52.24,50.76,"7,704,246",02/25/2019,50.9
48,49.49,49.5516,47.44,"4,820,743",02/22/2019,48.06
49,47.19,48.5,47.05,"3,608,746",02/21/2019,48.38
50,48.46,49.19,47.91,"4,617,251",02/20/2019,47.95
51,48,48.99,47.66,"4,784,717",02/19/2019,48.42
52,47.65,48.46,47.375,"4,432,427",02/15/2019,48.46
53,47.98,48.41,47.465,"5,293,072",02/14/2019,47.56
54,47.69,48.75,47.54,"6,100,685",02/13/2019,48.68
55,47.26,47.825,46.3457,"4,632,197",02/12/2019,46.46
56,45.93,46.88,45.61,"4,127,200",02/11/2019,46.78
57,46.71,46.73,44.05,"7,118,549",02/08/2019,44.45
58,45.86,47.5,45.45,"7,043,037",02/07/2019,47.29
59,48,48.68,47.41,"5,250,807",02/06/2019,47.42
60,47.41,48.25,47.135,"5,948,828",02/05/2019,47.44
61,47.85,47.89,46.1,"6,067,590",02/04/2019,47.06
62,47,47.28,44.73,"9,167,949",02/01/2019,44.73
63,44.99,45.07,43.5,"7,377,186",01/31/2019,43.81
64,43.83,43.99,42.48,"6,316,263",01/30/2019,43.17
65,42.55,44.5296,42.46,"6,616,894",01/29/2019,44
66,44,44.15,41.6,"11,771,250",01/28/2019,42.03
