,Date,Open,High,Low,Close,Volume
4,10/30/2018,70.02,70.37,69.04,69.75,"2,584,982"
5,10/29/2018,68.86,69.97,68.86,69.78,"2,090,462"
6,10/26/2018,70.91,71.11,68.42,68.89,"3,772,996"
7,10/25/2018,71.29,71.29,70.08,70.59,"1,895,379"
8,10/24/2018,70.23,72.0868,69.81,71.67,"2,455,346"
9,10/23/2018,70.51,70.99,69.62,69.92,"2,128,126"
10,10/22/2018,70.62,70.84,70.04,70.19,"1,968,463"
11,10/19/2018,69.31,70.87,69.19,70.57,"2,346,430"
12,10/18/2018,69.34,69.73,68.83,69.27,"2,438,608"
13,10/17/2018,69.11,69.36,68.6,69.26,"2,262,826"
14,10/16/2018,67.98,69.47,67.55,69.07,"2,392,636"
15,10/15/2018,67.5,68.5,67.4,67.94,"2,758,549"
16,10/12/2018,67.44,67.78,66.78,67.49,"2,421,277"
17,10/11/2018,69.21,69.41,67.29,67.52,"3,691,341"
18,10/10/2018,69.12,70.22,68.85,68.88,"2,842,726"
19,10/09/2018,68.97,69.565,68.68,69.06,"2,698,644"
20,10/08/2018,68.48,69.4,68.23,68.74,"1,538,413"
21,10/05/2018,67.3,68.49,67.3,68.28,"2,316,936"
22,10/04/2018,66.57,67.48,66.16,67.28,"1,829,220"
23,10/03/2018,67.6,67.9,66.18,66.79,"1,692,164"
24,10/02/2018,66.82,67.76,66.82,67.67,"1,752,086"
25,10/01/2018,66.57,66.77,66.25,66.65,"1,447,353"
26,09/28/2018,66.04,66.82,65.95,66.76,"1,752,323"
27,09/27/2018,65.15,66.06,65.015,65.84,"1,546,329"
28,09/26/2018,65.94,66.08,64.96,65.04,"2,327,573"
29,09/25/2018,66.53,66.65,65.56,65.75,"1,874,302"
30,09/24/2018,67.17,67.26,66.62,66.64,"1,747,403"
31,09/21/2018,66.87,67.68,66.0,67.24,"3,367,021"
32,09/20/2018,66.86,67.29,66.27,67.15,"1,623,998"
33,09/19/2018,68.45,68.46,66.62,66.96,"1,565,366"
34,09/18/2018,68.46,68.7,67.965,68.34,"1,857,617"
35,09/17/2018,68.8,68.9,68.245,68.62,"1,812,497"
36,09/14/2018,68.78,68.88,68.05,68.8,"1,315,838"
37,09/13/2018,68.85,69.095,68.37,69.05,"1,140,075"
38,09/12/2018,68.82,69.33,68.62,68.7,"1,534,992"
39,09/11/2018,69.15,69.41,68.82,68.96,"1,229,773"
40,09/10/2018,68.71,69.51,68.56,69.12,"1,327,567"
41,09/07/2018,68.83,69.21,68.37,68.56,"1,729,598"
42,09/06/2018,68.91,69.523,68.71,69.29,"1,525,986"
43,09/05/2018,68.34,68.94,68.26,68.93,"1,594,642"
44,09/04/2018,67.93,68.87,67.62,68.26,"2,139,301"
45,08/31/2018,67.74,68.16,67.365,67.58,"1,410,833"
46,08/30/2018,67.7,68.04,67.45,67.83,"1,190,154"
47,08/29/2018,67.05,67.53,66.9,67.44,"1,313,553"
48,08/28/2018,66.98,67.24,66.79,66.94,"1,401,961"
49,08/27/2018,67.83,67.94,66.75,67.1,"1,689,364"
50,08/24/2018,67.28,67.83,67.01,67.8,"1,189,562"
51,08/23/2018,67.21,67.78,67.14,67.31,"1,613,046"
52,08/22/2018,67.78,67.85,66.91,67.23,"1,806,229"
53,08/21/2018,68.16,68.21,67.39,67.77,"1,805,402"
54,08/20/2018,68.36,68.46,67.95,68.25,"1,758,115"
55,08/17/2018,67.84,68.48,67.66,68.26,"1,975,855"
56,08/16/2018,67.17,67.94,66.765,67.94,"2,392,546"
57,08/15/2018,66.95,67.83,66.76,67.25,"1,611,636"
58,08/14/2018,66.81,67.25,66.64,66.75,"1,724,368"
59,08/13/2018,66.66,66.94,66.4052,66.89,"2,507,210"
60,08/10/2018,67.15,67.7,66.88,67.15,"1,942,973"
61,08/09/2018,66.59,67.04,66.45,66.98,"1,820,039"
62,08/08/2018,66.09,66.74,65.9,66.59,"1,659,769"
63,08/07/2018,66.37,66.4,65.75,66.29,"1,405,306"
64,08/06/2018,66.4,66.88,66.265,66.48,"1,438,872"
65,08/03/2018,65.7,66.72,65.4,66.33,"1,375,048"
66,08/02/2018,65.46,65.96,64.93,65.67,"1,583,165"
67,08/01/2018,65.92,65.92,64.92,65.54,"1,959,973"
68,07/31/2018,65.37,66.5,64.545,66.37,"2,809,960"
69,07/30/2018,65.51,65.53,64.85,65.2,"2,724,670"
