,Date,Open,High,Low,Close,Volume
4,48.86,48.87,48.08,"30,363,690",04/03/2019,48.47
5,48.21,48.88,47.96,"35,372,730",04/02/2019,48.57
6,48.81,48.9,48.17,"41,586,640",04/01/2019,48.43
7,48.32,49.8,47.8,"53,586,890",03/29/2019,49.8
8,49.09,49.215,48.35,"15,718,910",03/28/2019,48.73
9,48.77,49.19,48.4533,"13,670,220",03/27/2019,48.94
10,49.01,49.04,48.41,"16,851,640",03/26/2019,48.52
11,48.08,48.89,47.85,"17,225,910",03/25/2019,48.42
12,48.31,49.47,48.0,"27,886,070",03/22/2019,49.25
13,49.86,50.14,49.165,"24,130,100",03/21/2019,49.98
14,50.4,51.57,50.33,"20,630,780",03/20/2019,51.19
15,51.41,52.42,51.34,"19,845,660",03/19/2019,52.42
16,51.73,52.07,50.83,"23,841,730",03/18/2019,50.84
17,50.66,50.8,50.0,"46,117,320",03/15/2019,50.22
18,50.35,50.79,49.93,"20,160,680",03/14/2019,50.07
19,49.92,50.08,49.61,"21,637,130",03/13/2019,49.87
20,49.65,50.045,49.54,"18,293,420",03/12/2019,49.78
21,49.76,50.1,49.63,"19,469,670",03/11/2019,50.0
22,49.8,49.9,49.1725,"17,232,280",03/08/2019,49.26
23,49.68,49.85,49.29,"19,046,450",03/07/2019,49.71
24,49.82,50.215,49.675,"14,207,350",03/06/2019,49.97
25,49.89,50.05,49.325,"13,983,550",03/05/2019,50.03
26,50.11,50.9,49.69,"16,681,740",03/04/2019,50.29
27,50.03,50.84,49.87,"18,949,550",03/01/2019,50.23
28,49.89,50.13,49.73,"17,768,560",02/28/2019,49.98
29,49.9,50.03,49.36,"17,454,230",02/27/2019,49.59
30,49.59,50.14,49.34,"16,704,910",02/26/2019,49.49
31,49.66,50.23,49.25,"16,552,920",02/25/2019,49.26
32,49.02,49.75,48.95,"15,848,240",02/22/2019,49.6
33,49.56,49.89,49.3733,"16,814,950",02/21/2019,49.76
34,49.81,49.88,49.3,"16,348,390",02/20/2019,49.43
35,49.38,49.62,48.82,"15,121,210",02/19/2019,49.03
36,49.22,49.42,48.49,"19,342,940",02/15/2019,49.09
37,48.52,48.91,48.03,"16,453,230",02/14/2019,48.63
38,49.02,49.71,48.89,"13,766,080",02/13/2019,49.24
39,49.05,49.46,48.01,"22,032,990",02/12/2019,48.01
40,47.65,47.96,47.38,"15,975,500",02/11/2019,47.87
41,47.65,48.04,47.06,"20,641,200",02/08/2019,47.94
42,48.08,49.3,47.71,"24,137,050",02/07/2019,49.09
43,49.22,49.53,49.0675,"12,145,010",02/06/2019,49.09
44,49.27,49.32,48.75,"14,784,360",02/05/2019,49.27
45,49.06,49.15,48.71,"17,456,920",02/04/2019,48.85
46,48.91,49.08,48.79,"21,120,950",02/01/2019,49.0
47,48.91,49.415,48.66,"24,931,630",01/31/2019,49.28
48,50.09,50.35,49.59,"16,876,010",01/30/2019,49.84
49,49.85,50.11,49.72,"11,925,570",01/29/2019,49.78
50,49.82,49.9,49.195,"19,804,400",01/28/2019,49.77
51,50.13,50.54,49.96,"20,183,350",01/25/2019,50.4
52,49.98,50.34,49.65,"17,858,580",01/24/2019,49.79
53,50.12,50.32,49.495,"16,804,070",01/23/2019,50.0
54,49.86,50.1,49.63,"33,972,170",01/22/2019,49.77
55,50.01,50.155,48.86,"35,963,490",01/18/2019,49.1
56,49.23,49.3632,48.4,"25,724,670",01/17/2019,48.64
57,48.94,49.34,47.99,"31,971,960",01/16/2019,48.15
58,47.67,48.25,47.01,"27,439,750",01/15/2019,47.6
59,48.42,48.49,47.4,"23,813,780",01/14/2019,47.51
60,47.87,48.09,47.18,"19,901,180",01/11/2019,47.5
61,47.75,48.05,47.31,"16,206,280",01/10/2019,47.5
62,47.8,47.98,47.08,"18,836,610",01/09/2019,47.51
63,47.54,48.16,46.92,"19,171,020",01/08/2019,47.9
64,47.64,48.23,47.54,"21,593,620",01/07/2019,47.78
65,47.95,48.11,47.2,"23,327,830",01/04/2019,47.42
66,46.57,47.345,46.37,"22,261,640",01/03/2019,46.65
