,Date,Open,High,Low,Close,Volume
4,10/26/2018,100.63,103.04,97.24,100.51,"2,900,675"
5,10/25/2018,100.11,103.78,99.12,103.22,"2,722,259"
6,10/24/2018,103.98,104.16,98.96,99.42,"3,370,195"
7,10/23/2018,104.85,104.9,100.24,102.69,"4,341,624"
8,10/22/2018,111.42,112,107.96,108.7,"2,293,034"
9,10/19/2018,114.29,116.05,109.9,110.2,"2,766,276"
10,10/18/2018,118.05,118.28,113.5,113.87,"1,660,843"
11,10/17/2018,118.5,120.62,115.8,118.29,"1,954,113"
12,10/16/2018,116.33,118.36,114.77,117.83,"1,719,481"
13,10/15/2018,115.79,116.33,113.31,114.67,"2,115,459"
14,10/12/2018,119.42,120.5,115.05,116.58,"2,329,257"
15,10/11/2018,114.34,118.95,114.1,116.22,"3,309,128"
16,10/10/2018,119.15,121.1,114.95,115.11,"2,440,456"
17,10/09/2018,115.88,119.58,115.595,118.96,"2,594,052"
18,10/08/2018,118.41,119.3,114.46,116.27,"3,553,442"
19,10/05/2018,124,125.23,118.07,120.63,"3,369,659"
20,10/04/2018,127.45,127.81,122.375,123.44,"2,143,333"
21,10/03/2018,125.05,129.33,124.72,127.14,"2,406,213"
22,10/02/2018,125.48,126.69,123.35,123.81,"2,022,865"
23,10/01/2018,126.9,127.39,123.03,125.29,"3,489,530"
24,09/28/2018,128.81,129.47,126.7801,127.06,"2,650,733"
25,09/27/2018,131.06,131.18,128.66,128.94,"2,561,724"
26,09/26/2018,133,134.0796,131.42,131.67,"2,674,572"
27,09/25/2018,133.18,134.56,132.34,133.94,"1,480,410"
28,09/24/2018,135.04,136,132.41,132.98,"2,371,322"
29,09/21/2018,138.5,138.95,136.485,136.73,"5,268,385"
30,09/20/2018,136.62,138.77,136.4,137.31,"2,498,754"
31,09/19/2018,133.89,137.45,133.3958,135.73,"1,963,606"
32,09/18/2018,133.08,133.55,131,132.97,"1,416,480"
33,09/17/2018,134.99,135.58,132.19,132.45,"1,458,390"
34,09/14/2018,137.88,139,134.73,135.28,"2,239,581"
35,09/13/2018,136.08,138.1,133.2,135.18,"1,996,571"
36,09/12/2018,131.54,135.47,131.401,134.94,"3,095,546"
37,09/11/2018,131.75,133.99,129.82,133.49,"4,101,564"
38,09/10/2018,129.67,134.56,129.29,134.2,"4,544,290"
39,09/07/2018,127.11,130.5,126.96,128.38,"3,157,044"
40,09/06/2018,139.75,139.79,127.33,127.85,"6,213,150"
41,09/05/2018,142.13,142.24,139.88,140.37,"2,162,985"
42,09/04/2018,147.72,148.1127,142.281,143.03,"2,733,836"
43,08/31/2018,148.12,150.58,146.01,148.34,"2,931,190"
44,08/30/2018,148.89,149.235,147.53,148.53,"1,692,045"
45,08/29/2018,148.09,149.32,146.58,148.76,"1,840,668"
46,08/28/2018,148.82,149.605,147.06,147.96,"1,193,752"
47,08/27/2018,147.36,151.93,147.36,148.73,"2,635,130"
48,08/24/2018,145.37,146,145,145.9,"1,066,577"
49,08/23/2018,145,148.47,144.8,145.14,"2,224,468"
50,08/22/2018,145.25,145.66,144.17,145.05,"1,142,754"
51,08/21/2018,146.32,146.85,144.77,145.33,"1,810,887"
52,08/20/2018,144.98,146.25,143.48,145.78,"2,467,130"
53,08/17/2018,139.41,142.96,139.38,142.33,"1,797,053"
54,08/16/2018,139.65,141.44,139.07,139.6,"2,549,201"
55,08/15/2018,142.25,142.44,138.1,138.17,"3,868,951"
56,08/14/2018,146.34,146.9304,143.43,143.87,"4,037,581"
57,08/13/2018,147.99,149.8068,147.38,148,"2,079,014"
58,08/10/2018,150.98,150.98,147.66,148.52,"3,948,702"
59,08/09/2018,154.19,154.91,151.96,152.32,"1,910,534"
60,08/08/2018,153.28,156.75,152.36,153.89,"2,226,392"
61,08/07/2018,152.55,154.39,151.51,153.29,"1,587,595"
62,08/06/2018,149.18,153.36,148.8712,152.95,"2,116,367"
63,08/03/2018,149,150.3799,146.26,149.19,"3,542,725"
64,08/02/2018,153.47,155,147.18,149.54,"7,322,741"
65,08/01/2018,166.52,166.99,158.6,159.99,"4,596,048"
66,07/31/2018,162.03,167.59,162.03,166.78,"1,954,673"
67,07/30/2018,163.03,163.835,161.53,161.82,"1,834,861"
68,07/27/2018,165.04,167.287,161.785,163.39,"1,511,767"
69,07/26/2018,164.25,165.56,161.59,165.26,"2,220,389"
