,Date,Open,High,Low,Close,Volume
4,11/02/2018,81.42,81.82,79.99,80.74,"1,759,547"
5,11/01/2018,79.86,81.98,79.52,80.87,"2,563,299"
6,10/31/2018,79.95,81.01,78.74,79.47,"3,098,431"
7,10/30/2018,77.97,79.85,77.815,79.0,"2,119,857"
8,10/29/2018,82.06,83.14,77.63,78.52,"2,210,097"
9,10/26/2018,81.83,83.0,79.9,81.93,"900,333"
10,10/25/2018,83.65,84.14,81.98,82.83,"1,239,806"
11,10/24/2018,87.32,87.55,82.66,82.77,"1,215,547"
12,10/23/2018,88.3,88.3,85.13,86.5,"1,113,234"
13,10/22/2018,91.53,91.56,89.6,89.82,"872,579"
14,10/19/2018,91.15,93.5,91.14,91.65,"942,227"
15,10/18/2018,91.23,92.67,89.71,90.89,"1,301,298"
16,10/17/2018,92.98,93.87,91.23,92.25,"1,253,879"
17,10/16/2018,93.28,93.75,91.64,93.24,"1,261,284"
18,10/15/2018,93.52,94.49,91.62,92.82,"1,461,115"
19,10/12/2018,95.98,96.76,90.63,93.03,"1,889,397"
20,10/11/2018,96.01,96.51,93.8,94.56,"1,733,463"
21,10/10/2018,100.64,100.92,96.82,97.08,"1,597,786"
22,10/09/2018,99.36,101.19,98.96,100.44,"1,506,165"
23,10/08/2018,98.11,100.15,96.07,99.25,"1,490,091"
24,10/05/2018,98.25,99.53,97.02,99.18,"1,726,131"
25,10/04/2018,98.01,99.265,97.47,98.12,"1,004,763"
26,10/03/2018,96.36,98.61,96.075,98.52,"1,135,554"
27,10/02/2018,95.71,96.29,94.955,96.23,"879,791"
28,10/01/2018,93.08,96.74,92.85,95.45,"1,281,616"
29,09/28/2018,93.3,94.94,92.91,92.94,"1,140,348"
30,09/27/2018,93.72,94.74,92.67,93.97,"1,552,704"
31,09/26/2018,93.49,94.575,92.885,93.12,"864,580"
32,09/25/2018,95.05,95.61,94.37,94.54,"1,083,479"
33,09/24/2018,93.99,95.02,92.84,94.62,"1,104,519"
34,09/21/2018,90.85,92.58,90.16,92.34,"1,578,089"
35,09/20/2018,93.19,93.66,90.23,90.44,"2,081,012"
36,09/19/2018,90.56,93.24,90.375,92.87,"1,224,150"
37,09/18/2018,92.0,92.5,89.71,90.43,"1,279,454"
38,09/17/2018,92.14,92.86,90.74,91.18,"783,394"
39,09/14/2018,89.48,92.19,89.48,91.69,"1,324,413"
40,09/13/2018,88.96,89.86,88.0513,89.37,"1,093,170"
41,09/12/2018,87.27,89.88,87.23,89.17,"1,942,354"
42,09/11/2018,84.36,86.92,84.36,86.02,"1,302,747"
43,09/10/2018,83.94,86.19,83.94,84.54,"1,035,553"
44,09/07/2018,84.16,84.49,82.86,83.59,"1,424,331"
45,09/06/2018,85.7,86.7,85.06,85.47,"1,747,765"
46,09/05/2018,83.29,86.51,82.18,86.13,"1,390,213"
47,09/04/2018,85.16,85.5114,83.61,84.13,"710,640"
48,08/31/2018,84.91,85.56,83.83,84.48,"1,280,817"
49,08/30/2018,83.73,85.32,83.5881,84.98,"800,659"
50,08/29/2018,83.94,84.55,83.43,83.83,"750,621"
51,08/28/2018,84.11,84.9,83.4678,83.61,"802,768"
52,08/27/2018,83.99,84.83,83.68,84.18,"494,751"
53,08/24/2018,83.84,84.35,83.42,83.9,"790,058"
54,08/23/2018,83.61,83.77,82.67,83.03,"715,384"
55,08/22/2018,84.21,84.9,83.51,84.0,"1,040,558"
56,08/21/2018,83.29,84.3,82.7301,83.72,"824,672"
57,08/20/2018,81.58,82.51,80.8,82.37,"1,226,958"
58,08/17/2018,83.76,84.28,81.39,82.25,"1,194,752"
59,08/16/2018,83.72,84.21,82.5,83.45,"1,902,469"
60,08/15/2018,85.63,85.63,80.53,83.22,"2,423,021"
61,08/14/2018,87.57,88.01,85.09,86.01,"923,486"
62,08/13/2018,89.45,89.66,86.36,86.53,"1,700,330"
63,08/10/2018,88.55,90.11,87.83,89.99,"1,693,389"
64,08/09/2018,87.77,90.37,87.64,88.87,"2,527,643"
65,08/08/2018,90.0,92.75,87.74,88.95,"5,573,174"
66,08/07/2018,96.62,98.05,94.9316,97.34,"1,723,085"
67,08/06/2018,94.2,95.74,93.39,95.04,"957,109"
68,08/03/2018,96.06,96.42,93.14,94.03,"1,133,010"
69,08/02/2018,95.82,96.78,94.32,96.13,"826,871"
