,Date,Open,High,Low,Close,Volume
4,54.68,55.27,54.64,"3,107,230",04/18/2019,54.93
5,54.77,55.09,54.595,"2,795,914",04/17/2019,54.95
6,54.86,55.98,54.77,"4,167,339",04/16/2019,55.76
7,55.78,56.21,55.66,"2,198,660",04/15/2019,55.92
8,55.87,55.97,55.12,"2,379,154",04/12/2019,55.59
9,55.67,55.715,55.29,"3,587,926",04/11/2019,55.44
10,55.35,56.32,55.24,"3,003,787",04/10/2019,55.88
11,55.76,55.77,55.2,"3,126,272",04/09/2019,55.24
12,55.31,55.75,55.11,"2,418,587",04/08/2019,55.71
13,55.71,55.72,55.14,"2,522,514",04/05/2019,55.35
14,55.28,55.61,54.735,"2,553,778",04/04/2019,55.59
15,55.37,55.65,55.005,"3,936,734",04/03/2019,55.58
16,55.58,55.9797,55.335,"3,684,212",04/02/2019,55.78
17,55.57,56.25,55.095,"3,213,682",04/01/2019,56.25
18,56.21,56.27,55.81,"5,169,532",03/29/2019,56.18
19,56.16,57.13,55.88,"3,436,537",03/28/2019,56.89
20,56.91,57.48,56.58,"2,257,074",03/27/2019,57.48
21,57.36,57.48,56.93,"2,066,261",03/26/2019,56.98
22,57.07,57.28,56.82,"2,622,353",03/25/2019,57.1
23,57.07,57.51,56.64,"2,899,103",03/22/2019,56.78
24,56.48,56.61,55.69,"2,244,019",03/21/2019,55.79
25,55.83,56.4,55.56,"2,394,390",03/20/2019,55.8
26,55.66,56.24,55.43,"2,588,821",03/19/2019,56.07
27,56.12,56.61,55.865,"3,207,508",03/18/2019,56.45
28,56.5,56.89,56.14,"10,008,640",03/15/2019,56.26
29,56.16,56.5,55.94,"3,243,662",03/14/2019,56.29
30,56.65,56.76,56.31,"2,720,363",03/13/2019,56.47
31,56.46,56.56,55.99,"2,595,367",03/12/2019,56.21
32,56.05,56.08,55.62,"2,812,636",03/11/2019,55.66
33,55.67,55.9,55.2,"3,514,558",03/08/2019,55.66
34,55.52,55.7,55.16,"3,235,789",03/07/2019,55.25
35,55.09,55.23,54.715,"2,893,321",03/06/2019,54.93
36,54.9,55.12,54.7,"4,952,550",03/05/2019,54.97
37,55.08,55.1,54.405,"3,425,409",03/04/2019,54.89
38,54.92,55.0,54.29,"3,626,065",03/01/2019,54.87
39,54.86,54.9,54.13,"4,465,294",02/28/2019,54.32
40,54.39,54.56,54.13,"2,662,203",02/27/2019,54.32
41,54.47,54.9,54.42,"4,336,901",02/26/2019,54.88
42,54.71,55.36,54.5,"3,428,144",02/25/2019,55.21
43,55.27,55.27,54.59,"2,650,443",02/22/2019,54.97
44,54.78,54.9,53.74,"2,930,945",02/21/2019,53.96
45,54.1,54.185,53.44,"5,765,574",02/20/2019,53.77
46,53.79,53.84,53.345,"3,388,008",02/19/2019,53.57
47,53.46,53.7,53.265,"2,859,768",02/15/2019,53.66
48,53.27,53.76,53.04,"6,425,403",02/14/2019,53.3
49,53.27,53.51,53.03,"2,532,516",02/13/2019,53.45
50,53.48,53.905,53.1901,"3,126,644",02/12/2019,53.68
51,53.57,53.73,53.335,"2,413,449",02/11/2019,53.49
52,53.48,53.5,52.74,"2,075,157",02/08/2019,53.11
53,53.13,53.16,52.06,"2,313,788",02/07/2019,52.06
54,52.43,52.67,52.08,"1,894,047",02/06/2019,52.36
55,52.4,52.51,52.02,"2,775,702",02/05/2019,52.41
56,52.38,52.39,51.57,"2,775,209",02/04/2019,51.96
57,52.14,52.5,51.5282,"3,564,045",02/01/2019,52.27
58,52.36,52.58,50.6,"6,648,076",01/31/2019,50.95
59,50.92,51.33,50.39,"3,221,545",01/30/2019,50.39
60,50.64,50.93,50.41,"2,930,463",01/29/2019,50.71
61,50.45,50.81,50.1,"2,412,003",01/28/2019,50.54
62,50.54,51.579,50.44,"3,463,146",01/25/2019,51.32
63,51.39,51.425,50.6,"2,887,126",01/24/2019,51.15
64,51.13,51.15,50.51,"2,956,104",01/23/2019,50.63
65,50.65,51.19,50.14,"6,589,108",01/22/2019,50.77
66,50.7,51.005,50.51,"3,450,781",01/18/2019,50.9
