,Date,Open,High,Low,Close,Volume
4,01/30/2019,71.77,72.57,71.505,72.29,"11,208,600"
5,01/29/2019,71.7,72.19,71.48,71.51,"10,212,270"
6,01/28/2019,71.02,71.28,70.37,71.24,"13,621,710"
7,01/25/2019,72.07,72.27,71.535,71.72,"8,996,152"
8,01/24/2019,71.1,71.97,70.6394,71.4,"10,232,900"
9,01/23/2019,72.01,72.2966,70.93,71.3,"12,669,050"
10,01/22/2019,72.39,72.71,71.68,71.89,"14,932,910"
11,01/18/2019,73.27,73.29,72.125,72.99,"15,722,350"
12,01/17/2019,71.19,72.34,70.8994,72.13,"9,974,633"
13,01/16/2019,71.42,72.375,71.31,71.64,"12,541,230"
14,01/15/2019,71.95,72.36,71.32,71.67,"10,148,550"
15,01/14/2019,71.21,71.78,71.12,71.63,"10,840,230"
16,01/11/2019,71.85,71.89,71.07,71.72,"9,745,006"
17,01/10/2019,72.07,72.08,71.12,72.05,"12,964,190"
18,01/09/2019,72.6,72.6,71.645,72.42,"13,329,690"
19,01/08/2019,72.54,72.59,71.94,72.04,"11,141,610"
20,01/07/2019,71.25,72.1,70.74,71.52,"10,746,950"
21,01/04/2019,69.64,71.27,69.36,71.15,"15,851,340"
22,01/03/2019,70.0,70.25,68.355,68.62,"13,825,210"
23,01/02/2019,67.35,69.87,67.255,69.69,"16,704,860"
24,12/31/2018,68.32,69.1453,67.66,68.19,"15,795,000"
25,12/28/2018,69.18,69.58,67.82,68.17,"19,621,520"
26,12/27/2018,67.74,68.94,66.08,68.94,"21,588,760"
27,12/26/2018,66.18,68.655,64.65,68.64,"24,651,740"
28,12/24/2018,66.87,67.53,65.44,65.51,"14,262,830"
29,12/21/2018,68.14,70.37,67.67,68.12,"47,244,260"
30,12/20/2018,70.09,70.66,68.05,68.63,"28,660,520"
31,12/19/2018,72.45,73.27,70.2953,70.78,"21,569,390"
32,12/18/2018,73.63,73.86,71.62,72.0,"18,631,010"
33,12/17/2018,75.26,75.6,73.48,74.04,"14,788,790"
34,12/14/2018,76.72,76.87,75.09,75.58,"12,668,760"
35,12/13/2018,76.03,77.22,75.95,76.98,"11,136,870"
36,12/12/2018,78.04,78.2,76.015,76.02,"14,509,530"
37,12/11/2018,77.7,77.8,75.68,76.68,"12,954,750"
38,12/10/2018,77.86,77.86,74.797,76.54,"17,940,040"
39,12/07/2018,79.39,80.36,77.335,77.64,"16,099,580"
40,12/06/2018,78.0,78.44,76.92,78.39,"21,245,440"
41,12/04/2018,81.38,81.95,79.35,79.43,"17,092,550"
42,12/03/2018,80.24,81.46,80.14,81.22,"19,324,230"
43,11/30/2018,78.45,79.6,78.32,79.5,"14,039,060"
44,11/29/2018,78.22,79.53,78.195,79.06,"9,881,446"
45,11/28/2018,77.04,78.45,76.84,78.45,"11,428,510"
46,11/27/2018,76.57,77.45,76.4,77.05,"10,343,850"
47,11/26/2018,76.24,77.32,76.12,76.98,"13,064,670"
48,11/23/2018,76.05,76.2,74.7,75.49,"10,875,430"
49,11/21/2018,77.43,78.38,77.26,77.56,"9,685,306"
50,11/20/2018,78.42,78.9,76.37,76.97,"15,532,900"
51,11/19/2018,78.46,79.36,78.43,79.22,"9,393,970"
52,11/16/2018,78.37,79.19,78.1,78.96,"13,578,150"
53,11/15/2018,76.67,78.19,75.91,78.19,"18,962,360"
54,11/14/2018,78.86,79.09,76.75,77.39,"18,539,750"
55,11/13/2018,79.8,79.85,77.64,78.0,"15,527,230"
56,11/12/2018,81.66,81.73,79.73,79.83,"11,905,910"
57,11/09/2018,80.26,81.4,79.695,80.87,"15,069,970"
58,11/08/2018,83.13,83.745,81.535,81.71,"16,862,350"
59,11/07/2018,82.21,83.14,81.6599,83.03,"12,697,080"
60,11/06/2018,81.74,82.1,81.35,81.99,"9,062,988"
61,11/05/2018,82.5,82.87,81.44,81.64,"15,810,460"
62,11/02/2018,81.76,82.45,80.23,81.95,"18,839,910"
63,11/01/2018,79.83,80.75,79.3,80.67,"14,152,450"
64,10/31/2018,79.34,80.3501,78.9,79.68,"16,612,620"
65,10/30/2018,77.62,79.03,77.42,78.78,"17,757,510"
