,assoc,values
0,they sell,sell-side analysts expect aetna inc post 11.3 earnings per share current year .
1,they sell,zacks investment research cut aetna hold rating sell rating research note tuesday july 24th .
2,they buy,credit suisse group increased target price aetna 202.00 207.00 gave company neutral rating research note monday october 22nd .
3,they buy,finally cantor fitzgerald reiterated buy rating set 202.00 target price shares aetna research note thursday august 2nd .
4,they buy,eight research analysts rated stock hold rating six issued buy rating stock .
5,they sell,number hedge funds institutional investors also recently bought sold shares aet .
6,they buy,fmr llc increased stake shares aetna 3.5 second quarter .
7,they buy,farallon capital management llc increased stake shares aetna 9.3 first quarter .
8,they buy,northern trust corp increased stake shares aetna 0.8 second quarter .
9,they buy,oz management lp increased stake shares aetna 1.9 first quarter .
10,they buy,finally pointstate capital lp increased stake shares aetna 111.2 second quarter .
11,they buy,zacks investment research upgraded shares aetna hold rating buy rating set 228.00 price target stock research note thursday october 4th .
12,they buy,credit suisse group increased price target shares aetna 202.00 207.00 gave company neutral rating research note monday .
13,they buy,finally cantor fitzgerald lowered shares aetna overweight rating neutral rating set 202.00 price target stock .
14,they buy,eight equities research analysts rated stock hold rating six given buy rating company stock .
15,they sell,cimarex energy co xec shares bought global x management co llc global x lithium battery tech etf nysearca lit shares sold intl fcstone inc .
16,they sell,zacks investment research cut aetna hold rating sell rating research note tuesday july 24th .
17,they buy,finally cantor fitzgerald reissued buy rating issued 202.00 price objective shares aetna report thursday august 2nd .
18,they buy,eight investment analysts rated stock hold rating six given buy rating company .
19,they buy,wolverine asset management llc increased position aetna 31.7 2nd quarter .
20,they buy,havens advisors llc increased position shares aetna 32.1 third quarter .
21,they buy,abrams capital management l.p. increased position shares aetna 14.1 second quarter .
22,they buy,"finally mainstay capital management llc adv increased position shares aetna 1,696.3 second quarter ."
23,they buy,credit suisse group increased price objective shares aetna 202.00 207.00 gave stock neutral rating research report monday .
24,they buy,cantor fitzgerald restated buy rating issued 202.00 price target shares aetna report thursday august 2nd .
25,they buy,finally zacks investment research lowered shares aetna buy rating hold rating research note thursday october 11th .
26,they buy,eight investment analysts rated stock hold rating six given buy rating stock .
27,they buy,"mainstay capital management llc adv increased position shares aetna 1,696.3 2nd quarter ."
28,they buy,sun life financial inc increased position shares aetna 252.0 2nd quarter .
29,they buy,zacks investment research upgraded aetna hold rating buy rating set 228.00 price target company research note thursday october 4th .
30,they buy,finally cantor fitzgerald downgraded aetna overweight rating neutral rating set 202.00 price target company .
31,they buy,eight investment analysts rated stock hold rating six issued buy rating stock .
32,they buy,seven eight capital lp reduces position hollyfrontier corp hfc monarch casino resort mcri sets new 1-year low 38.90 aetna nyse aet downgraded zacks investment research buy rating hold rating report released thursday october 11th .
33,they sell,company track acquired cvs health announced sell medicare part business get approval regulators deal .
34,they buy,valuengine upgraded shares aetna hold rating buy rating report tuesday june 26th .
35,they buy,cantor fitzgerald reissued buy rating set 202.00 target price shares aetna research note thursday august 2nd .
36,they buy,eight investment analysts rated stock hold rating six assigned buy rating company stock .
37,they sell,average sell-side analysts forecast aetna post 11.3 eps current fiscal year .
38,they sell,several hedge funds institutional investors recently bought sold shares aet .
39,they buy,fmr llc increased position shares aetna 3.5 second quarter .
40,they buy,northern trust corp increased holdings aetna 0.8 2nd quarter .
41,they sell,"recommended story earnings per share eps viewcount type=a id=1097620 get free copy zacks research report aetna aet information research offerings zacks investment research visit zacks.com keyword aetna nyse aet aet medical,00817y10 downgrade zacks investment researchratings:3,12 nyse aetrefreshed2 receive news ratings aetna daily enter email address receive concise daily summary latest news analysts ratings aetna related companies marketbeat.com free daily email newsletter ."
42,they buy,amtrust financial services nasdaq afsi xl group xl head head survey eversource energy nyse es position raised bank montreal aetna nyse aet target price increased credit suisse group 202.00 207.00 research report sent investors monday fly reports .
43,they buy,zacks investment research upgraded aetna hold rating buy rating set 228.00 price target stock research note thursday october 4th .
44,they buy,cantor fitzgerald downgraded shares aetna overweight rating neutral rating set 202.00 target price stock .
45,they buy,finally valuengine raised shares aetna hold rating buy rating research report tuesday june 26th .
46,they buy,eight research analysts rated stock hold rating six issued buy rating company stock .
47,they sell,number institutional investors recently bought sold shares aet .
48,they buy,toyota motor tm lifted buy bank america arco platform arce coverage initiated analysts morgan stanley dnb asset management lowered position aetna inc nyse aet 32.7 third quarter according company recent 13f filing securities exchange commission sec .
49,they sell,number institutional investors also recently bought sold shares business .
50,they buy,kaizen advisory llc increased position shares aetna 143.9 2nd quarter .
51,they buy,cantor fitzgerald downgraded aetna overweight rating neutral rating set 202.00 price target stock .
52,they buy,zacks investment research upgraded shares aetna hold rating buy rating set 228.00 price target stock report thursday october 4th .
53,they buy,eight research analysts rated stock hold rating six assigned buy rating stock .
54,they buy,zacks investment research raised aetna hold rating buy rating set 228.00 target price stock report thursday october 4th .
55,they buy,finally cantor fitzgerald downgraded aetna overweight rating neutral rating set 202.00 price target stock .
56,they buy,eight investment analysts rated stock hold rating six issued buy rating company .
57,they buy,kaizen advisory llc increased holdings aetna 143.9 second quarter .
58,they buy,cantor fitzgerald reiterated buy rating set 202.00 target price shares aetna research note thursday august 2nd .
59,they buy,zacks investment research upgraded shares aetna hold rating buy rating set 228.00 price objective company research report thursday october 4th .
60,they buy,finally credit suisse group increased target price shares aetna 202.00 207.00 gave company neutral rating report monday .
61,they buy,eight research analysts rated stock hold rating six assigned buy rating company stock .
62,they buy,cantor fitzgerald downgraded shares aetna overweight rating neutral rating set 202.00 target price company .
