,assoc,values
0,they buy,stock upgraded rating buy eyes goldman whereas previous rating neutral eyes goldman reported wednesday march 13th 2019. another heavy-hitting research note published macquarie friday january 25th 2019 firm upgrading ccl updated rating outperform previous rating neutral .
1,they buy,right stock subject 21 analysts evaluations average given company shares strong buy rating .
2,they sell,single analyst given underperform rating sell rating 10 given rating buy better .
3,they sell,"general counsel secretary carnival corporation ccl sold shares transaction finalized feb 15. similarly kruse stein sold 32,163 shares organization stock 57.08 apiece racked 1,835,983 earnings sale ."
4,they buy,analysts goldman upped rating shares carnival corporation nyse ccl neutral buy opinion released march 13. macquarie analysts bumped recommendation ccl stock neutral outperform separate flash note investors january 25 .
5,they sell,average consensus rating company 1.9 scale 5 equates unanimous sell rating .
6,they buy,short mean analyst recommendations calling stock buy .
7,they buy,analysts goldman upped rating shares carnival corporation nyse ccl neutral buy opinion released march 13. macquarie analysts bumped recommendation ccl stock neutral outperform separate flash note investors january 25 .
8,they sell,average consensus rating company 1.9 scale 5 equates unanimous sell rating .
9,they buy,short mean analyst recommendations calling stock buy .
10,they sell,hedge funds institutional investors also recently bought sold shares company .
11,they buy,whittier trust co. nevada inc. increased position shares carnival 87.2 fourth quarter .
12,they buy,"essex savings bank bought new position carnival fourth quarter valued approximately 29,000 ."
13,they buy,"doyle wealth management bought new position carnival fourth quarter valued approximately 36,000 ."
14,they buy,"finally one seven llc bought new position carnival fourth quarter valued approximately 54,000 ."
15,they sell,"also general counsel arnaldo perez sold 2,290 shares firm stock transaction friday january 11th ."
16,they sell,"shares sold average price 52.27 total value 119,698.30 ."
17,they sell,"insiders sold 71,792 shares company stock valued 4,053,366 last 90 days ."
18,they sell,trademark violation notice carnival corp ccl shares sold standard life aberdeen plc first reported baseball daily news sole property baseball daily news .
19,they sell,number hedge funds institutional investors also recently bought sold shares ccl .
20,they buy,"essex savings bank bought new position shares carnival 4th quarter worth 29,000 ."
21,they buy,"doyle wealth management bought new position shares carnival 4th quarter worth 36,000 ."
22,they buy,"berman capital advisors llc bought new position shares carnival 4th quarter worth 39,000 ."
23,they sell,zacks investment research downgraded shares carnival hold rating sell rating research report thursday march 14th .
24,they buy,goldman sachs group raised shares carnival neutral rating buy rating increased price objective stock 63.00 65.00 report wednesday march 13th .
25,they buy,standpoint research cut shares carnival buy rating hold rating set 57.16 price objective stock .
26,they sell,valuengine raised shares carnival sell rating hold rating report tuesday january 29th .
27,they buy,finally macquarie raised shares carnival neutral rating outperform rating increased price objective stock 58.00 66.00 report friday january 25th .
28,they sell,one investment analyst rated stock sell rating six assigned hold rating fourteen given buy rating company stock .
29,they buy,stock presently consensus rating buy consensus price target 69.70 .
30,they buy,"related news ceo arnold w. donald bought 21,595 shares stock transaction wednesday december 26th ."
31,they sell,"also general counsel arnaldo perez sold 5,691 shares firm stock transaction dated friday february 15th ."
32,they sell,"shares sold average price 57.08 total transaction 324,842.28 ."
33,they sell,"last three months insiders sold 71,792 shares company stock worth 4,053,366 ."
34,they buy,trademark violation warning carnival corp ccl shares bought green square capital llc published fairfield current property fairfield current .
35,they sell,several institutional investors also bought sold shares company .
36,they buy,credit suisse group set 76.00 price target carnival gave stock buy rating research note tuesday november 20th .
37,they sell,zacks investment research cut carnival hold rating sell rating research note monday december 3rd .
38,they buy,wolfe research set 73.00 price objective carnival gave stock buy rating research report tuesday december 11th .
39,they buy,cleveland research raised carnival neutral rating buy rating research report monday december 17th .
40,they sell,one research analyst rated stock sell rating six assigned hold rating fourteen given buy rating company .
41,they buy,company currently average rating buy average target price 69.70 .
42,they sell,"also general counsel arnaldo perez sold 2,290 shares firm stock transaction dated friday january 11th ."
