,assoc,values
0,they buy,"merian global investors uk ltd bought new position expeditors international washington third quarter valued approximately 88,985,000 ."
1,they buy,zacks investment research lowered shares expeditors international washington buy rating hold rating research note friday august 10th .
2,they sell,bidaskclub raised shares expeditors international washington sell rating hold rating research note wednesday july 25th .
3,they sell,four analysts rated stock sell rating six assigned hold rating two given buy rating company .
4,they buy,ifm investors pty ltd increased holdings shares expeditors international washington 49.1 2nd quarter .
5,they buy,finally jlb associates inc. increased holdings shares expeditors international washington 30.9 2nd quarter .
6,they sell,bidaskclub cut shares expeditors international washington hold rating sell rating research report friday july 13th .
7,they sell,zacks investment research cut shares expeditors international washington hold rating sell rating report wednesday october 24th .
8,they sell,four research analysts rated stock sell rating six given hold rating two assigned buy rating stock .
9,they buy,goldman sachs group inc gs shares bought daiwa securities group inc .
10,they sell,zacks investment research sales calculations average based survey sell-side research firms follow expeditors international washington .
11,they sell,number institutional investors recently bought sold shares expd .
12,they buy,"summit trail advisors llc increased position expeditors international washington 6,335.0 first quarter ."
13,they sell,number hedge funds also recently bought sold shares stock .
14,they sell,bidaskclub downgraded expeditors international washington hold rating sell rating research note friday july 13th .
15,they buy,finally zacks investment research lowered expeditors international washington buy rating hold rating report friday august 10th .
16,they sell,four investment analysts rated stock sell rating six assigned hold rating two given buy rating stock .
17,they buy,texas permanent school fund decreases stake henry schein inc. hsic texas permanent school fund cuts position cf industries holdings inc. cf atria investments llc increased stake shares expeditors international washington nasdaq expd 93.2 third quarter according recent disclosure securities exchange commission .
18,they sell,zacks investment research downgraded shares expeditors international washington hold rating sell rating research report wednesday october 24th .
19,they sell,bidaskclub cut expeditors international washington hold rating sell rating report friday october 12th .
20,they sell,four analysts rated stock sell rating six given hold rating two issued buy rating company .
21,they sell,american eagle outfitters nyse aeo shares sold raymond james associates reviewing bank montreal nyse bmo grupo financiero galicia ggal usa financial portformulas corp acquired new position shares expeditors international washington nasdaq expd third quarter according company recent disclosure sec .
22,they sell,several large investors also recently bought sold shares stock .
23,they buy,zacks investment research cut shares expeditors international washington buy rating hold rating research report friday august 10th .
24,they sell,bidaskclub raised shares expeditors international washington sell rating hold rating research report wednesday july 25th .
25,they sell,four equities research analysts rated stock sell rating six issued hold rating two issued buy rating stock .
26,they sell,bidaskclub cut expeditors international washington hold rating sell rating research report friday july 13th .
27,they sell,four analysts rated stock sell rating six assigned hold rating two given buy rating company stock .
28,they sell,number institutional investors hedge funds also recently bought sold shares stock .
29,they sell,bidaskclub downgraded expeditors international washington hold rating sell rating research note friday july 13th .
30,they buy,finally zacks investment research downgraded expeditors international washington buy rating hold rating research note friday august 10th .
31,they sell,four research analysts rated stock sell rating six given hold rating two issued buy rating company .
32,they sell,bidaskclub lowered expeditors international washington hold rating sell rating research report friday july 13th .
33,they sell,zacks investment research lowered expeditors international washington hold rating sell rating research report wednesday october 24th .
34,they sell,four investment analysts rated stock sell rating six assigned hold rating two assigned buy rating company .
35,they sell,3m co mmm shares sold russell investments group ltd .
36,they buy,southwestern energy swn position increased state treasurer state michigan andra ap fonden boosted holdings shares expeditors international washington nasdaq expd 8.0 3rd quarter according company recent form 13f filing securities exchange commission .
37,they sell,google_ad_client ca-pub-0703139142419429 google_ad_slot 5621244306 google_ad_width 336 google_ad_height 280 c number hedge funds also bought sold shares business .
38,they sell,bidaskclub downgraded expeditors international washington hold rating sell rating report friday july 13th .
39,they sell,four analysts rated stock sell rating six given hold rating two assigned buy rating stock .
40,they sell,hedge funds institutional investors also bought sold shares company .
41,they buy,fmr llc increased position expeditors international washington 59.3 second quarter .
42,they buy,wells fargo company mn increased position expeditors international washington 70.3 second quarter .
43,they buy,millennium management llc increased position expeditors international washington 173.1 second quarter .
44,they buy,los angeles capital management equity research inc. increased holdings expeditors international washington 71.5 2nd quarter .
45,they buy,"finally welch forbes llc bought new stake expeditors international washington 2nd quarter valued 23,584,000 ."
46,they buy,zacks investment research lowered shares expeditors international washington buy rating hold rating report friday august 10th .
47,they sell,bidaskclub upgraded shares expeditors international washington sell rating hold rating research note wednesday july 25th .
48,they sell,four equities research analysts rated stock sell rating six assigned hold rating two assigned buy rating company stock .
49,they sell,bidaskclub lowered expeditors international washington hold rating sell rating report friday july 13th .
50,they buy,finally zacks investment research lowered expeditors international washington buy rating hold rating report friday august 10th .
51,they sell,four analysts rated stock sell rating six assigned hold rating two assigned buy rating stock .
52,they sell,comerica incorporated cma shares sold texas permanent school fund steward partners investment advisory llc sells 278 shares tesla inc tsla marshall sullivan inc. wa lowered position shares expeditors international washington nasdaq expd 58.1 third quarter according recent disclosure securities exchange commission .
53,they sell,several institutional investors hedge funds also recently bought sold shares company .
54,they sell,bidaskclub downgraded shares expeditors international washington hold rating sell rating research report friday july 13th .
55,they buy,finally zacks investment research downgraded shares expeditors international washington buy rating hold rating research report friday august 10th .
56,they sell,four equities research analysts rated stock sell rating six given hold rating two given buy rating company .
57,they sell,bidaskclub downgraded shares expeditors international washington hold rating sell rating research report friday july 13th .
58,they buy,finally zacks investment research lowered shares expeditors international washington buy rating hold rating research note friday august 10th .
59,they sell,four analysts rated stock sell rating six issued hold rating two assigned buy rating company .
