,assoc,values
0,they buy,research note published february 19th 2019 citigroup upgrade shares fcx 16.additionally research note made public january 9th 2019 analysts credit suisse initiated common shares fcx stock neutral combined 12-month price target 12 .
1,they buy,average analysts currently moderate buy recommendation mean rating 4.10. comparison average recommendation month ago moderate buy average rating 4.25. similarly average rating observed 2 months ago moderate buy mean numerical rating 3.73 average rating observed 3 months ago moderate buy mean numerical rating 3.73 .
2,they buy,shares freeport-mcmoran inc. nyse fcx pegged rating buy citigroup latest research note published february 19th 2019. research company also assigned 16 price target .
3,they buy,morgan stanley advised investors research note published february 13th 2019 overweight fcx stock .
4,they sell,amongst analysts rated stock 0 recommended investors sell 12 believe potential growth thus rating hold 2 advised investors purchase stock .
5,they buy,investment analysts deutsche bank published research note april 16th 2019 informed investors clients netflix inc. nasdaq nflx rated buy .
6,they buy,morgan stanley also rated nflx upgrade february 13th 2019 price target 100 suggesting nflx could surge 6.96 current share price .
7,they buy,analysts citigroup raised recommendation shares fcx neutral buy opinion released february 19. morgan stanley analysts bumped rating freeport-mcmoran inc. nyse fcx stock equal-weight overweight separate flash note issued investors february 13. analysts credit suisse made first call equity neutral recommendation according research note dated back january 09 .
8,they sell,analysts rate stock buy strong buy others rated sell .
9,they sell,9 analysts rated freeport-mcmoran inc. nyse fcx buy strong buy 2 advised investors desist purchasing stock sell already company stock .
10,they sell,1 means buy 2.5 meaning hold 5 sell .
11,they buy,research note published february 19th 2019 citigroup upgrade shares fcx 16.additionally research note made public january 9th 2019 analysts credit suisse initiated common shares fcx stock neutral combined 12-month price target 12 .
12,they buy,average analysts currently strong buy recommendation mean rating 4.77. comparison average recommendation month ago strong buy average rating 4.76. similarly average rating observed 2 months ago strong buy mean numerical rating 4.76 average rating observed 3 months ago strong buy mean numerical rating 4.76 .
13,they buy,rating scale 1 means strong buy 2.0 indicated buy .
14,they sell,4.0 sell signals .
15,they sell,however 5.0 strong sell signal .
16,they buy,roa ratio helps investor know profit company relative total invested assets .
17,they buy,investment would net gain analysts return costs increased .
18,they sell,zacks investment research cut freeport-mcmoran hold rating strong sell rating report tuesday january 8th .
19,they sell,valuengine raised freeport-mcmoran sell rating hold rating report wednesday january 30th .
20,they buy,morgan stanley cut freeport-mcmoran overweight rating equal weight rating report wednesday february 13th .
21,they sell,three equities research analysts rated stock sell rating ten assigned hold rating six assigned buy rating stock .
22,they sell,"freeport-mcmoran news vp c donald whitmire jr. sold 7,425 shares freeport-mcmoran stock transaction occurred tuesday february 12th ."
23,they sell,"stock sold average price 11.58 total value 85,981.50 ."
24,they buy,flagship harbor advisors llc increased stake freeport-mcmoran 21.6 4th quarter .
25,they buy,moody national bank trust division increased stake freeport-mcmoran 3.6 4th quarter .
26,they buy,ffcm llc increased stake freeport-mcmoran 7.3 4th quarter .
27,they buy,focused wealth management inc increased stake freeport-mcmoran 3.5 4th quarter .
28,they sell,objective using rsi help trader identify sold overbought price areas .
29,they buy,security reading 70 100 security supposed heavily bought ready downward correction .
30,they sell,analyses consensus rating score stands 2.6. next one year period average individual price target estimates referred covering sell-side analysts 14.18 .
31,they sell,stock trading low volume many traders involved stock would difficult find trader buy sell .
32,they sell,stock trading high volume many traders involved stock would easier find trader buy sell .
