,assoc,values
0,they sell,zacks sales calculations average based survey sell-side research firms follow kellogg .
1,they buy,buckingham research increased target price shares kellogg 79.00 80.00 gave stock buy rating research note friday august 3rd .
2,they buy,credit suisse group increased target price shares kellogg 71.00 75.00 gave stock hold rating research note thursday august 9th .
3,they sell,zacks investment research downgraded shares kellogg hold rating sell rating research note tuesday october 16th .
4,they buy,finally piper jaffray companies set 79.00 target price shares kellogg gave stock buy rating research note tuesday october 16th .
5,they sell,two investment analysts rated stock sell rating nine assigned hold rating eight issued buy rating company stock .
6,they sell,"news major shareholder kellogg w. k. foundation trust sold 150,000 shares firm stock transaction occurred thursday august 9th ."
7,they sell,"shares sold average price 71.20 total transaction 10,680,000.00 ."
8,they sell,"also vice chairman gary h. pilnick sold 66,655 shares firm stock transaction occurred monday august 6th ."
9,they sell,"stock sold average price 72.25 total transaction 4,815,823.75 ."
10,they sell,"last quarter insiders sold 636,655 shares company stock valued 45,829,574 ."
11,they buy,"finally cubist systematic strategies llc bought new position kellogg first quarter worth approximately 647,000 ."
12,they buy,buckingham research upped price target kellogg 76.00 79.00 gave stock buy rating research report friday july 20th .
13,they buy,finally piper jaffray companies set 79.00 price target kellogg gave stock buy rating research report tuesday october 16th .
14,they sell,two investment analysts rated stock sell rating nine issued hold rating eight assigned buy rating company stock .
15,they sell,sell-side analysts forecast kellogg post 4.52 earnings per share current fiscal year .
16,they sell,"kellogg news vice chairman gary h. pilnick sold 66,655 shares stock transaction dated monday august 6th ."
17,they sell,"shares sold average price 72.25 total value 4,815,823.75 ."
18,they sell,"also major shareholder kellogg w. k. foundation trust sold 205,000 shares stock transaction dated wednesday october 10th ."
19,they sell,"shares sold average price 69.72 total transaction 14,292,600.00 ."
20,they sell,"last three months insiders sold 636,655 shares company stock worth 45,829,574 ."
21,they buy,finally barclays restated overweight rating issued c 4.00 price objective shares kinross gold report wednesday october 10th .
22,they sell,one research analyst rated stock sell rating two given hold rating four given buy rating company .
23,they sell,"schimper sold 14,535 shares business stock transaction occurred wednesday august 8th ."
24,they sell,"shares sold average price c 4.30 total value c 62,500.50 ."
25,they sell,zacks investment research raised shares kellogg sell rating hold rating research report thursday .
26,they buy,valuengine raised shares kellogg hold rating buy rating research report wednesday october 24th .
27,they buy,piper jaffray companies set 79.00 price target shares kellogg gave stock buy rating research note tuesday october 16th .
28,they sell,two analysts rated stock sell rating nine given hold rating eight given buy rating company stock .
29,they buy,csx co. nasdaq csx position decreased fca corp tx barclays reissued overweight rating shares kinross gold tse k nyse kgc research note published wednesday october 10th .
30,they sell,one equities research analyst rated stock sell rating two assigned hold rating four given buy rating stock .
31,they sell,"schimper sold 14,535 shares stock transaction dated wednesday august 8th ."
32,they sell,"shares sold average price c 4.30 total transaction c 62,500.50 ."
