,assoc,values
0,they buy,royal london asset management ltd. acquired new position kinder morgan inc nyse kmi second quarter according company recent disclosure sec .
1,they buy,"firm acquired 824,334 shares pipeline company stock valued approximately 14,570,000 ."
2,they buy,hedge funds also recently added reduced stakes company .
3,they buy,"flagship harbor advisors llc bought new position kinder morgan 2nd quarter valued 110,000 ."
4,they buy,"landaas co. wi adv bought new position kinder morgan 2nd quarter valued 133,000 ."
5,they buy,"ostrum asset management bought new position kinder morgan 1st quarter valued 121,000 ."
6,they buy,"mount yale investment advisors llc bought new position kinder morgan 1st quarter valued 144,000 ."
7,they buy,finally clal insurance enterprises holdings ltd boosted position shares kinder morgan 100.0 2nd quarter .
8,they buy,"clal insurance enterprises holdings ltd owns 10,000 shares pipeline company stock valued 177,000 purchasing additional 5,000 shares last quarter ."
9,they buy,60.34 stock currently owned institutional investors hedge funds .
10,they buy,kmi subject several research reports .
11,they buy,citigroup reduced price objective shares kinder morgan 21.00 20.00 set buy rating company research report friday july 20th .
12,they buy,wells fargo co reiterated buy rating shares kinder morgan report thursday july 19th .
13,they buy,us capital advisors reiterated buy rating shares kinder morgan report tuesday july 17th .
14,they buy,stifel nicolaus increased price target shares kinder morgan 21.00 23.00 gave stock buy rating research report wednesday august 1st .
15,they buy,finally barclays set 21.00 price target shares kinder morgan gave stock buy rating research report friday .
16,they sell,one investment analyst rated stock sell rating three given hold rating sixteen assigned buy rating one given strong buy rating stock .
17,they buy,stock presently average rating buy consensus price target 20.81 .
18,they sell,"kinder morgan news director william a. smith purchased 5,556 shares business stock transaction occurred thursday july 26th ."
19,they sell,"stock acquired average cost 18.09 per share total value 100,508.04 ."
20,they buy,"following completion acquisition director directly owns 14,587 shares company stock valued approximately 263,878.83 ."
21,they buy,transaction disclosed document filed securities exchange commission available sec website .
22,they buy,"also insider richard d. kinder purchased 500,000 shares business stock transaction occurred thursday september 27th ."
23,they buy,"stock acquired average cost 17.55 per share total value 8,775,000.00 ."
24,they buy,"following completion acquisition insider directly owns 235,212,353 shares company stock valued 4,127,976,795.15 ."
25,they buy,disclosure purchase found .
26,they buy,14.16 stock currently owned company insiders .
27,they buy,shares kinder morgan stock traded 0.09 midday trading friday hitting 17.51 .
28,they buy,"company trading volume 19,466,576 shares compared average volume 14,314,321. kinder morgan inc 1-year low 14.69 1-year high 19.83 ."
29,they buy,company current ratio 0.49 quick ratio 0.41 debt-to-equity ratio 1.03. company market cap 39.11 billion price-to-earnings ratio 26.53 peg ratio 2.51 beta 0.73 .
30,they buy,kinder morgan nyse kmi last posted quarterly earnings results wednesday july 18th .
31,they buy,pipeline company reported 0.21 earnings per share quarter topping zacks consensus estimate 0.19 0.02 .
32,they buy,firm revenue 3.43 billion quarter compared consensus estimate 3.42 billion .
33,they buy,kinder morgan negative net margin 1.82 positive return equity 5.07 .
34,they buy,business revenue 1.8 compared quarter last year .
35,they buy,quarter previous year company earned 0.14 earnings per share .
36,they buy,group research analysts forecast kinder morgan inc post 0.83 earnings per share current fiscal year .
37,they buy,kinder morgan kinder morgan inc operates energy infrastructure company north america .
38,they buy,operates natural gas pipelines co2 terminals products pipelines kinder morgan canada segments .
39,they buy,natural gas pipelines segment owns operates interstate intrastate natural gas pipeline storage systems natural gas crude oil gathering systems natural gas processing treating facilities natural gas liquids ngl fractionation facilities transportation systems liquefied natural gas facilities .
40,they buy,"keyword kinder morgan nyse kmi kmi oils/energy,49456b10 sec filings,13f hedge fund holdings institutional investor holdingsratings:4,19 nyse kmirefreshed3 receive news ratings kinder morgan daily enter email address receive concise daily summary latest news analysts ratings kinder morgan related companies marketbeat.com free daily email newsletter ."
