,assoc,values
0,they buy,dynamic technology lab private ltd acquired new stake kroger co nyse kr 2nd quarter according recent form 13f filing securities exchange commission .
1,they buy,"institutional investor acquired 182,880 shares company stock valued approximately 5,203,000 ."
2,they buy,kroger accounts approximately 0.8 dynamic technology lab private ltd portfolio making stock biggest holding .
3,they sell,several hedge funds also recently bought sold shares kr .
4,they buy,"epoch investment partners inc. acquired new stake shares kroger second quarter worth 154,021,000 ."
5,they buy,blackrock inc. lifted holdings shares kroger 2.3 second quarter .
6,they buy,"blackrock inc. owns 65,465,026 shares company stock worth 1,862,480,000 purchasing additional 1,490,831 shares period ."
7,they buy,dimensional fund advisors lp lifted holdings shares kroger 36.5 second quarter .
8,they buy,"dimensional fund advisors lp owns 5,485,099 shares company stock worth 156,053,000 purchasing additional 1,465,865 shares period ."
9,they buy,"renaissance technologies llc acquired new stake shares kroger second quarter worth 28,575,000 ."
10,they buy,finally korea investment corp lifted holdings shares kroger 193.3 first quarter .
11,they buy,"korea investment corp owns 1,455,587 shares company stock worth 34,847,000 purchasing additional 959,358 shares period ."
12,they buy,78.75 stock owned institutional investors hedge funds .
13,they buy,several research firms issued reports kr .
14,they buy,zacks investment research upgraded kroger hold rating buy rating set 35.00 price objective company research report tuesday august 21st .
15,they sell,valuengine cut kroger sell rating strong sell rating research report saturday june 2nd .
16,they buy,citigroup began coverage kroger research report friday july 6th .
17,they buy,issued buy rating company .
18,they buy,northcoast research reiterated buy rating issued 36.00 price objective shares kroger research report monday july 23rd .
19,they buy,finally bank america upgraded kroger neutral rating buy rating increased price objective stock 28.00 33.00 research report thursday may 17th .
20,they sell,one research analyst rated stock sell rating fifteen assigned hold rating eight given buy rating stock .
21,they buy,stock currently consensus rating hold consensus target price 29.38 .
22,they sell,"related news director susan j. kropf sold 13,000 shares kroger stock transaction dated thursday july 19th ."
23,they sell,"stock sold average price 28.43 total transaction 369,590.00 ."
24,they buy,"following completion sale director owns 101,171 shares company valued approximately 2,876,291.53 ."
25,they buy,transaction disclosed document filed sec available sec website .
26,they sell,"also vp carin l. fike sold 4,000 shares kroger stock transaction dated tuesday july 3rd ."
27,they sell,"stock sold average price 28.76 total value 115,040.00 ."
28,they buy,"following sale vice president owns 29,361 shares company stock valued approximately 844,422.36 ."
29,they buy,disclosure sale found .
30,they buy,company insiders 1.07 company stock .
31,they buy,shares kr stock opened 32.56 friday .
32,they buy,kroger co fifty-two week low 19.69 fifty-two week high 32.74 .
33,they buy,firm market capitalization 25.46 billion pe ratio 14.59 peg ratio 2.25 beta 0.94. company debt-to-equity ratio 1.74 current ratio 0.76 quick ratio 0.29 .
34,they buy,kroger nyse kr last announced quarterly earnings results thursday june 21st .
35,they sell,company reported 0.73 earnings per share quarter beating analysts consensus estimates 0.63 0.10 .
36,they buy,kroger return equity 29.59 net margin 2.93 .
37,they buy,business revenue 37.53 billion quarter compared analysts expectations 37.25 billion .
38,they sell,quarter last year business posted 0.58 earnings per share .
39,they buy,business revenue quarter 3.4 year-over-year basis .
40,they sell,sell-side analysts anticipate kroger co post 2.12 earnings per share current fiscal year .
41,they buy,company also recently declared quarterly dividend paid saturday september 1st .
42,they buy,stockholders record wednesday august 15th given 0.14 dividend .
43,they buy,ex-dividend date tuesday august 14th .
44,they buy,represents 0.56 dividend annualized basis dividend yield 1.72 .
45,they buy,boost kroger previous quarterly dividend 0.13 .
46,they buy,kroger dividend payout ratio dpr currently 27.45 .
47,they buy,kroger kroger co together subsidiaries operates retailer united states .
48,they buy,also manufactures processes food products sale supermarkets .
49,they buy,company operates supermarkets multi-department stores jewelry stores convenience stores .
50,they buy,combination food drug stores offer natural food organic sections pharmacies general merchandise pet centers fresh seafood organic produce multi-department stores provide general merchandise items apparel home fashion furnishings outdoor living electronics automotive products toys fine jewelry price impact warehouse stores offer grocery health beauty care items well meat dairy baked goods fresh produce items .
51,they buy,see also kind dividend yield cef pay viewcount articlehistoryid=23939668 postdate=2018-9-7 type=f id=3998725 want see hedge funds holding kr visit holdingschannel.com get latest 13f filings insider trades kroger co nyse kr .
52,they buy,"keyword kroger nyse kr kr retail/wholesale,50104410 sec filings,13f hedge fund holdings institutional investor holdingsratings:3,22 nyse kr receive news ratings kroger daily enter email address receive concise daily summary latest news analysts ratings kroger related companies marketbeat.com free daily email newsletter ."
53,they buy,deluxe co. dlx position raised fort l.p .
54,they buy,"dynamic technology lab private ltd acquires 10,390 shares pnc financial services group inc pnc johnson financial group inc. raised stake kroger co nyse kr 3.7 2nd quarter according recent form 13f filing securities exchange commission ."
55,they buy,"fund owned 67,086 shares company stock purchasing additional 2,397 shares period ."
56,they buy,"johnson financial group inc. holdings kroger worth 1,909,000 recent sec filing ."
57,they buy,number institutional investors also recently made changes positions kr .
58,they buy,"victory capital management inc. grew position shares kroger 12,471.3 first quarter ."
59,they buy,"victory capital management inc. owns 8,414,351 shares company stock worth 201,439,000 acquiring additional 8,347,418 shares last quarter ."
60,they buy,prudential financial inc. lifted holdings shares kroger 24.5 first quarter .
61,they buy,"prudential financial inc. owns 7,213,094 shares company stock worth 172,681,000 purchasing additional 1,418,027 shares period ."
62,they buy,smead capital management inc. lifted holdings shares kroger 105.9 first quarter .
63,they buy,"smead capital management inc. owns 1,926,526 shares company stock worth 46,121,000 purchasing additional 990,737 shares period ."
64,they buy,korea investment corp lifted holdings shares kroger 193.3 first quarter .
65,they buy,"korea investment corp owns 1,455,587 shares company stock worth 34,847,000 purchasing additional 959,358 shares period ."
66,they buy,finally lsv asset management lifted holdings shares kroger 5.9 first quarter .
67,they buy,"lsv asset management owns 14,949,247 shares company stock worth 357,884,000 purchasing additional 836,300 shares period ."
68,they buy,institutional investors 78.75 company stock .
69,they buy,shares kr stock opened 32.56 friday .
70,they buy,firm market capitalization 25.10 billion pe ratio 15.96 peg ratio 2.21 beta 0.94. kroger co fifty-two week low 19.69 fifty-two week high 32.74 .
71,they buy,company debt-to-equity ratio 1.74 current ratio 0.76 quick ratio 0.29 .
72,they buy,business also recently disclosed quarterly dividend paid saturday september 1st .
73,they buy,investors record wednesday august 15th given dividend 0.14 per share .
74,they buy,represents 0.56 dividend annualized basis yield 1.72 .
75,they buy,ex-dividend date tuesday august 14th .
76,they buy,boost kroger previous quarterly dividend 0.13 .
77,they buy,kroger dividend payout ratio dpr currently 27.45 .
78,they buy,several equities research analysts recently weighed kr shares .
79,they buy,zacks investment research raised kroger hold rating buy rating set 35.00 price target company report tuesday august 21st .
80,they sell,valuengine downgraded kroger sell rating strong sell rating report saturday june 2nd .
81,they buy,thestreet raised kroger c+ rating b rating report friday june 29th .
82,they buy,credit suisse group set 30.00 target price kroger gave company buy rating report thursday may 17th .
83,they buy,finally moffett nathanson downgraded kroger buy rating neutral rating report friday may 11th .
84,they sell,one research analyst rated stock sell rating fifteen assigned hold rating eight assigned buy rating stock .
85,they buy,company presently average rating hold average target price 29.38 .
86,they sell,"kroger news vp carin l. fike sold 4,000 shares kroger stock transaction dated tuesday july 3rd ."
87,they sell,"stock sold average price 28.76 total value 115,040.00 ."
88,they buy,"following completion sale vice president owns 29,361 shares company valued approximately 844,422.36 ."
89,they buy,transaction disclosed document filed securities exchange commission accessed link .
90,they sell,"also director susan j. kropf sold 13,000 shares kroger stock transaction dated thursday july 19th ."
91,they sell,"shares sold average price 28.43 total value 369,590.00 ."
92,they buy,"following completion sale director owns 101,171 shares company stock valued approximately 2,876,291.53 ."
93,they buy,disclosure sale found .
94,they buy,company insiders 1.07 company stock .
95,they buy,kroger company profile kroger co together subsidiaries operates retailer united states .
96,they buy,also manufactures processes food products sale supermarkets .
97,they buy,company operates supermarkets multi-department stores jewelry stores convenience stores .
98,they buy,combination food drug stores offer natural food organic sections pharmacies general merchandise pet centers fresh seafood organic produce multi-department stores provide general merchandise items apparel home fashion furnishings outdoor living electronics automotive products toys fine jewelry price impact warehouse stores offer grocery health beauty care items well meat dairy baked goods fresh produce items .
