,assoc,values
0,they buy,notable recent regeneron pharmaceuticals inc. nasdaq regn news published nasdaq.com released noteworthy friday option activity regn apc nasdaq april 05 2019 also seekingalpha.com article shares regeneron tanking seeking alpha published april 22 2019 nasdaq.com published shouldnâ€™t count regeneron stock nasdaq april 22 2019. interesting news regeneron pharmaceuticals inc. nasdaq regn released nasdaq.com article investors buy dip mrk stock nasdaq published april 24 2019 well nasdaq.com news article titled dermira shot 62 march nasdaq publication date april 08 2019 .
1,they buy,notable recent bristol-myers squibb company nyse bmy news published streetinsider.com released bristol-myers squibb bmy said poised win celgene celg deal vote bloomberg streetinsider.com april 12 2019 also seekingalpha.com article kitov 20 famewave/bmy collaboration seeking alpha published april 12 2019 investorplace.com published investors buy dip mrk stock investorplace.com april 24 2019. interesting news bristol-myers squibb company nyse bmy released seekingalpha.com article celgene long deal spread seeking alpha published january 29 2019 well streetinsider.com news article titled bristol-myers squibb bmy wins shareholder vote celgene celg takeover bloomberg streetinsider.com publication date april 12 2019 .
2,they buy,notable recent pfizer inc. nyse pfe news published finance.yahoo.com released economic calendar top 5 things watch week yahoo finance april 28 2019 also bizjournals.com article pfizer spinout springworks nets 125 million vcs glaxosmithkline new york business journal published april 01 2019 streetinsider.com published pfizer pfe receives positive chmp opinion talzenna streetinsider.com april 26 2019. interesting news pfizer inc. nyse pfe released streetinsider.com article pfizer pfe announces fda approval ibrance treatment men hr+ her2- metastatic breast cancer streetinsider.com published april 04 2019 well investorplace.com news article titled investors buy dip mrk stock investorplace.com publication date april 24 2019 .
3,they buy,"also increased holding aflac inc nyse afl 9,635 shares quarter total 24,043 shares risen stake spdr ssga income allocation etf inkm ."
4,they buy,eli lilly co. nyse lly report top-line results long-term phase 3 study tanezumab patients osteoarthritis streetinsider.com published april 18 2019 247wallst.com published 6 shorted dow stocks 24/7 wall st. april 26 2019. interesting news pfizer inc. nyse pfe released investorplace.com article investors buy dip mrk stock investorplace.com published april 24 2019 well streetinsider.com news article titled pfizer pfe announces fda approval ibrance treatment men hr+ her2- metastatic breast cancer streetinsider.com publication date april 04 2019 .
5,they buy,investors sentiment increased 1.17 q4 2018.
6,they sell,positive 34 investors sold bg shares 103 reduced holdings .
7,they buy,voloridge inv limited liability com 0.03 invested bunge limited nyse bg .
8,they buy,utd services automobile association 0.01 invested bunge limited nyse bg .
9,they buy,"wolverine asset mngmt ltd co invested 13,192 shares 0.01 stock ."
10,they buy,"sarasin prtnrs limited liability partnership invested 0.06 55,000 shares ."
11,they buy,price rowe associates md invested 0.1 portfolio bunge limited nyse bg .
12,they buy,state wisconsin invest board 0.04 invested bunge limited nyse bg .
13,they buy,heartland invested 0.25 portfolio bunge limited nyse bg .
14,they buy,"aqr capital mgmt ltd liability com invested 0.01 175,820 shares ."
15,they sell,"hap trading llc sold 6,350 shares company stock rose 5.36 market ."
16,they buy,stock increased 0.38 0.29 last trading session reaching 76.63 .
17,they sell,negative 37 investors sold mrk shares 660 reduced holdings .
18,they buy,"brown brothers harriman owns 0.19 invested merck co. inc. nyse mrk 326,604 shares ."
19,they buy,"advisors ltd limited liability company invested 2,129 shares ."
20,they buy,"168,094 owned ccm inv advisers limited liability corp. moreover cheviot value limited com 1.39 invested merck co. inc. nyse mrk 34,945 shares ."
21,they buy,illinois-based jmg fincl invested 0.04 merck co. inc. nyse mrk .
22,they buy,"also increased holding mastercard incorporated call nyse 54,800 shares quarter total 63,000 shares risen stake mcdonalds corp call nyse mcd ."
23,they buy,notable recent transdigm group incorporated nyse tdg news published seekingalpha.com released transdigm buy esterline tech 4b seeking alpha october 10 2018 also seekingalpha.com article transdigm acquires skandia inc. 84m seeking alpha published july 13 2018 seekingalpha.com published transdigm highly specialized aerospace player seeking alpha august 19 2018. interesting news transdigm group incorporated nyse tdg released fool.com article happened stock market today motley fool published october 10 2018 well seekingalpha.com news article titled transdigm going fly higher seeking alpha publication date august 21 2018 .
24,they buy,notable recent pfizer inc. nyse pfe news published investorplace.com released investors buy dip mrk stock investorplace.com april 24 2019 also fool.com article better buy pfizer vs. abbvie motley fool published april 28 2019 benzinga.com published bank america hikes pfizer price target estimates citing orphan drug catalysts nyse pfe benzinga april 01 2019. interesting news pfizer inc. nyse pfe released streetinsider.com article pfizer pfe receives positive chmp opinion talzenna streetinsider.com published april 26 2019 well streetinsider.com news article titled pfizer pfe .
25,they buy,"also increased holding oracle corporation nyse orcl 23,920 shares quarter total 303,409 shares risen stake allergan plc ."
26,they sell,"jacks tyler sold 20,000 shares worth 3.91 million thursday december 6 ."
27,they sell,"380,000 worth stock sold sugar ronald thursday february 7 ."
28,they buy,investors sentiment increased 0.99 2018 q4 .
29,they sell,positive 63 investors sold amgn shares 498 reduced holdings .
30,they buy,"bb 0.42 invested amgen inc. nasdaq amgn 105,533 shares ."
31,they sell,"keating investment counselors inc sold 4,315 shares company stock rose 5.36 market ."
32,they buy,stock increased 0.38 0.29 last trading session reaching 76.63 .
33,they sell,worsened 37 investors sold mrk shares 660 reduced holdings .
34,they buy,pennsylvania-based veritable ltd partnership invested 0.29 merck co. inc. nyse mrk .
35,they buy,"zweig invested 0.02 3,000 shares ."
36,they buy,wealthcare capital mgmt llc owns 0.01 invested merck co. inc. nyse mrk 455 shares .
37,they buy,canal invested 3.68 merck co. inc. nyse mrk .
38,they buy,notable recent merck co. inc. nyse mrk news published seekingalpha.com released fda oks merckâ€™s keytruda combination inlyta rcc seeking alpha april 22 2019 also fool.com article better buy johnson johnson vs. merck motley fool published april 06 2019 streetinsider.com published merck mrk announces fda approval expanded monotherapy label keytruda streetinsider.com april 11 2019. interesting news merck co. inc. nyse mrk released streetinsider.com article merck mrk phase 3 keynote-062 trial evaluating keytruda met primary endpoint found superior os streetinsider.com published april 25 2019 well finance.yahoo.com news article titled economic calendar top 5 things watch week yahoo finance publication date april 28 2019 .
39,they sell,fall 46 investors sold vno shares 133 reduced holdings .
40,they buy,advisory ntwk ltd invested 0 vornado realty trust nyse vno .
41,they buy,brown advisory securities ltd com 0.05 invested vornado realty trust nyse vno .
42,they buy,guardian life ins communication america invested 488 shares .
43,they buy,adelante limited owns 0 invested vornado realty trust nyse vno 13 shares .
44,they buy,moreover tarbox family office 0 invested vornado realty trust nyse vno .
45,they buy,"louisiana state employees retirement system invested 9,100 shares ."
46,they buy,natixis 0 invested vornado realty trust nyse vno .
47,they sell,"23,000 shares sold macnow joseph worth 1.63 million wednesday november 28 ."
48,they buy,notable recent pfizer inc. nyse pfe news published streetinsider.com released pfizer pfe announces fda approval ibrance treatment men hr+ her2- metastatic breast cancer streetinsider.com april 04 2019 also bizjournals.com article pfizer spinout springworks nets 125 million vcs glaxosmithkline new york business journal published april 01 2019 investorplace.com published investors buy dip mrk stock investorplace.com april 24 2019. interesting news pfizer inc. nyse pfe released fool.com article better buy pfizer vs. abbvie motley fool published april 28 2019 well finance.yahoo.com news article titled economic calendar top 5 things watch week yahoo finance publication date april 28 2019 .
49,they sell,negative 42 investors sold pfe shares 792 reduced holdings .
50,they buy,moreover wilbanks smith thomas asset limited liability 0.38 invested pfizer inc. nyse pfe .
51,they buy,new york-based chemung canal trust communication invested 2.93 pfizer inc. nyse pfe .
52,they buy,"midas mngmt corp invested 35,000 shares 0.73 stock ."
53,they buy,new york-based douglass winthrop limited liability invested 0.12 pfizer inc. nyse pfe .
54,they buy,notable recent pfizer inc. nyse pfe news published 247wallst.com released big pharma scares short sellers 24/7 wall st. april 26 2019 also investorplace.com article investors buy dip mrk stock investorplace.com published april 24 2019 fool.com published better buy pfizer vs. abbvie motley fool april 28 2019. interesting news pfizer inc. nyse pfe released streetinsider.com article pfizer pfe receives positive chmp opinion talzenna streetinsider.com published april 26 2019 well streetinsider.com news article titled pfizer pfe announces fda approval ibrance treatment men hr+ her2- metastatic breast cancer streetinsider.com publication date april 04 2019 .
55,they sell,"atria investments llc sold 29,659 shares company stock rose 5.36 market ."
56,they buy,stock increased 0.38 0.29 last trading session reaching 76.63 .
57,they sell,"trust department mb financial bank n sold 3,899 shares company stock rose 3.37 market ."
58,they sell,"insider johnson james william sold 4,750 shares worth 532,950 ."
59,they sell,dived 37 investors sold mrk shares 660 reduced holdings .
60,they buy,"retirement planning gru invested 3,488 shares 0.07 stock ."
61,they buy,"907,812 reported natixis advsrs l p. telos capital mgmt invested 0.44 15,530 shares ."
62,they buy,"moreover putnam fl communication 0.31 invested merck co. inc. nyse mrk 37,347 shares ."
63,they buy,"rockland tru invested 0.59 62,625 shares ."
64,they buy,eli lilly co. nyse lly report top-line results long-term phase 3 study tanezumab patients osteoarthritis streetinsider.com published april 18 2019 bizjournals.com published pfizer spinout springworks nets 125 million vcs glaxosmithkline new york business journal april 01 2019. interesting news pfizer inc. nyse pfe released 247wallst.com article big pharma scares short sellers 24/7 wall st. published april 26 2019 well investorplace.com news article titled investors buy dip mrk stock investorplace.com publication date april 24 2019 .
65,they buy,"also increased holding spdr p 500 etf tr spy 11,993 shares quarter total 21,020 shares risen stake verizon communications inc nyse vz ."
66,they buy,notable recent pfizer inc. nyse pfe news published investorplace.com released investors buy dip mrk stock investorplace.com april 24 2019 also streetinsider.com article pfizer pfe receives positive chmp opinion talzenna streetinsider.com published april 26 2019 fool.com published better buy pfizer vs. abbvie motley fool april 28 2019. interesting news pfizer inc. nyse pfe released finance.yahoo.com article economic calendar top 5 things watch week yahoo finance published april 28 2019 well benzinga.com news article titled bank america hikes pfizer price target estimates citing orphan drug catalysts nyse pfe benzinga publication date april 01 2019 .
67,they buy,"also increased holding amazon com inc nasdaq amzn 333 shares quarter total 1,052 shares risen stake ishares inc acwv ."
68,they buy,notable recent pfizer inc. nyse pfe news published benzinga.com released bank america hikes pfizer price target estimates citing orphan drug catalysts nyse pfe benzinga april 01 2019 also investorplace.com article investors buy dip mrk stock investorplace.com published april 24 2019 247wallst.com published apple mcdonaldâ€™s pfizer dow stocks reporting week 24/7 wall st. april 28 2019. interesting news pfizer inc. nyse pfe released fool.com article better buy pfizer vs. abbvie motley fool published april 28 2019 well finance.yahoo.com news article titled economic calendar top 5 things watch week yahoo finance publication date april 28 2019 .
