,assoc,values
0,they buy,shares paypal holdings inc. nasdaq pypl pegged rating buy bofa/merrill latest research note published march 15th 2019. research company also assigned 116 price target .
1,they sell,amongst analysts rated stock 0 recommended investors sell 14 believe potential growth thus rating hold 15 advised investors purchase stock .
2,they sell,buckingham research also rated bbt downgrade february 25th 2019 price target suggesting bbt could surge 11.02 current share price .
3,they sell,similarly research note sent february 25th 2019 buckingham research analysts downgrade shares stock neutral set price target 99 .
4,they buy,average analysts currently moderate buy recommendation mean rating 3.90. comparison average recommendation month ago moderate buy average rating 4.10. similarly average rating observed 2 months ago moderate buy mean numerical rating 4.10 average rating observed 3 months ago moderate buy mean numerical rating 4.11 .
5,they sell,group 0 sell rating 15 buy rating 15 outperform rating 14 provided hold rating shares thanks data thomson reuters i/b/e/s .
6,they sell,stock reiterated buy bofa/merrill garnered news report friday march 15th 2019. additional helpful research note sent buckingham research monday february 25th 2019. brokerage decided downgrade pypl neutral previous rating buy .
7,they buy,rating scale 1 means strong buy 2.0 indicated buy .
8,they sell,4.0 sell signals .
9,they sell,however 5.0 strong sell signal .
10,they buy,roa ratio helps investor know profit company relative total invested assets .
11,they buy,investment would net gain analysts return costs increased .
