,assoc,values
0,they buy,charles schwab nyse schw upgraded zacks investment research hold rating buy rating research report issued wednesday october 3rd .
1,they buy,brokerage presently 55.00 price target financial services provider stock .
2,they buy,zacks investment research target price would suggest potential upside 12.20 company current price .
3,they buy,according zacks schwab shares outperformed industry past six months .
4,they buy,company positive record earnings surprises recent quarters surpassed zacks consensus estimate trailing four quarters .
5,they buy,company remains well positioned gain rising rate environment initiatives strengthen trading income .
6,they buy,given favorable capital position company able continuously enhance shareholder value .
7,they buy,however continuous rise expenses due rise compensation costs likely hurt bottom-line growth .
8,they buy,research analysts also issued research reports company .
9,they buy,wells fargo co upped price target charles schwab 54.00 56.00 gave company 54.22 rating research report wednesday july 18th .
10,they buy,morgan stanley set 70.00 price target charles schwab gave company buy rating research report tuesday september 18th .
11,they buy,jefferies financial group reaffirmed buy rating set 66.00 price target shares charles schwab research report monday july 16th .
12,they buy,jpmorgan chase co. set 59.00 price target charles schwab gave company buy rating research report monday july 16th .
13,they buy,finally valuengine lowered charles schwab buy rating hold rating research report wednesday june 27th .
14,they sell,two analysts rated stock sell rating six assigned hold rating eight issued buy rating company .
15,they buy,charles schwab presently consensus rating hold average price target 58.77 .
16,they buy,charles schwab nyse schw last released earnings results tuesday july 17th .
17,they buy,financial services provider reported 0.60 earnings per share quarter beating analysts consensus estimates 0.58 0.02 .
18,they buy,charles schwab return equity 17.96 net margin 30.83 .
19,they buy,company revenue 2.49 billion quarter compared analyst estimates 2.46 billion .
20,they buy,quarter previous year company posted 0.39 eps .
21,they buy,charles schwab revenue quarter 16.7 year-over-year basis .
22,they buy,group equities research analysts forecast charles schwab post 2.43 earnings per share current fiscal year .
23,they sell,"related news chairman charles r. schwab sold 190,500 shares company stock transaction occurred tuesday july 24th ."
24,they sell,"stock sold average price 52.75 total value 10,048,875.00 ."
25,they buy,transaction disclosed filing sec accessible hyperlink .
26,they sell,"also director christopher v. dodds sold 15,718 shares company stock transaction occurred thursday august 16th ."
