,assoc,values
0,they buy,schlumberger limited .
1,they buy,nyse slb stock analysts b. riley reduced q3 2018 earnings per share estimates schlumberger research report issued friday october 5th according zacks investment research .
2,they buy,b. riley analyst t. curran anticipates oil gas company post earnings per share 0.45 quarter previous estimate 0.47 .
3,they buy,b. riley also issued estimates schlumberger q4 2018 earnings 0.47 eps fy2018 earnings 1.73 eps q1 2019 earnings 0.46 eps q2 2019 earnings 0.55 eps q3 2019 earnings 0.70 eps q4 2019 earnings 0.84 eps .
4,they buy,schlumberger nyse slb last announced earnings results friday july 20th .
5,they buy,oil gas company reported 0.43 earnings per share eps quarter beating zacks consensus estimate 0.42 0.01 .
6,they buy,firm revenue 8.30 billion quarter compared analyst estimates 8.35 billion .
7,they buy,schlumberger negative net margin 2.34 positive return equity 6.25 .
8,they buy,schlumberger revenue 11.3 compared quarter last year .
9,they buy,quarter prior year firm posted 0.35 eps .
10,they buy,shares slb opened 59.33 monday .
11,they buy,stock market capitalization 84.32 billion p/e ratio 39.55 p/e/g ratio 5.68 beta 0.93. company debt-to-equity ratio 0.38 current ratio 1.12 quick ratio 0.85. schlumberger 52-week low 58.30 52-week high 80.35 .
12,they buy,firm also recently disclosed quarterly dividend paid friday october 12th .
13,they buy,stockholders record wednesday september 5th given dividend 0.50 per share .
14,they buy,ex-dividend date tuesday september 4th .
15,they buy,represents 2.00 annualized dividend dividend yield 3.37 .
16,they buy,schlumberger dividend payout ratio dpr 133.33 .
17,they buy,"schlumberger news director michael e. marks acquired 8,000 shares schlumberger stock transaction dated thursday september 6th ."
18,they buy,"stock bought average price 60.31 per share total transaction 482,480.00 ."
19,they buy,acquisition disclosed document filed sec available link .
20,they buy,company insiders 0.48 company stock .
21,they sell,several large investors recently bought sold shares slb .
22,they buy,broadleaf partners llc boosted holdings shares schlumberger 20.8 third quarter .
23,they buy,"broadleaf partners llc owns 50,696 shares oil gas company stock worth 3,088,000 buying additional 8,718 shares period ."
24,they buy,berkshire asset management llc pa boosted holdings shares schlumberger 7.5 third quarter .
25,they buy,"berkshire asset management llc pa owns 293,287 shares oil gas company stock worth 17,867,000 buying additional 20,469 shares period ."
26,they buy,busey trust co boosted holdings shares schlumberger 3.1 third quarter .
27,they buy,"busey trust co owns 143,676 shares oil gas company stock worth 8,753,000 buying additional 4,357 shares period ."
28,they buy,rathbone brothers plc boosted holdings shares schlumberger 6.9 third quarter .
29,they buy,"rathbone brothers plc owns 230,411 shares oil gas company stock worth 14,037,000 buying additional 14,803 shares period ."
30,they buy,finally bridge creek capital management llc boosted holdings shares schlumberger 3.1 third quarter .
31,they buy,"bridge creek capital management llc owns 40,792 shares oil gas company stock worth 2,485,000 buying additional 1,222 shares period ."
32,they buy,institutional investors 78.43 company stock .
33,they buy,schlumberger schlumberger limited supplies technology products services oil gas exploration production industry worldwide .
34,they buy,company reservoir characterization group segment provides reservoir interpretation data processing services open cased-hole services slickline services exploration production pressure flow-rate measurement services surface downhole software integrated solutions software consulting information management infrastructure services consulting services reservoir characterization field development planning production enhancement petrotechnical data services training solutions well integrated management services .
35,they buy,"featured article companies issue stock splits viewcount type=r id=544668 get free copy zacks research report schlumberger slb information research offerings zacks investment research visit zacks.comkeyword schlumberger nyse slb slb oils/energy,80685710 earnings estimates b ."
36,they buy,"rileyratings:4,25 nyse slb receive news ratings schlumberger daily enter email address receive concise daily summary latest news analysts ratings schlumberger related companies marketbeat.com free daily email newsletter ."
37,they sell,carlisle companies inc. post q3 2018 earnings 1.70 per share oppenheimer forecasts csl halliburton post q3 2018 earnings 0.48 per share b. riley forecasts hal schlumberger limited .
38,they buy,nyse slb stock analysts piper jaffray companies cut fy2019 eps estimates schlumberger report released tuesday september 25th zacks investment research reports .
39,they buy,piper jaffray companies analyst b. herbert forecasts oil gas company post earnings per share 2.30 year previous estimate 2.81 .
40,they buy,piper jaffray companies buy rating 80.00 price objective stock .
41,they buy,piper jaffray companies also issued estimates schlumberger fy2020 earnings 3.41 eps .
42,they buy,schlumberger nyse slb last posted earnings results friday july 20th .
43,they buy,oil gas company reported 0.43 earnings per share eps quarter beating consensus estimate 0.42 0.01 .
44,they buy,firm revenue 8.30 billion quarter compared analysts expectations 8.35 billion .
45,they buy,schlumberger negative net margin 2.34 positive return equity 6.25 .
46,they buy,business revenue 11.3 compared quarter last year .
47,they buy,period previous year business posted 0.35 eps .
48,they buy,number equities analysts also recently weighed slb .
49,they buy,seaport global securities set 72.00 price objective shares schlumberger gave stock buy rating research report monday july 23rd .
50,they sell,valuengine upgraded shares schlumberger sell rating hold rating research report thursday october 4th .
51,they buy,jefferies financial group set 80.00 price objective shares schlumberger gave stock buy rating research report monday july 23rd .
52,they buy,citigroup reduced price objective shares schlumberger 79.00 78.00 set buy rating company research report monday june 25th .
53,they buy,finally macquarie set 71.00 price objective shares schlumberger gave stock hold rating research report tuesday october 2nd .
54,they buy,eight equities research analysts rated stock hold rating nineteen given buy rating stock .
55,they buy,company average rating buy average price target 78.90 .
56,they buy,nyse slb opened 59.33 friday .
57,they buy,company quick ratio 0.85 current ratio 1.12 debt-to-equity ratio 0.38. firm market cap 84.32 billion price-to-earnings ratio 39.55 p/e/g ratio 5.68 beta 0.93. schlumberger fifty-two week low 58.30 fifty-two week high 80.35 .
58,they buy,institutional investors recently added reduced stakes company .
59,they buy,precocity capital lp grew holdings shares schlumberger 20.0 second quarter .
60,they buy,"precocity capital lp owns 60,000 shares oil gas company stock valued 4,022,000 purchasing additional 10,000 shares period ."
61,they buy,private advisor group llc grew holdings shares schlumberger 214.6 second quarter .
62,they buy,"private advisor group llc owns 28,977 shares oil gas company stock valued 1,903,000 purchasing additional 19,765 shares period ."
63,they buy,barings llc grew holdings shares schlumberger 365.6 second quarter .
64,they buy,"barings llc owns 325,428 shares oil gas company stock valued 21,813,000 purchasing additional 255,539 shares period ."
65,they buy,"bain capital public equity management llc purchased new stake shares schlumberger second quarter valued 45,421,000 ."
66,they buy,finally intrust bank na grew holdings shares schlumberger 10.2 second quarter .
67,they buy,"intrust bank na owns 18,356 shares oil gas company stock valued 1,231,000 purchasing additional 1,696 shares period ."
68,they buy,78.43 stock owned institutional investors hedge funds .
69,they buy,"schlumberger news director michael e. marks bought 8,000 shares company stock transaction dated thursday september 6th ."
70,they buy,"stock acquired average price 60.31 per share total value 482,480.00 ."
71,they buy,transaction disclosed filing securities exchange commission accessed link .
72,they buy,0.48 stock owned corporate insiders .
73,they buy,firm also recently announced quarterly dividend paid friday october 12th .
74,they buy,stockholders record wednesday september 5th issued dividend 0.50 per share .
75,they buy,represents 2.00 dividend annualized basis dividend yield 3.37 .
76,they buy,ex-dividend date tuesday september 4th .
77,they buy,schlumberger payout ratio 133.33 .
78,they buy,schlumberger company profile schlumberger limited supplies technology products services oil gas exploration production industry worldwide .
79,they buy,company reservoir characterization group segment provides reservoir interpretation data processing services open cased-hole services slickline services exploration production pressure flow-rate measurement services surface downhole software integrated solutions software consulting information management infrastructure services consulting services reservoir characterization field development planning production enhancement petrotechnical data services training solutions well integrated management services .
80,they buy,"reading exchange-traded fund etf viewcount type=r id=541755 get free copy zacks research report schlumberger slb information research offerings zacks investment research visit zacks.comkeyword schlumberger nyse slb slb oils/energy,80685710 earnings estimates piper jaffray companiesratings:4,25 nyse slb receive news ratings schlumberger daily enter email address receive concise daily summary latest news analysts ratings schlumberger related companies marketbeat.com free daily email newsletter ."
81,they sell,"bidaskclub downgrades natural health trends nhtc sell insider buying dhx media ltd. dhx director purchases 10,000 shares stock nomura holdings inc. lessened stake shares schlumberger limited ."
82,they buy,nyse slb 77.1 2nd quarter according company recent form 13f filing securities exchange commission .
83,they buy,"fund owned 32,405 shares oil gas company stock selling 109,323 shares period ."
84,they buy,"nomura holdings inc. holdings schlumberger worth 2,172,000 recent sec filing ."
85,they buy,institutional investors also recently made changes positions company .
86,they buy,"hc financial advisors inc. acquired new stake shares schlumberger fourth quarter worth 1,131,000 ."
87,they buy,kornitzer capital management inc. ks grew stake shares schlumberger 2.7 first quarter .
88,they buy,"kornitzer capital management inc. ks owns 602,478 shares oil gas company stock worth 39,029,000 acquiring additional 15,859 shares last quarter ."
89,they buy,reilly financial advisors llc grew stake shares schlumberger 1.9 first quarter .
90,they buy,"reilly financial advisors llc owns 136,283 shares oil gas company stock worth 8,828,000 acquiring additional 2,534 shares last quarter ."
91,they buy,bigsur wealth management llc grew stake shares schlumberger 76.7 first quarter .
92,they buy,"bigsur wealth management llc owns 5,300 shares oil gas company stock worth 345,000 acquiring additional 2,300 shares last quarter ."
93,they buy,"finally quantres asset management ltd acquired new stake shares schlumberger first quarter worth 1,671,000 ."
94,they buy,institutional investors hedge funds 78.43 company stock .
95,they buy,several equities research analysts recently issued reports stock .
96,they buy,piper jaffray companies restated buy rating issued 80.00 price objective shares schlumberger research note monday july 23rd .
97,they sell,valuengine cut schlumberger hold rating sell rating research report monday july 2nd .
98,they buy,wolfe research assumed coverage schlumberger research report wednesday .
99,they buy,issued market perform rating company .
100,they buy,seaport global securities set 72.00 target price schlumberger gave stock buy rating research report monday july 23rd .
101,they buy,finally morgan stanley assumed coverage schlumberger research report tuesday september 18th .
102,they buy,issued equal weight rating 72.00 target price company .
103,they buy,eight equities research analysts rated stock hold rating nineteen assigned buy rating company stock .
104,they buy,schlumberger currently average rating buy consensus price target 78.90 .
105,they buy,slb stock traded 0.21 midday trading friday reaching 59.33 .
106,they buy,"stock trading volume 9,547,855 shares compared average volume 7,690,490. company quick ratio 0.85 current ratio 1.12 debt-to-equity ratio 0.38. firm market cap 84.32 billion price-to-earnings ratio 39.55 peg ratio 5.68 beta 0.93. schlumberger limited ."
107,they buy,twelve month low 58.30 twelve month high 80.35 .
108,they buy,schlumberger nyse slb last announced quarterly earnings data friday july 20th .
109,they buy,oil gas company reported 0.43 eps quarter topping zacks consensus estimate 0.42 0.01 .
110,they buy,firm revenue 8.30 billion quarter compared analyst estimates 8.35 billion .
111,they buy,schlumberger positive return equity 6.25 negative net margin 2.34 .
112,they buy,company revenue 11.3 year-over-year basis .
113,they sell,period last year company earned 0.35 earnings per share .
114,they sell,sell-side analysts predict schlumberger limited .
115,they buy,post 1.79 earnings per share current fiscal year .
116,they buy,business also recently announced quarterly dividend paid friday october 12th .
117,they buy,stockholders record wednesday september 5th given dividend 0.50 per share .
118,they buy,ex-dividend date tuesday september 4th .
119,they buy,represents 2.00 annualized dividend dividend yield 3.37 .
