,assoc,values
0,they buy,bank new york mellon corp increased position 21.2 2nd quarter .
1,they sell,"news ceo john t. stankey sold 3,748 shares business stock transaction occurred thursday january 31st ."
2,they sell,"stock sold average price 29.84 total transaction 111,840.32 ."
3,they buy,bank america reissued buy rating issued 37.00 target price shares report friday december 14th .
4,they buy,cowen reaffirmed buy rating set 35.00 price target shares report thursday january 31st .
5,they buy,jpmorgan chase co. raised neutral rating overweight rating set 31.82 price target company report sunday december 9th .
6,they sell,finally valuengine cut sell rating strong sell rating report tuesday march 5th .
7,they sell,two equities research analysts rated stock sell rating ten given hold rating twelve issued buy rating company .
8,they buy,company return total capital 9.82 return invested capital reached 7.20 .
9,they sell,zacks investment research sales averages mean average based survey sell-side analysts follow bank .
10,they sell,"related news vp michele d. trolli sold 5,000 shares company stock transaction friday march 15th ."
11,they sell,"stock sold average price 173.14 total transaction 865,700.00 ."
12,they sell,"also cfo darren j. king sold 10,000 shares company stock transaction friday february 1st ."
13,they sell,"shares sold average price 164.56 total value 1,645,600.00 ."
14,they sell,"insiders sold 17,766 shares company stock worth 2,977,668 last three months ."
15,they buy,umb bank n mo increased position bank 10.4 4th quarter .
16,they buy,mountain pacific investment advisers inc. id increased position bank 3.1 4th quarter .
17,they buy,td asset management inc. increased position bank 0.5 4th quarter .
18,they buy,finally legal general group plc increased holdings shares bank 3.0 3rd quarter .
19,they buy,"brokerages anticipate top image systems ltd. tisa announce quarterly sales 7.30 million public employees retirement system ohio acquires 6,770 shares prosperity bancshares inc. pb company return total capital 5.80 return invested capital reached 8.50 ."
20,they buy,bank america reaffirmed buy rating set 37.00 price target shares research note friday december 14th .
21,they buy,jpmorgan chase co. raised shares neutral rating overweight rating set 31.82 price target stock research note sunday december 9th .
22,they buy,finally cowen reaffirmed buy rating set 35.00 price target shares research note thursday january 31st .
23,they sell,two investment analysts rated stock sell rating nine given hold rating twelve assigned buy rating company .
24,they sell,"news ceo john t. stankey sold 3,748 shares firm stock transaction thursday january 31st ."
25,they sell,"shares sold average price 29.84 total value 111,840.32 ."
26,they buy,company return total capital return invested capital reached .
27,they buy,upn sky adsbygoogle window.adsbygoogle .push professional stock traders oftentimes make sure verify leading wall street voices say potential buy .
28,they buy,company return total capital 6.30 return invested capital reached 0.90 .
29,they sell,94 investors sold 763 reduced holdings inc. ratio fall .
30,they buy,"westchester cap limited co owns 0.63 invested inc. nyse 498,479 shs ."
31,they buy,"8,566 accumulated shapiro capital limited liability corp. marshall wace limited liability partnership invested 0.01 46,500 shs ."
32,they buy,kansas-based cognios limited company invested 0.87 inc. nyse .
33,they buy,prudential inc invested 0.9 capital inc. nyse .
34,they buy,family cap trust invested 0.1 inc. nyse .
35,they sell,total analysts 7 positions at\u0026t nyse follows 6 rated buy 0 sell 1 hold .
36,they buy,tuesday december 11 firm earned buy rating citigroup .
37,they buy,monday december 3 firm overweight rating jp morgan given .
38,they buy,thursday march 7 firm earned buy rating bank america .
39,they buy,stock rating upgraded tigress financial buy monday october 22. listed inc. nyse pts latest ratings .
40,they sell,26/03/2019 broker bidaskscore rating buy upgrade15/03/2019 broker raymond james old rating market perform new rating outperform upgrade07/03/2019 broker bank america rating buy new target 37 maintain26/02/2019 broker tigress financial rating buy maintain14/02/2019 broker ubs rating buy maintain11/12/2018 broker citigroup old rating neutral new rating buy new target 34 upgrade03/12/2018 broker cowen co old rating market perform new rating outperform old target 34 new target 36 upgrade03/12/2018 broker jp morgan old rating neutral new rating overweight new target 38 upgrade26/11/2018 broker moffett nathanson old rating sell new rating neutral upgrade25/10/2018 broker robert w. baird old rating outperform new rating outperform old target 38 new target 35 maintain stock decreased 1.00 0.32 last trading session touching 31.63.currently inc. downtrending 16.72 change last april 3 2018. also 31.25m shares volume .
41,they sell,"related news ceo john t. stankey sold 3,748 shares stock transaction occurred thursday january 31st ."
42,they sell,"stock sold average price 29.84 total transaction 111,840.32 ."
43,they buy,bank america reissued buy rating issued 37.00 target price shares research note friday december 14th .
44,they buy,cowen restated buy rating issued 35.00 price target shares report thursday january 31st .
45,they buy,jpmorgan chase co. upgraded neutral rating overweight rating set 31.82 price target company report sunday december 9th .
46,they sell,finally valuengine downgraded sell rating strong sell rating report tuesday march 5th .
47,they sell,two research analysts rated stock sell rating nine given hold rating twelve assigned buy rating company stock .
48,they sell,trademark violation notice inc. nyse shares sold edge wealth management llc published baseball daily news property baseball daily news .
49,they sell,magellan midstream partners l.p. mmp expected post quarterly sales 662.21 million broadcom inc nasdaq avgo shares sold barrow hanley mewhinney strauss llc
