,assoc,values
0,they buy,barry investment advisors llc increased stake western digital corp wdc 222.11 based latest 2018q4 regulatory filing sec .
1,they buy,"barry investment advisors llc bought 14,084 shares company stock rose 9.26 market ."
2,they sell,"london co virginia sold 107,447 shares company stock declined 2.11 stock markets rallied ."
3,they buy,stock increased 1.49 0.84 last trading session reaching 57.39 .
4,they sell,negative 92 investors sold wdc shares 198 reduced holdings .
5,they buy,tci wealth advsr 0 invested western digital corporation nasdaq wdc .
6,they buy,moreover r management 0 invested western digital corporation nasdaq wdc .
7,they buy,e shaw invested 0.06 western digital corporation nasdaq wdc .
8,they buy,"oarsman capital invested 35,577 shares ."
9,they sell,"eqis capital management inc sold 14,733 shares company stock rose 9.26 market ."
10,they sell,negative 92 investors sold wdc shares 198 reduced holdings .
11,they buy,suntrust banks invested 0 portfolio western digital corporation nasdaq wdc .
12,they buy,ontario canada-based 1832 asset mngmt limited partnership invested 0.03 western digital corporation nasdaq wdc .
13,they buy,state new jersey common pension fund invested 0.23 western digital corporation nasdaq wdc .
14,they buy,quantres asset mgmt limited invested 0.17 western digital corporation nasdaq wdc .
15,they buy,wealthtrust fairport ltd co invested 0 western digital corporation nasdaq wdc .
16,they buy,"also increased holding pulte group inc nyse phm 24,384 shares quarter total 48,122 shares risen stake ishares tr shy ."
17,they sell,"parsec financial management inc sold 33,582 shares company stock rose 9.26 market ."
18,they sell,"arvest trust company sold 14,146 shares company stock rose 0.40 market ."
19,they sell,historical wmt news 11/05/2018 walmart settles dispute labor activists worker protest 18/04/2018 walmart double ev charging sites total 1000 23/04/2018 walmart said close 12b-plus deal control flipkart 15/03/2018 blue apron plans sell meal kits stores 2018 22/05/2018 small-shop owners vow show walmart door 18/05/2018 uk competition regulator seeks comment sainsbury s/asda deal 09/05/2018 walmart buys 77 flipkart war amazon heats india 16/05/2018 walmart amazon barrel toward warehouse arms race india 14/05/2018 walmart termination fee would payable party share issuance purchase agreements terminated 09/05/2018 walmart fought hard deal could crucial fight amazon since november 16 2018 0 buys 28 sales 3.12 billion activity .
20,they sell,"walton robson also sold 147.63 million worth walmart inc. nyse wmt tuesday december 11. walton jim c also sold 67.97 million worth walmart inc. nyse wmt friday december 28. canney jacqueline p sold 394,347 worth stock ."
