,assoc,values
0,they buy,average analysts currently moderate buy recommendation mean rating 3.96. comparison average recommendation month ago moderate buy average rating 3.89. similarly average rating observed 2 months ago moderate buy mean numerical rating 3.89 average rating observed 3 months ago moderate buy mean numerical rating 3.89 .
1,they buy,buy avoid stock sets active trading volume day reported 1430385 contracts far session .
2,they buy,analysts evercore isi raised recommendation shares zbh in-line outperform opinion released april 08. deutsche bank analysts launched coverage zimmer biomet holdings inc. nyse zbh stock hold recommendation according flash note issued investors january 03. analysts citigroup released upgrade neutral buy stock research note dated back january 02 .
3,they sell,analysts rate stock buy strong buy others rated sell .
4,they sell,18 analysts rated zimmer biomet holdings inc. nyse zbh buy strong buy 3 advised investors desist purchasing stock sell already company stock .
5,they sell,fn sky adsbygoogle window.adsbygoogle .push 18 analysts 32 wall street brokerage firms rate zimmer biomet holdings inc. nyse zbh buy 3 see sell .
6,they buy,getting trading period increased 200 days stock price seen 18.86 average .
7,they sell,several hedge funds institutional investors also bought sold shares zbh .
8,they buy,town country bank trust co dba first bankers trust co increased holdings zimmer biomet 100.0 4th quarter .
9,they buy,also director arthur j. higgins bought 500 shares stock transaction dated friday february 15th .
10,they buy,"last 90 days insiders bought 12,860 shares company stock worth 1,548,994 ."
