,0,1,2,3,4
0,Revenue,9/30/2017,9/24/2016,9/26/2015,9/27/2014
1,Total Revenue,"229,234,000","215,639,000","233,715,000","182,795,000"
2,Cost of Revenue,"141,048,000","131,376,000","140,089,000","112,258,000"
3,Gross Profit,"88,186,000","84,263,000","93,626,000","70,537,000"
4,Operating Expenses,,,,
5,Research Development,"11,581,000","10,045,000","8,067,000","6,041,000"
6,Selling General and Administrative,"15,261,000","14,194,000","14,329,000","11,993,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"167,890,000","155,615,000","162,485,000","130,292,000"
10,Operating Income or Loss,"61,344,000","60,024,000","71,230,000","52,503,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"2,745,000","1,348,000","1,285,000","980,000"
13,Earnings Before Interest and Taxes,"61,344,000","60,024,000","71,230,000","52,503,000"
14,Interest Expense,"-2,323,000","-1,456,000","-733,000","-384,000"
15,Income Before Tax,"64,089,000","61,372,000","72,515,000","53,483,000"
16,Income Tax Expense,"15,738,000","15,685,000","19,121,000","13,973,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"48,351,000","45,687,000","53,394,000","39,510,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"48,351,000","45,687,000","53,394,000","39,510,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"48,351,000","45,687,000","53,394,000","39,510,000"
