,0,1,2,3,4
0,Revenue,11/30/2018,12/1/2017,12/2/2016,11/27/2015
1,Total Revenue,"9,030,008","7,301,505","5,854,430","4,795,511"
2,Cost of Revenue,"1,194,999","1,010,491","819,908","744,317"
3,Gross Profit,"7,835,009","6,291,014","5,034,522","4,051,194"
4,Operating Expenses,,,,
5,Research Development,"1,537,812","1,224,059","975,987","862,730"
6,Selling General and Administrative,"3,365,727","2,822,298","2,486,399","2,216,720"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"6,189,639","5,133,410","4,360,828","3,892,416"
10,Operating Income or Loss,"2,840,369","2,168,095","1,493,602","903,095"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-46,493","-30,454","-58,464","-29,314"
13,Earnings Before Interest and Taxes,"2,840,369","2,168,095","1,493,602","903,095"
14,Interest Expense,"-89,242","-74,402","-70,442","-64,184"
15,Income Before Tax,"2,793,876","2,137,641","1,435,138","873,781"
16,Income Tax Expense,"203,102","443,687","266,356","244,230"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,590,774","1,693,954","1,168,782","629,551"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,590,774","1,693,954","1,168,782","629,551"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,590,774","1,693,954","1,168,782","629,551"
