,0,1
0,Market Cap (intraday) 5,60.04B
1,Enterprise Value 3,62.23B
2,Trailing P/E ,37.50
3,Forward P/E 1,23.15
4,PEG Ratio (5 yr expected) 1,1.64
5,Price/Sales (ttm),4.51
6,Price/Book (mrq),17.41
7,Enterprise Value/Revenue 3,4.67
8,Enterprise Value/EBITDA 6,21.33
,0,1
0,Fiscal Year Ends ,"Jun 30, 2018"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,12.16%
1,Operating Margin (ttm),19.07%
,0,1
0,Return on Assets (ttm),4.28%
1,Return on Equity (ttm),43.59%
,0,1
0,Revenue (ttm),13.33B
1,Revenue Per Share (ttm),30.25
2,Quarterly Revenue Growth (yoy),8.30%
3,Gross Profit (ttm),5.76B
4,EBITDA ,2.92B
5,Net Income Avi to Common (ttm),1.62B
6,Diluted EPS (ttm),3.66
7,Quarterly Earnings Growth (yoy),-59.10%
,0,1
0,Total Cash (mrq),2.17B
1,Total Cash Per Share (mrq),4.96
2,Total Debt (mrq),2B
3,Total Debt/Equity (mrq),57.88
4,Current Ratio (mrq),1.05
5,Book Value Per Share (mrq),7.88
,0,1
0,Operating Cash Flow (ttm),2.52B
1,Levered Free Cash Flow (ttm),2.21B
,0,1
0,Beta (3Y Monthly) ,0.97
1,52-Week Change 3,16.38%
2,S&P500 52-Week Change 3,2.56%
3,52 Week High 3,153.51
4,52 Week Low 3,107.61
5,50-Day Moving Average 3,145.83
6,200-Day Moving Average 3,136.77
,0,1
0,Avg Vol (3 month) 3,1.9M
1,Avg Vol (10 day) 3,2.26M
2,Shares Outstanding 5,437.44M
3,Float ,437.57M
4,% Held by Insiders 1,0.15%
5,% Held by Institutions 1,80.74%
6,"Shares Short (Oct 15, 2018) 4",3.58M
7,"Short Ratio (Oct 15, 2018) 4",2.03
8,"Short % of Float (Oct 15, 2018) 4",0.82%
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",0.82%
10,"Shares Short (prior month Sep 14, 2018) 4",3.52M
,0,1
0,Forward Annual Dividend Rate 4,2.76
1,Forward Annual Dividend Yield 4,2.04%
2,Trailing Annual Dividend Rate 3,2.52
3,Trailing Annual Dividend Yield 3,1.86%
4,5 Year Average Dividend Yield 4,2.20
5,Payout Ratio 4,68.85%
6,Dividend Date 3,"Oct 1, 2018"
7,Ex-Dividend Date 4,"Sep 13, 2018"
8,Last Split Factor (new per old) 2,1139/1000
9,Last Split Date 3,"Oct 1, 2014"
