,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,17.0,17.0,20.0,20.0
1,Avg. Estimate,2.83,1.78,11.23,12.34
2,Low Estimate,2.67,1.47,10.8,11.8
3,High Estimate,2.96,1.98,11.5,12.95
4,Year Ago EPS,2.45,1.25,9.86,11.23
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,5,5,6,7
1,Avg. Estimate,15.29B,15.4B,61.56B,64.81B
2,Low Estimate,15.04B,15.26B,60.77B,63.79B
3,High Estimate,15.59B,15.57B,62.06B,66.34B
4,Year Ago Sales,14.99B,14.85B,60.53B,61.56B
5,Sales Growth (year/est),2.00%,3.70%,1.70%,5.30%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,2.08,1.2,2.97,3.04
1,EPS Actual,2.45,1.25,3.19,3.43
2,Difference,0.37,0.05,0.22,0.39
3,Surprise %,17.80%,4.20%,7.40%,12.80%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,2.83,1.78,11.23,12.34
1,7 Days Ago,2.83,1.78,11.23,12.34
2,30 Days Ago,2.83,1.8,11.24,12.31
3,60 Days Ago,2.84,1.8,11.25,12.24
4,90 Days Ago,2.84,1.91,10.98,12.09
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,AET,Industry,Sector,S&P 500
0,Current Qtr.,15.50%,N/A,N/A,0.48
1,Next Qtr.,42.40%,N/A,N/A,0.40
2,Current Year,13.90%,N/A,N/A,0.21
3,Next Year,9.90%,N/A,N/A,0.10
4,Next 5 Years (per annum),9.79%,N/A,N/A,0.11
5,Past 5 Years (per annum),12.83%,N/A,N/A,N/A
