,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"60,535,000","63,155,000","60,227,000","58,003,000"
2,Cost of Revenue,"44,628,000","46,356,000","43,833,000","42,912,000"
3,Gross Profit,"15,907,000","16,799,000","16,394,000","15,091,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"10,764,000","11,164,000","11,371,000","10,735,000"
7,Non Recurring,-,-,-,-
8,Others,"-109,000","-128,000","-128,000","-128,000"
9,Total Operating Expenses,"55,555,000","57,639,000","55,459,000","53,890,000"
10,Operating Income or Loss,"4,980,000","5,516,000","4,768,000","4,113,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,988,000","-1,525,000","-532,000","-613,000"
13,Earnings Before Interest and Taxes,"4,980,000","5,516,000","4,768,000","4,113,000"
14,Interest Expense,"-442,000","-604,000","-369,000","-334,000"
15,Income Before Tax,"2,992,000","3,991,000","4,236,000","3,500,000"
16,Income Tax Expense,"1,087,000","1,735,000","1,841,000","1,455,000"
17,Minority Interest,"257,000","62,000","65,000","69,200"
18,Net Income From Continuing Ops,"1,905,000","2,256,000","2,395,000","2,045,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,904,000","2,271,000","2,390,000","2,041,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,904,000","2,271,000","2,390,000","2,041,000"
