,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,16.0,16.0,16.0,16.0
1,Avg. Estimate,1.06,1.08,4.26,4.43
2,Low Estimate,1.03,1.04,4.17,4.26
3,High Estimate,1.12,1.13,4.5,4.54
4,Year Ago EPS,1.05,1.07,4.16,4.26
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,8,8,9,8
1,Avg. Estimate,5.49B,5.49B,21.96B,21.87B
2,Low Estimate,5.37B,5.35B,21.41B,21.4B
3,High Estimate,5.61B,5.7B,22.93B,22.52B
4,Year Ago Sales,5.46B,5.59B,21.76B,21.96B
5,Sales Growth (year/est),0.50%,-1.70%,0.90%,-0.40%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.97,0.99,0.99,0.94
1,EPS Actual,1.05,1.07,1.03,1.02
2,Difference,0.08,0.08,0.04,0.08
3,Surprise %,8.20%,8.10%,4.00%,8.50%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.06,1.08,4.26,4.43
1,7 Days Ago,1.06,1.08,4.25,4.43
2,30 Days Ago,1.06,1.07,4.24,4.43
3,60 Days Ago,1.06,1.07,4.24,4.43
4,90 Days Ago,1.05,1.07,4.2,4.39
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,2,1,1,2
1,Up Last 30 Days,6,2,3,2
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,1,N/A,1
,Growth Estimates,AFL,Industry,Sector,S&P 500
0,Current Qtr.,1.00%,N/A,N/A,-0.02
1,Next Qtr.,0.90%,N/A,N/A,0.04
2,Current Year,2.40%,N/A,N/A,0.05
3,Next Year,4.00%,N/A,N/A,0.11
4,Next 5 Years (per annum),6.19%,N/A,N/A,0.10
5,Past 5 Years (per annum),6.67%,N/A,N/A,N/A
