,0,1
0,Market Cap (intraday) 5,36.63B
1,Enterprise Value 3,39.05B
2,Trailing P/E ,12.98
3,Forward P/E 1,11.04
4,PEG Ratio (5 yr expected) 1,1.88
5,Price/Sales (ttm),1.68
6,Price/Book (mrq),1.57
7,Enterprise Value/Revenue 3,1.79
8,Enterprise Value/EBITDA 6,9.18
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,13.42%
1,Operating Margin (ttm),19.33%
,0,1
0,Return on Assets (ttm),1.89%
1,Return on Equity (ttm),12.15%
,0,1
0,Revenue (ttm),21.76B
1,Revenue Per Share (ttm),28.27
2,Quarterly Revenue Growth (yoy),-5.50%
3,Gross Profit (ttm),7.19B
4,EBITDA ,4.25B
5,Net Income Avi to Common (ttm),2.92B
6,Diluted EPS (ttm),3.77
7,Quarterly Earnings Growth (yoy),-79.70%
,0,1
0,Total Cash (mrq),4.49B
1,Total Cash Per Share (mrq),5.99
2,Total Debt (mrq),6.83B
3,Total Debt/Equity (mrq),29.11
4,Current Ratio (mrq),0.55
5,Book Value Per Share (mrq),31.06
,0,1
0,Operating Cash Flow (ttm),6.01B
1,Levered Free Cash Flow (ttm),474.38M
,0,1
0,Beta (3Y Monthly) ,0.52
1,52-Week Change 3,8.26%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,50.66
4,52 Week Low 3,41.45
5,50-Day Moving Average 3,49.36
6,200-Day Moving Average 3,46.57
,0,1
0,Avg Vol (3 month) 3,3.28M
1,Avg Vol (10 day) 3,3.63M
2,Shares Outstanding 5,748.85M
3,Float ,741.4M
4,% Held by Insiders 1,1.77%
5,% Held by Institutions 1,70.52%
6,"Shares Short (Mar 29, 2019) 4",10.5M
7,"Short Ratio (Mar 29, 2019) 4",3.58
8,"Short % of Float (Mar 29, 2019) 4",1.42%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",1.40%
10,"Shares Short (prior month Feb 28, 2019) 4",10.33M
,0,1
0,Forward Annual Dividend Rate 4,1.08
1,Forward Annual Dividend Yield 4,2.16%
2,Trailing Annual Dividend Rate 3,1.04
3,Trailing Annual Dividend Yield 3,2.12%
4,5 Year Average Dividend Yield 4,2.31
5,Payout Ratio 4,27.59%
6,Dividend Date 3,"Mar 1, 2019"
7,Ex-Dividend Date 4,"Feb 19, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Mar 19, 2018"
